question,answer,transition,concept,top,dis,dir
Is City east of Bromborough?,Yes,no_change,1,0,0,1
Is City west of Bromborough?,No,replace_dir_token,1,0,0,1
Is Dinnington St. John's east of Norden?,Yes,no_change,1,0,0,1
Is Dinnington St. John's west of Norden?,No,replace_dir_token,1,0,0,1
Is Kingstone east of Meols?,Yes,no_change,1,0,0,1
Is Meols east of Kingstone?,No,flip_place,1,0,0,1
Is Audenshaw east of Moss Side?,Yes,no_change,1,0,0,1
Is Moss Side east of Audenshaw?,No,flip_place,1,0,0,1
Is Town east of Atherton?,Yes,no_change,1,0,0,1
Is Atherton east of Town?,No,flip_place,1,0,0,1
Is South Elmsall and South Kirkby east of Westhoughton North and Chew Moor?,Yes,no_change,1,0,0,1
Is Westhoughton North and Chew Moor east of South Elmsall and South Kirkby?,No,flip_place,1,0,0,1
Is Knotty Ash east of Heswall?,Yes,no_change,1,0,0,1
Is Heswall east of Knotty Ash?,No,flip_place,1,0,0,1
Is Bramhall North east of Astley Mosley Common?,Yes,no_change,1,0,0,1
Is Astley Mosley Common east of Bramhall North?,No,flip_place,1,0,0,1
Is Finningley east of Clubmoor?,Yes,no_change,1,0,0,1
Is Clubmoor east of Finningley?,No,flip_place,1,0,0,1
Is North Heywood east of Sudell?,Yes,no_change,1,0,0,1
Is North Heywood west of Sudell?,No,replace_dir_token,1,0,0,1
Is Hebburn South east of Byker?,Yes,no_change,1,0,0,1
Is Byker east of Hebburn South?,No,flip_place,1,0,0,1
Is Soho and Victoria east of Blackheath?,Yes,no_change,1,0,0,1
Is Blackheath east of Soho and Victoria?,No,flip_place,1,0,0,1
Is Sprotbrough and Cusworth east of Holme Valley?,Yes,no_change,1,0,0,1
Is Holme Valley east of Sprotbrough and Cusworth?,No,flip_place,1,0,0,1
Is Sprotbrough and Cusworth east of Dukinfield?,Yes,no_change,1,0,0,1
Is Dukinfield east of Sprotbrough and Cusworth?,No,flip_place,1,0,0,1
Is Stocksbridge & Upper Don east of Manor?,Yes,no_change,1,0,0,1
Is Stocksbridge & Upper Don west of Manor?,No,replace_dir_token,1,0,0,1
Is Hatfield east of City and Hunslet?,Yes,no_change,1,0,0,1
Is Hatfield west of City and Hunslet?,No,replace_dir_token,1,0,0,1
Is Boston Castle east of Anfield?,Yes,no_change,1,0,0,1
Is Boston Castle west of Anfield?,No,replace_dir_token,1,0,0,1
Is Silverwood east of Ashton Waterloo?,Yes,no_change,1,0,0,1
Is Ashton Waterloo east of Silverwood?,No,flip_place,1,0,0,1
Is Worsbrough east of Sale Moor?,Yes,no_change,1,0,0,1
Is Worsbrough west of Sale Moor?,No,replace_dir_token,1,0,0,1
Is Springfield east of Wollaston and Stourbridge Town?,Yes,no_change,1,0,0,1
Is Wollaston and Stourbridge Town east of Springfield?,No,flip_place,1,0,0,1
Is Tong east of Northwood?,Yes,no_change,1,0,0,1
Is Northwood east of Tong?,No,flip_place,1,0,0,1
Is Northowram and Shelf east of Woolton?,Yes,no_change,1,0,0,1
Is Northowram and Shelf west of Woolton?,No,replace_dir_token,1,0,0,1
Is Killingworth east of Longbenton?,Yes,no_change,1,0,0,1
Is Killingworth west of Longbenton?,No,replace_dir_token,1,0,0,1
Is Manningham east of Healey?,Yes,no_change,1,0,0,1
Is Manningham west of Healey?,No,replace_dir_token,1,0,0,1
Is Radford east of Coseley East?,Yes,no_change,1,0,0,1
Is Radford west of Coseley East?,No,replace_dir_token,1,0,0,1
Is Horsforth east of Milnrow and Newhey?,Yes,no_change,1,0,0,1
Is Horsforth west of Milnrow and Newhey?,No,replace_dir_token,1,0,0,1
Is Windhill and Wrose east of Everton?,Yes,no_change,1,0,0,1
Is Windhill and Wrose west of Everton?,No,replace_dir_token,1,0,0,1
Is Airedale and Ferry Fryston east of Alexandra?,Yes,no_change,1,0,0,1
Is Alexandra east of Airedale and Ferry Fryston?,No,flip_place,1,0,0,1
Is Wakefield West east of Pilkington Park?,Yes,no_change,1,0,0,1
Is Pilkington Park east of Wakefield West?,No,flip_place,1,0,0,1
Is Old Town east of Shaw?,Yes,no_change,1,0,0,1
Is Shaw east of Old Town?,No,flip_place,1,0,0,1
Is Stanley and Outwood East east of East Middleton?,Yes,no_change,1,0,0,1
Is East Middleton east of Stanley and Outwood East?,No,flip_place,1,0,0,1
Is Tyldesley east of Duke's?,Yes,no_change,1,0,0,1
Is Duke's east of Tyldesley?,No,flip_place,1,0,0,1
Is Denton North East east of Pensby and Thingwall?,Yes,no_change,1,0,0,1
Is Denton North East west of Pensby and Thingwall?,No,replace_dir_token,1,0,0,1
Is Belle Vale east of Upton?,Yes,no_change,1,0,0,1
Is Belle Vale west of Upton?,No,replace_dir_token,1,0,0,1
Is Bolton and Undercliffe east of Smallbridge and Firgrove?,Yes,no_change,1,0,0,1
Is Smallbridge and Firgrove east of Bolton and Undercliffe?,No,flip_place,1,0,0,1
Is Birley east of Priory?,Yes,no_change,1,0,0,1
Is Birley west of Priory?,No,replace_dir_token,1,0,0,1
Is Darnall east of Clubmoor?,Yes,no_change,1,0,0,1
Is Clubmoor east of Darnall?,No,flip_place,1,0,0,1
Is Headingley east of Moreton West and Saughall Massie?,Yes,no_change,1,0,0,1
Is Headingley west of Moreton West and Saughall Massie?,No,replace_dir_token,1,0,0,1
Is Failsworth West east of Leigh South?,Yes,no_change,1,0,0,1
Is Leigh South east of Failsworth West?,No,flip_place,1,0,0,1
Is Armley east of Saddleworth West and Lees?,Yes,no_change,1,0,0,1
Is Saddleworth West and Lees east of Armley?,No,flip_place,1,0,0,1
Is Old Moat east of County?,Yes,no_change,1,0,0,1
Is County east of Old Moat?,No,flip_place,1,0,0,1
Is Failsworth East east of Horwich?,Yes,no_change,1,0,0,1
Is Failsworth East west of Horwich?,No,replace_dir_token,1,0,0,1
Is Stairfoot east of East?,Yes,no_change,1,0,0,1
Is East east of Stairfoot?,No,flip_place,1,0,0,1
Is Rawmarsh east of Milkstone and Deeplish?,Yes,no_change,1,0,0,1
Is Rawmarsh west of Milkstone and Deeplish?,No,replace_dir_token,1,0,0,1
Is Ashton St. Michael's east of Longsight?,Yes,no_change,1,0,0,1
Is Ashton St. Michael's west of Longsight?,No,replace_dir_token,1,0,0,1
Is Failsworth West east of Radcliffe North?,Yes,no_change,1,0,0,1
Is Radcliffe North east of Failsworth West?,No,flip_place,1,0,0,1
Is Ramsbottom east of Halliwell?,Yes,no_change,1,0,0,1
Is Halliwell east of Ramsbottom?,No,flip_place,1,0,0,1
Is Broomhill & Sharrow Vale east of Astley Mosley Common?,Yes,no_change,1,0,0,1
Is Broomhill & Sharrow Vale west of Astley Mosley Common?,No,replace_dir_token,1,0,0,1
Is Henley east of Hodge Hill?,Yes,no_change,1,0,0,1
Is Henley west of Hodge Hill?,No,replace_dir_token,1,0,0,1
Is Ossett east of Ramsbottom?,Yes,no_change,1,0,0,1
Is Ramsbottom east of Ossett?,No,flip_place,1,0,0,1
Is Chorlton Park east of Page Moss?,Yes,no_change,1,0,0,1
Is Page Moss east of Chorlton Park?,No,flip_place,1,0,0,1
Is Rossington east of Derby?,Yes,no_change,1,0,0,1
Is Derby east of Rossington?,No,flip_place,1,0,0,1
Is Bredbury and Woodley east of Flixton?,Yes,no_change,1,0,0,1
Is Bredbury and Woodley west of Flixton?,No,replace_dir_token,1,0,0,1
Is Newton east of Brockmoor and Pensnett?,Yes,no_change,1,0,0,1
Is Newton west of Brockmoor and Pensnett?,No,replace_dir_token,1,0,0,1
Is Wakefield East east of St. James'?,Yes,no_change,1,0,0,1
Is St. James' east of Wakefield East?,No,flip_place,1,0,0,1
Is Smallbridge and Firgrove east of Speke-Garston?,Yes,no_change,1,0,0,1
Is Speke-Garston east of Smallbridge and Firgrove?,No,flip_place,1,0,0,1
Is Audenshaw east of Eccles?,Yes,no_change,1,0,0,1
Is Eccles east of Audenshaw?,No,flip_place,1,0,0,1
Is Gorton South east of Lowton East?,Yes,no_change,1,0,0,1
Is Gorton South west of Lowton East?,No,replace_dir_token,1,0,0,1
Is Armley east of Smallbridge and Firgrove?,Yes,no_change,1,0,0,1
Is Armley west of Smallbridge and Firgrove?,No,replace_dir_token,1,0,0,1
Is Birley east of Cheadle Hulme North?,Yes,no_change,1,0,0,1
Is Birley west of Cheadle Hulme North?,No,replace_dir_token,1,0,0,1
Is Sprotbrough and Cusworth east of Manningham?,Yes,no_change,1,0,0,1
Is Sprotbrough and Cusworth west of Manningham?,No,replace_dir_token,1,0,0,1
Is Upper Stoke east of Dorridge and Hockley Heath?,Yes,no_change,1,0,0,1
Is Dorridge and Hockley Heath east of Upper Stoke?,No,flip_place,1,0,0,1
Is Little Hulton east of Old Swan?,Yes,no_change,1,0,0,1
Is Little Hulton west of Old Swan?,No,replace_dir_token,1,0,0,1
Is Old Town east of Holyrood?,Yes,no_change,1,0,0,1
Is Old Town west of Holyrood?,No,replace_dir_token,1,0,0,1
Is Central east of Dukinfield?,Yes,no_change,1,0,0,1
Is Central west of Dukinfield?,No,replace_dir_token,1,0,0,1
Is Burmantofts and Richmond Hill east of Bowdon?,Yes,no_change,1,0,0,1
Is Bowdon east of Burmantofts and Richmond Hill?,No,flip_place,1,0,0,1
Is Hoyland Milton east of Mossley Hill?,Yes,no_change,1,0,0,1
Is Hoyland Milton west of Mossley Hill?,No,replace_dir_token,1,0,0,1
Is Hollinwood east of Besses?,Yes,no_change,1,0,0,1
Is Besses east of Hollinwood?,No,flip_place,1,0,0,1
Is Hipperholme and Lightcliffe east of Swinton South?,Yes,no_change,1,0,0,1
Is Swinton South east of Hipperholme and Lightcliffe?,No,flip_place,1,0,0,1
Is Bromley Cross east of Moreton West and Saughall Massie?,Yes,no_change,1,0,0,1
Is Moreton West and Saughall Massie east of Bromley Cross?,No,flip_place,1,0,0,1
Is Stocksbridge & Upper Don east of Audenshaw?,Yes,no_change,1,0,0,1
Is Stocksbridge & Upper Don west of Audenshaw?,No,replace_dir_token,1,0,0,1
Is Northenden east of Picton Cheshire?,Yes,no_change,1,0,0,1
Is Northenden west of Picton Cheshire?,No,replace_dir_token,1,0,0,1
Is Balby South east of Northowram and Shelf?,Yes,no_change,1,0,0,1
Is Northowram and Shelf east of Balby South?,No,flip_place,1,0,0,1
Is Great Horton east of Atherton?,Yes,no_change,1,0,0,1
Is Great Horton west of Atherton?,No,replace_dir_token,1,0,0,1
Is Lozells and East Handsworth east of Amblecote?,Yes,no_change,1,0,0,1
Is Amblecote east of Lozells and East Handsworth?,No,flip_place,1,0,0,1
Is Central Rochdale east of Bradshaw?,Yes,no_change,1,0,0,1
Is Central Rochdale west of Bradshaw?,No,replace_dir_token,1,0,0,1
Is Longdendale east of South Middleton?,Yes,no_change,1,0,0,1
Is Longdendale west of South Middleton?,No,replace_dir_token,1,0,0,1
Is Ardsley and Robin Hood east of Keighley?,Yes,no_change,1,0,0,1
Is Keighley east of Ardsley and Robin Hood?,No,flip_place,1,0,0,1
Is Sutton Four Oaks east of Rowley?,Yes,no_change,1,0,0,1
Is Sutton Four Oaks west of Rowley?,No,replace_dir_token,1,0,0,1
Is Mirfield east of Westhoughton North and Chew Moor?,Yes,no_change,1,0,0,1
Is Mirfield west of Westhoughton North and Chew Moor?,No,replace_dir_token,1,0,0,1
Is Pontefract South east of Kensington and Fairfield?,Yes,no_change,1,0,0,1
Is Kensington and Fairfield east of Pontefract South?,No,flip_place,1,0,0,1
Is Armthorpe east of Denby Dale?,Yes,no_change,1,0,0,1
Is Armthorpe west of Denby Dale?,No,replace_dir_token,1,0,0,1
Is Alwoodley east of Central Rochdale?,Yes,no_change,1,0,0,1
Is Alwoodley west of Central Rochdale?,No,replace_dir_token,1,0,0,1
Is Clayton and Fairweather Green east of Astley Village?,Yes,no_change,1,0,0,1
Is Clayton and Fairweather Green west of Astley Village?,No,replace_dir_token,1,0,0,1
Is Keppel east of Sutton Weaver (civil parish)?,Yes,no_change,1,0,0,1
Is Keppel west of Sutton Weaver (civil parish)?,No,replace_dir_token,1,0,0,1
Is Dodworth east of Mossley Hill?,Yes,no_change,1,0,0,1
Is Mossley Hill east of Dodworth?,No,flip_place,1,0,0,1
Is Illingworth and Mixenden east of Todmorden?,Yes,no_change,1,0,0,1
Is Todmorden east of Illingworth and Mixenden?,No,flip_place,1,0,0,1
Is Chadderton South east of Moston?,Yes,no_change,1,0,0,1
Is Moston east of Chadderton South?,No,flip_place,1,0,0,1
Is Edenthorpe east of Thornton and Allerton?,Yes,no_change,1,0,0,1
Is Edenthorpe west of Thornton and Allerton?,No,replace_dir_token,1,0,0,1
Is Winton east of Boothstown and Ellenbrook?,Yes,no_change,1,0,0,1
Is Winton west of Boothstown and Ellenbrook?,No,replace_dir_token,1,0,0,1
Is Garforth and Swillington east of Cheadle and Gatley?,Yes,no_change,1,0,0,1
Is Garforth and Swillington west of Cheadle and Gatley?,No,replace_dir_token,1,0,0,1
Is Ardsley and Robin Hood east of St. James'?,Yes,no_change,1,0,0,1
Is St. James' east of Ardsley and Robin Hood?,No,flip_place,1,0,0,1
Is Hoober east of Stretford?,Yes,no_change,1,0,0,1
Is Stretford east of Hoober?,No,flip_place,1,0,0,1
Is Bramley and Stanningley east of Upton?,Yes,no_change,1,0,0,1
Is Bramley and Stanningley west of Upton?,No,replace_dir_token,1,0,0,1
Is St. Mary's east of Wigan West?,Yes,no_change,1,0,0,1
Is St. Mary's west of Wigan West?,No,replace_dir_token,1,0,0,1
Is Dukinfield east of Broadheath?,Yes,no_change,1,0,0,1
Is Broadheath east of Dukinfield?,No,flip_place,1,0,0,1
Is Silverwood east of Hoylake and Meols?,Yes,no_change,1,0,0,1
Is Hoylake and Meols east of Silverwood?,No,flip_place,1,0,0,1
Is Royton North east of Birkdale?,Yes,no_change,1,0,0,1
Is Birkdale east of Royton North?,No,flip_place,1,0,0,1
Is Crofton Ryhill and Walton east of Penistone?,Yes,no_change,1,0,0,1
Is Crofton Ryhill and Walton west of Penistone?,No,replace_dir_token,1,0,0,1
Is Bingley east of Leigh South?,Yes,no_change,1,0,0,1
Is Bingley west of Leigh South?,No,replace_dir_token,1,0,0,1
Is Eccleston St Helens east of Bromborough?,Yes,no_change,1,0,0,1
Is Bromborough east of Eccleston St Helens?,No,flip_place,1,0,0,1
Is North East east of Keighley?,Yes,no_change,1,0,0,1
Is Keighley east of North East?,No,flip_place,1,0,0,1
Is Pemberton east of Netherton and Orrell?,Yes,no_change,1,0,0,1
Is Pemberton west of Netherton and Orrell?,No,replace_dir_token,1,0,0,1
Is Lindley east of Bromley Cross?,Yes,no_change,1,0,0,1
Is Bromley Cross east of Lindley?,No,flip_place,1,0,0,1
Is Broomhill & Sharrow Vale east of Westhoughton North and Chew Moor?,Yes,no_change,1,0,0,1
Is Broomhill & Sharrow Vale west of Westhoughton North and Chew Moor?,No,replace_dir_token,1,0,0,1
Is Wharfedale east of Farnworth?,Yes,no_change,1,0,0,1
Is Farnworth east of Wharfedale?,No,flip_place,1,0,0,1
Is Felling east of Ryton Crookhill and Stella?,Yes,no_change,1,0,0,1
Is Ryton Crookhill and Stella east of Felling?,No,flip_place,1,0,0,1
Is Middleton Park east of Farnworth?,Yes,no_change,1,0,0,1
Is Middleton Park west of Farnworth?,No,replace_dir_token,1,0,0,1
Is Wainbody east of Norton?,Yes,no_change,1,0,0,1
Is Wainbody west of Norton?,No,replace_dir_token,1,0,0,1
Is Richmond east of Ford?,Yes,no_change,1,0,0,1
Is Ford east of Richmond?,No,flip_place,1,0,0,1
Is Great Lever east of Hoylake and Meols?,Yes,no_change,1,0,0,1
Is Hoylake and Meols east of Great Lever?,No,flip_place,1,0,0,1
Is Cullercoats east of Saltwell?,Yes,no_change,1,0,0,1
Is Cullercoats west of Saltwell?,No,replace_dir_token,1,0,0,1
Is Swinton east of Hoober?,Yes,no_change,1,0,0,1
Is Swinton west of Hoober?,No,replace_dir_token,1,0,0,1
Is Crompton east of Birkenhead and Tranmere?,Yes,no_change,1,0,0,1
Is Birkenhead and Tranmere east of Crompton?,No,flip_place,1,0,0,1
Is Conisbrough Parks east of Altrincham?,Yes,no_change,1,0,0,1
Is Conisbrough Parks west of Altrincham?,No,replace_dir_token,1,0,0,1
Is Wyke east of Norwood?,Yes,no_change,1,0,0,1
Is Norwood east of Wyke?,No,flip_place,1,0,0,1
Is West Ecclesfield east of Wigan West?,Yes,no_change,1,0,0,1
Is Wigan West east of West Ecclesfield?,No,flip_place,1,0,0,1
Is Sprotbrough and Cusworth east of Halliwell?,Yes,no_change,1,0,0,1
Is Halliwell east of Sprotbrough and Cusworth?,No,flip_place,1,0,0,1
Is Lower Stoke east of Acocks Green?,Yes,no_change,1,0,0,1
Is Lower Stoke west of Acocks Green?,No,replace_dir_token,1,0,0,1
Is Nether Edge & Sharrow east of Cheadle Hulme North?,Yes,no_change,1,0,0,1
Is Cheadle Hulme North east of Nether Edge & Sharrow?,No,flip_place,1,0,0,1
Is Crofton Ryhill and Walton east of Leigh West?,Yes,no_change,1,0,0,1
Is Leigh West east of Crofton Ryhill and Walton?,No,flip_place,1,0,0,1
Is Radford east of Friar Park?,Yes,no_change,1,0,0,1
Is Friar Park east of Radford?,No,flip_place,1,0,0,1
Is Gleadless Valley east of Swinton South?,Yes,no_change,1,0,0,1
Is Gleadless Valley west of Swinton South?,No,replace_dir_token,1,0,0,1
Is Davenport and Cale Green east of Hindley Green?,Yes,no_change,1,0,0,1
Is Hindley Green east of Davenport and Cale Green?,No,flip_place,1,0,0,1
Is Brighouse east of Leasowe and Moreton East?,Yes,no_change,1,0,0,1
Is Brighouse west of Leasowe and Moreton East?,No,replace_dir_token,1,0,0,1
Is Ashton St. Michael's east of St. Peter's?,Yes,no_change,1,0,0,1
Is Ashton St. Michael's west of St. Peter's?,No,replace_dir_token,1,0,0,1
Is Tipton Green east of Sedgley?,Yes,no_change,1,0,0,1
Is Sedgley east of Tipton Green?,No,flip_place,1,0,0,1
Is Royton South east of Riverside?,Yes,no_change,1,0,0,1
Is Riverside east of Royton South?,No,flip_place,1,0,0,1
Is Penistone east of Princes Park?,Yes,no_change,1,0,0,1
Is Penistone west of Princes Park?,No,replace_dir_token,1,0,0,1
Is Penistone east of Meols?,Yes,no_change,1,0,0,1
Is Meols east of Penistone?,No,flip_place,1,0,0,1
Is Calder east of Earlestown?,Yes,no_change,1,0,0,1
Is Earlestown east of Calder?,No,flip_place,1,0,0,1
Is Normanton West Yorkshire east of Stalybridge North?,Yes,no_change,1,0,0,1
Is Normanton West Yorkshire west of Stalybridge North?,No,replace_dir_token,1,0,0,1
Is Todmorden east of Sudell?,Yes,no_change,1,0,0,1
Is Todmorden west of Sudell?,No,replace_dir_token,1,0,0,1
Is Calder east of Kew?,Yes,no_change,1,0,0,1
Is Kew east of Calder?,No,flip_place,1,0,0,1
Is Ashton Waterloo east of Timperley?,Yes,no_change,1,0,0,1
Is Ashton Waterloo west of Timperley?,No,replace_dir_token,1,0,0,1
Is Cleckheaton east of Warley?,Yes,no_change,1,0,0,1
Is Cleckheaton west of Warley?,No,replace_dir_token,1,0,0,1
Is Valley east of Cheetham?,Yes,no_change,1,0,0,1
Is Cheetham east of Valley?,No,flip_place,1,0,0,1
Is Langworthy east of Aspull New Springs Whelley?,Yes,no_change,1,0,0,1
Is Aspull New Springs Whelley east of Langworthy?,No,flip_place,1,0,0,1
Is Clayton and Fairweather Green east of Cressington?,Yes,no_change,1,0,0,1
Is Cressington east of Clayton and Fairweather Green?,No,flip_place,1,0,0,1
Is Normanton West Yorkshire east of Leigh South?,Yes,no_change,1,0,0,1
Is Leigh South east of Normanton West Yorkshire?,No,flip_place,1,0,0,1
Is Saddleworth east of Flixton?,Yes,no_change,1,0,0,1
Is Flixton east of Saddleworth?,No,flip_place,1,0,0,1
Is Longdendale east of Miles Platting and Newton Heath?,Yes,no_change,1,0,0,1
Is Longdendale west of Miles Platting and Newton Heath?,No,replace_dir_token,1,0,0,1
Is Chelmsley Wood east of Northfield?,Yes,no_change,1,0,0,1
Is Chelmsley Wood west of Northfield?,No,replace_dir_token,1,0,0,1
Is Baildon east of Worth Valley?,Yes,no_change,1,0,0,1
Is Baildon west of Worth Valley?,No,replace_dir_token,1,0,0,1
Is Armley east of Keighley?,Yes,no_change,1,0,0,1
Is Keighley east of Armley?,No,flip_place,1,0,0,1
Is Hexthorpe & Balby North east of Shiregreen & Brightside?,Yes,no_change,1,0,0,1
Is Shiregreen & Brightside east of Hexthorpe & Balby North?,No,flip_place,1,0,0,1
Is Longdendale east of Reddish North?,Yes,no_change,1,0,0,1
Is Reddish North east of Longdendale?,No,flip_place,1,0,0,1
Is Davyhulme East east of Cressington?,Yes,no_change,1,0,0,1
Is Davyhulme East west of Cressington?,No,replace_dir_token,1,0,0,1
Is Longford east of Moseley and Kings Heath?,Yes,no_change,1,0,0,1
Is Moseley and Kings Heath east of Longford?,No,flip_place,1,0,0,1
Is Birstall and Birkenshaw east of Farnworth?,Yes,no_change,1,0,0,1
Is Farnworth east of Birstall and Birkenshaw?,No,flip_place,1,0,0,1
Is Moorside east of Claughton?,Yes,no_change,1,0,0,1
Is Claughton east of Moorside?,No,flip_place,1,0,0,1
Is Cross Gates and Whinmoor east of Stockbridge?,Yes,no_change,1,0,0,1
Is Stockbridge east of Cross Gates and Whinmoor?,No,flip_place,1,0,0,1
Is Old Moat east of Heswall?,Yes,no_change,1,0,0,1
Is Heswall east of Old Moat?,No,flip_place,1,0,0,1
Is Chapel Allerton east of Cadishead?,Yes,no_change,1,0,0,1
Is Cadishead east of Chapel Allerton?,No,flip_place,1,0,0,1
Is Hyde Park and Woodhouse east of Rainhill?,Yes,no_change,1,0,0,1
Is Hyde Park and Woodhouse west of Rainhill?,No,replace_dir_token,1,0,0,1
Is Northenden east of Winstanley?,Yes,no_change,1,0,0,1
Is Winstanley east of Northenden?,No,flip_place,1,0,0,1
Is City east of St. Mary's?,Yes,no_change,1,0,0,1
Is City west of St. Mary's?,No,replace_dir_token,1,0,0,1
Is Anston and Woodsetts east of Harper Green?,Yes,no_change,1,0,0,1
Is Anston and Woodsetts west of Harper Green?,No,replace_dir_token,1,0,0,1
Is Newsome east of Broadheath?,Yes,no_change,1,0,0,1
Is Broadheath east of Newsome?,No,flip_place,1,0,0,1
Is Sedgley east of Cambridge?,Yes,no_change,1,0,0,1
Is Sedgley west of Cambridge?,No,replace_dir_token,1,0,0,1
Is Harper Green east of Thatto Heath?,Yes,no_change,1,0,0,1
