place1,relation,place2,question,answer,transition
Wakefield East,east,St. James',Is Wakefield East east of St. James'?,Yes,no_change
Wakefield East,east,St. James',Is St. James' east of Wakefield East?,No,flip_place
Smallbridge and Firgrove,east,Speke-Garston,Is Smallbridge and Firgrove east of Speke-Garston?,Yes,no_change
Smallbridge and Firgrove,east,Speke-Garston,Is Speke-Garston east of Smallbridge and Firgrove?,No,flip_place
Audenshaw,east,Eccles,Is Audenshaw east of Eccles?,Yes,no_change
Audenshaw,east,Eccles,Is Eccles east of Audenshaw?,No,flip_place
Gorton South,east,Lowton East,Is Gorton South east of Lowton East?,Yes,no_change
Gorton South,east,Lowton East,Is Gorton South west of Lowton East?,No,replace_dir_token
Armley,east,Smallbridge and Firgrove,Is Armley east of Smallbridge and Firgrove?,Yes,no_change
Armley,east,Smallbridge and Firgrove,Is Armley west of Smallbridge and Firgrove?,No,replace_dir_token
Birley,east,Cheadle Hulme North,Is Birley east of Cheadle Hulme North?,Yes,no_change
Birley,east,Cheadle Hulme North,Is Birley west of Cheadle Hulme North?,No,replace_dir_token
Sprotbrough and Cusworth,east,Manningham,Is Sprotbrough and Cusworth east of Manningham?,Yes,no_change
Sprotbrough and Cusworth,east,Manningham,Is Sprotbrough and Cusworth west of Manningham?,No,replace_dir_token
Upper Stoke,east,Dorridge and Hockley Heath,Is Upper Stoke east of Dorridge and Hockley Heath?,Yes,no_change
Upper Stoke,east,Dorridge and Hockley Heath,Is Dorridge and Hockley Heath east of Upper Stoke?,No,flip_place
Little Hulton,east,Old Swan,Is Little Hulton east of Old Swan?,Yes,no_change
Little Hulton,east,Old Swan,Is Little Hulton west of Old Swan?,No,replace_dir_token
Old Town,east,Holyrood,Is Old Town east of Holyrood?,Yes,no_change
Old Town,east,Holyrood,Is Old Town west of Holyrood?,No,replace_dir_token
Central,east,Dukinfield,Is Central east of Dukinfield?,Yes,no_change
Central,east,Dukinfield,Is Central west of Dukinfield?,No,replace_dir_token
Burmantofts and Richmond Hill,east,Bowdon,Is Burmantofts and Richmond Hill east of Bowdon?,Yes,no_change
Burmantofts and Richmond Hill,east,Bowdon,Is Bowdon east of Burmantofts and Richmond Hill?,No,flip_place
Hoyland Milton,east,Mossley Hill,Is Hoyland Milton east of Mossley Hill?,Yes,no_change
Hoyland Milton,east,Mossley Hill,Is Hoyland Milton west of Mossley Hill?,No,replace_dir_token
Hollinwood,east,Besses,Is Hollinwood east of Besses?,Yes,no_change
Hollinwood,east,Besses,Is Besses east of Hollinwood?,No,flip_place
Hipperholme and Lightcliffe,east,Swinton South,Is Hipperholme and Lightcliffe east of Swinton South?,Yes,no_change
Hipperholme and Lightcliffe,east,Swinton South,Is Swinton South east of Hipperholme and Lightcliffe?,No,flip_place
Bromley Cross,east,Moreton West and Saughall Massie,Is Bromley Cross east of Moreton West and Saughall Massie?,Yes,no_change
Bromley Cross,east,Moreton West and Saughall Massie,Is Moreton West and Saughall Massie east of Bromley Cross?,No,flip_place
Stocksbridge & Upper Don,east,Audenshaw,Is Stocksbridge & Upper Don east of Audenshaw?,Yes,no_change
Stocksbridge & Upper Don,east,Audenshaw,Is Stocksbridge & Upper Don west of Audenshaw?,No,replace_dir_token
Northenden,east,Picton Cheshire,Is Northenden east of Picton Cheshire?,Yes,no_change
Northenden,east,Picton Cheshire,Is Northenden west of Picton Cheshire?,No,replace_dir_token
Balby South,east,Northowram and Shelf,Is Balby South east of Northowram and Shelf?,Yes,no_change
Balby South,east,Northowram and Shelf,Is Northowram and Shelf east of Balby South?,No,flip_place
Great Horton,east,Atherton,Is Great Horton east of Atherton?,Yes,no_change
Great Horton,east,Atherton,Is Great Horton west of Atherton?,No,replace_dir_token
Lozells and East Handsworth,east,Amblecote,Is Lozells and East Handsworth east of Amblecote?,Yes,no_change
Lozells and East Handsworth,east,Amblecote,Is Amblecote east of Lozells and East Handsworth?,No,flip_place
Central Rochdale,east,Bradshaw,Is Central Rochdale east of Bradshaw?,Yes,no_change
Central Rochdale,east,Bradshaw,Is Central Rochdale west of Bradshaw?,No,replace_dir_token
Longdendale,east,South Middleton,Is Longdendale east of South Middleton?,Yes,no_change
Longdendale,east,South Middleton,Is Longdendale west of South Middleton?,No,replace_dir_token
Ardsley and Robin Hood,east,Keighley,Is Ardsley and Robin Hood east of Keighley?,Yes,no_change
Ardsley and Robin Hood,east,Keighley,Is Keighley east of Ardsley and Robin Hood?,No,flip_place
Sutton Four Oaks,east,Rowley,Is Sutton Four Oaks east of Rowley?,Yes,no_change
Sutton Four Oaks,east,Rowley,Is Sutton Four Oaks west of Rowley?,No,replace_dir_token
Mirfield,east,Westhoughton North and Chew Moor,Is Mirfield east of Westhoughton North and Chew Moor?,Yes,no_change
Mirfield,east,Westhoughton North and Chew Moor,Is Mirfield west of Westhoughton North and Chew Moor?,No,replace_dir_token
Pontefract South,east,Kensington and Fairfield,Is Pontefract South east of Kensington and Fairfield?,Yes,no_change
Pontefract South,east,Kensington and Fairfield,Is Kensington and Fairfield east of Pontefract South?,No,flip_place
Armthorpe,east,Denby Dale,Is Armthorpe east of Denby Dale?,Yes,no_change
Armthorpe,east,Denby Dale,Is Armthorpe west of Denby Dale?,No,replace_dir_token
Alwoodley,east,Central Rochdale,Is Alwoodley east of Central Rochdale?,Yes,no_change
Alwoodley,east,Central Rochdale,Is Alwoodley west of Central Rochdale?,No,replace_dir_token
Clayton and Fairweather Green,east,Astley Village,Is Clayton and Fairweather Green east of Astley Village?,Yes,no_change
Clayton and Fairweather Green,east,Astley Village,Is Clayton and Fairweather Green west of Astley Village?,No,replace_dir_token
Keppel,east,Sutton Weaver (civil parish),Is Keppel east of Sutton Weaver (civil parish)?,Yes,no_change
Keppel,east,Sutton Weaver (civil parish),Is Keppel west of Sutton Weaver (civil parish)?,No,replace_dir_token
Dodworth,east,Mossley Hill,Is Dodworth east of Mossley Hill?,Yes,no_change
Dodworth,east,Mossley Hill,Is Mossley Hill east of Dodworth?,No,flip_place
Illingworth and Mixenden,east,Todmorden,Is Illingworth and Mixenden east of Todmorden?,Yes,no_change
Illingworth and Mixenden,east,Todmorden,Is Todmorden east of Illingworth and Mixenden?,No,flip_place
Chadderton South,east,Moston,Is Chadderton South east of Moston?,Yes,no_change
Chadderton South,east,Moston,Is Moston east of Chadderton South?,No,flip_place
Edenthorpe,east,Thornton and Allerton,Is Edenthorpe east of Thornton and Allerton?,Yes,no_change
Edenthorpe,east,Thornton and Allerton,Is Edenthorpe west of Thornton and Allerton?,No,replace_dir_token
Winton,east,Boothstown and Ellenbrook,Is Winton east of Boothstown and Ellenbrook?,Yes,no_change
Winton,east,Boothstown and Ellenbrook,Is Winton west of Boothstown and Ellenbrook?,No,replace_dir_token
Garforth and Swillington,east,Cheadle and Gatley,Is Garforth and Swillington east of Cheadle and Gatley?,Yes,no_change
Garforth and Swillington,east,Cheadle and Gatley,Is Garforth and Swillington west of Cheadle and Gatley?,No,replace_dir_token
Ardsley and Robin Hood,east,St. James',Is Ardsley and Robin Hood east of St. James'?,Yes,no_change
Ardsley and Robin Hood,east,St. James',Is St. James' east of Ardsley and Robin Hood?,No,flip_place
Hoober,east,Stretford,Is Hoober east of Stretford?,Yes,no_change
Hoober,east,Stretford,Is Stretford east of Hoober?,No,flip_place
Bramley and Stanningley,east,Upton,Is Bramley and Stanningley east of Upton?,Yes,no_change
Bramley and Stanningley,east,Upton,Is Bramley and Stanningley west of Upton?,No,replace_dir_token
St. Mary's,east,Wigan West,Is St. Mary's east of Wigan West?,Yes,no_change
St. Mary's,east,Wigan West,Is St. Mary's west of Wigan West?,No,replace_dir_token
Dukinfield,east,Broadheath,Is Dukinfield east of Broadheath?,Yes,no_change
Dukinfield,east,Broadheath,Is Broadheath east of Dukinfield?,No,flip_place
Silverwood,east,Hoylake and Meols,Is Silverwood east of Hoylake and Meols?,Yes,no_change
Silverwood,east,Hoylake and Meols,Is Hoylake and Meols east of Silverwood?,No,flip_place
Royton North,east,Birkdale,Is Royton North east of Birkdale?,Yes,no_change
Royton North,east,Birkdale,Is Birkdale east of Royton North?,No,flip_place
Crofton Ryhill and Walton,east,Penistone,Is Crofton Ryhill and Walton east of Penistone?,Yes,no_change
Crofton Ryhill and Walton,east,Penistone,Is Crofton Ryhill and Walton west of Penistone?,No,replace_dir_token
Bingley,east,Leigh South,Is Bingley east of Leigh South?,Yes,no_change
Bingley,east,Leigh South,Is Bingley west of Leigh South?,No,replace_dir_token
Eccleston St Helens,east,Bromborough,Is Eccleston St Helens east of Bromborough?,Yes,no_change
Eccleston St Helens,east,Bromborough,Is Bromborough east of Eccleston St Helens?,No,flip_place
North East,east,Keighley,Is North East east of Keighley?,Yes,no_change
North East,east,Keighley,Is Keighley east of North East?,No,flip_place
Pemberton,east,Netherton and Orrell,Is Pemberton east of Netherton and Orrell?,Yes,no_change
Pemberton,east,Netherton and Orrell,Is Pemberton west of Netherton and Orrell?,No,replace_dir_token
Lindley,east,Bromley Cross,Is Lindley east of Bromley Cross?,Yes,no_change
Lindley,east,Bromley Cross,Is Bromley Cross east of Lindley?,No,flip_place
Broomhill & Sharrow Vale,east,Westhoughton North and Chew Moor,Is Broomhill & Sharrow Vale east of Westhoughton North and Chew Moor?,Yes,no_change
Broomhill & Sharrow Vale,east,Westhoughton North and Chew Moor,Is Broomhill & Sharrow Vale west of Westhoughton North and Chew Moor?,No,replace_dir_token
Wharfedale,east,Farnworth,Is Wharfedale east of Farnworth?,Yes,no_change
Wharfedale,east,Farnworth,Is Farnworth east of Wharfedale?,No,flip_place
Felling,east,Ryton Crookhill and Stella,Is Felling east of Ryton Crookhill and Stella?,Yes,no_change
Felling,east,Ryton Crookhill and Stella,Is Ryton Crookhill and Stella east of Felling?,No,flip_place
Middleton Park,east,Farnworth,Is Middleton Park east of Farnworth?,Yes,no_change
Middleton Park,east,Farnworth,Is Middleton Park west of Farnworth?,No,replace_dir_token
Wainbody,east,Norton,Is Wainbody east of Norton?,Yes,no_change
Wainbody,east,Norton,Is Wainbody west of Norton?,No,replace_dir_token
Richmond,east,Ford,Is Richmond east of Ford?,Yes,no_change
Richmond,east,Ford,Is Ford east of Richmond?,No,flip_place
Great Lever,east,Hoylake and Meols,Is Great Lever east of Hoylake and Meols?,Yes,no_change
Great Lever,east,Hoylake and Meols,Is Hoylake and Meols east of Great Lever?,No,flip_place
Cullercoats,east,Saltwell,Is Cullercoats east of Saltwell?,Yes,no_change
Cullercoats,east,Saltwell,Is Cullercoats west of Saltwell?,No,replace_dir_token
Swinton,east,Hoober,Is Swinton east of Hoober?,Yes,no_change
Swinton,east,Hoober,Is Swinton west of Hoober?,No,replace_dir_token
Crompton,east,Birkenhead and Tranmere,Is Crompton east of Birkenhead and Tranmere?,Yes,no_change
Crompton,east,Birkenhead and Tranmere,Is Birkenhead and Tranmere east of Crompton?,No,flip_place
Conisbrough Parks,east,Altrincham,Is Conisbrough Parks east of Altrincham?,Yes,no_change
Conisbrough Parks,east,Altrincham,Is Conisbrough Parks west of Altrincham?,No,replace_dir_token
Wyke,east,Norwood,Is Wyke east of Norwood?,Yes,no_change
Wyke,east,Norwood,Is Norwood east of Wyke?,No,flip_place
West Ecclesfield,east,Wigan West,Is West Ecclesfield east of Wigan West?,Yes,no_change
West Ecclesfield,east,Wigan West,Is Wigan West east of West Ecclesfield?,No,flip_place
Sprotbrough and Cusworth,east,Halliwell,Is Sprotbrough and Cusworth east of Halliwell?,Yes,no_change
Sprotbrough and Cusworth,east,Halliwell,Is Halliwell east of Sprotbrough and Cusworth?,No,flip_place
Lower Stoke,east,Acocks Green,Is Lower Stoke east of Acocks Green?,Yes,no_change
Lower Stoke,east,Acocks Green,Is Lower Stoke west of Acocks Green?,No,replace_dir_token
Nether Edge & Sharrow,east,Cheadle Hulme North,Is Nether Edge & Sharrow east of Cheadle Hulme North?,Yes,no_change
Nether Edge & Sharrow,east,Cheadle Hulme North,Is Cheadle Hulme North east of Nether Edge & Sharrow?,No,flip_place
