place1,dis,place2_Y,dir,place2_Z,triplet,question,answer,transition
Ouseburn,far,West Ecclesfield,east,Chopwell and Rowlands Gill,"Ouseburn is far West Ecclesfield, east Chopwell and Rowlands Gill",Is Ouseburn near to West Ecclesfield and east of Chopwell and Rowlands Gill?,No,replace_distance
Weoley,near,Finstall,south,Bushbury South and Low Hill,"Weoley is near Finstall, south Bushbury South and Low Hill",Is Weoley near to Finstall and south of Bushbury South and Low Hill?,Yes,no_change
Weoley,near,Finstall,south,Bushbury South and Low Hill,"Weoley is near Finstall, south Bushbury South and Low Hill",Is Finstall far to Weoley and south of Bushbury South and Low Hill?,No,flip_place_replace_distance
Weoley,close,Smith's Wood,west,Radford,"Weoley is close Smith's Wood, west Radford",Is Weoley close to Smith's Wood and west of Radford?,Yes,no_change
Weoley,close,Smith's Wood,west,Radford,"Weoley is close Smith's Wood, west Radford",Is Weoley distant to Smith's Wood and west of Radford?,No,replace_distance
Weoley,distant,Sherbourne Warwickshire,north,Kings Norton,"Weoley is distant Sherbourne Warwickshire, north Kings Norton",Is Weoley distant to Sherbourne Warwickshire and north of Kings Norton?,Yes,no_change
Weoley,distant,Sherbourne Warwickshire,north,Kings Norton,"Weoley is distant Sherbourne Warwickshire, north Kings Norton",Is Weoley distant to Sherbourne Warwickshire and south of Kings Norton?,No,replace_direction
Weoley,far,Denby Dale,east,Wollaston and Stourbridge Town,"Weoley is far Denby Dale, east Wollaston and Stourbridge Town",Is Weoley far to Denby Dale and east of Wollaston and Stourbridge Town?,Yes,no_change
Weoley,far,Denby Dale,east,Wollaston and Stourbridge Town,"Weoley is far Denby Dale, east Wollaston and Stourbridge Town",Is Weoley far to Denby Dale and west of Wollaston and Stourbridge Town?,No,replace_direction
Denby Dale,near,Penistone,east,Northenden,"Denby Dale is near Penistone, east Northenden",Is Denby Dale near to Penistone and east of Northenden?,Yes,no_change
Denby Dale,near,Penistone,east,Northenden,"Denby Dale is near Penistone, east Northenden",Is Penistone far to Denby Dale and east of Northenden?,No,flip_place_replace_distance
Denby Dale,close,Orgreave South Yorkshire,west,Swinton,"Denby Dale is close Orgreave South Yorkshire, west Swinton",Is Denby Dale close to Orgreave South Yorkshire and west of Swinton?,Yes,no_change
Denby Dale,close,Orgreave South Yorkshire,west,Swinton,"Denby Dale is close Orgreave South Yorkshire, west Swinton",Is Orgreave South Yorkshire distant to Denby Dale and west of Swinton?,No,flip_place_replace_distance
Denby Dale,distant,Wales South Yorkshire,north,Erdington,"Denby Dale is distant Wales South Yorkshire, north Erdington",Is Denby Dale distant to Wales South Yorkshire and north of Erdington?,Yes,no_change
Denby Dale,distant,Wales South Yorkshire,north,Erdington,"Denby Dale is distant Wales South Yorkshire, north Erdington",Is Denby Dale distant to Wales South Yorkshire and south of Erdington?,No,replace_direction
Denby Dale,far,Meriden West Midlands,south,Whitley Bay,"Denby Dale is far Meriden West Midlands, south Whitley Bay",Is Denby Dale far to Meriden West Midlands and south of Whitley Bay?,Yes,no_change
Denby Dale,far,Meriden West Midlands,south,Whitley Bay,"Denby Dale is far Meriden West Midlands, south Whitley Bay",Is Meriden West Midlands near to Denby Dale and south of Whitley Bay?,No,flip_place_replace_distance
Eccles,near,Ordsall,west,Birley,"Eccles is near Ordsall, west Birley",Is Eccles near to Ordsall and west of Birley?,Yes,no_change
Eccles,near,Ordsall,west,Birley,"Eccles is near Ordsall, west Birley",Is Eccles far to Ordsall and west of Birley?,No,replace_distance
Eccles,close,Longsight,south,Battle Hill,"Eccles is close Longsight, south Battle Hill",Is Eccles close to Longsight and south of Battle Hill?,Yes,no_change
Eccles,close,Longsight,south,Battle Hill,"Eccles is close Longsight, south Battle Hill",Is Eccles close to Longsight and north of Battle Hill?,No,replace_direction
Eccles,distant,Tong,east,Clatterbridge,"Eccles is distant Tong, east Clatterbridge",Is Eccles distant to Tong and east of Clatterbridge?,Yes,no_change
Eccles,distant,Tong,east,Clatterbridge,"Eccles is distant Tong, east Clatterbridge",Is Eccles close to Tong and east of Clatterbridge?,No,replace_distance
Eccles,far,Merry Hill,north,Shirley East,"Eccles is far Merry Hill, north Shirley East",Is Eccles far to Merry Hill and north of Shirley East?,Yes,no_change
Eccles,far,Merry Hill,north,Shirley East,"Eccles is far Merry Hill, north Shirley East",Is Merry Hill near to Eccles and north of Shirley East?,No,flip_place_replace_distance
Cheetham,near,East Middleton,west,Bramley and Stanningley,"Cheetham is near East Middleton, west Bramley and Stanningley",Is Cheetham near to East Middleton and west of Bramley and Stanningley?,Yes,no_change
Cheetham,near,East Middleton,west,Bramley and Stanningley,"Cheetham is near East Middleton, west Bramley and Stanningley",Is Cheetham near to East Middleton and east of Bramley and Stanningley?,No,replace_direction
Cheetham,close,Harper Green,south,Woolsington,"Cheetham is close Harper Green, south Woolsington",Is Cheetham close to Harper Green and south of Woolsington?,Yes,no_change
Cheetham,close,Harper Green,south,Woolsington,"Cheetham is close Harper Green, south Woolsington",Is Harper Green distant to Cheetham and south of Woolsington?,No,flip_place_replace_distance
Cheetham,distant,Wakefield North,east,Eccleston St Helens,"Cheetham is distant Wakefield North, east Eccleston St Helens",Is Cheetham distant to Wakefield North and east of Eccleston St Helens?,Yes,no_change
Cheetham,distant,Wakefield North,east,Eccleston St Helens,"Cheetham is distant Wakefield North, east Eccleston St Helens",Is Cheetham distant to Wakefield North and west of Eccleston St Helens?,No,replace_direction
Cheetham,far,Norton & Askern,north,Wordsley,"Cheetham is far Norton & Askern, north Wordsley",Is Cheetham far to Norton & Askern and north of Wordsley?,Yes,no_change
Cheetham,far,Norton & Askern,north,Wordsley,"Cheetham is far Norton & Askern, north Wordsley",Is Cheetham far to Norton & Askern and south of Wordsley?,No,replace_direction
Silverwood,near,Sprotbrough and Cusworth,east,Baguley,"Silverwood is near Sprotbrough and Cusworth, east Baguley",Is Silverwood near to Sprotbrough and Cusworth and east of Baguley?,Yes,no_change
Silverwood,near,Sprotbrough and Cusworth,east,Baguley,"Silverwood is near Sprotbrough and Cusworth, east Baguley",Is Silverwood near to Sprotbrough and Cusworth and west of Baguley?,No,replace_direction
Silverwood,close,Wakefield Rural,north,Washwood Heath,"Silverwood is close Wakefield Rural, north Washwood Heath",Is Silverwood close to Wakefield Rural and north of Washwood Heath?,Yes,no_change
Silverwood,close,Wakefield Rural,north,Washwood Heath,"Silverwood is close Wakefield Rural, north Washwood Heath",Is Silverwood close to Wakefield Rural and south of Washwood Heath?,No,replace_direction
Silverwood,distant,Wakefield East,south,Barnes,"Silverwood is distant Wakefield East, south Barnes",Is Silverwood distant to Wakefield East and south of Barnes?,Yes,no_change
Silverwood,distant,Wakefield East,south,Barnes,"Silverwood is distant Wakefield East, south Barnes",Is Silverwood distant to Wakefield East and north of Barnes?,No,replace_direction
Silverwood,far,St. Gabriels,west,Edlington & Warmsworth,"Silverwood is far St. Gabriels, west Edlington & Warmsworth",Is Silverwood far to St. Gabriels and west of Edlington & Warmsworth?,Yes,no_change
Silverwood,far,St. Gabriels,west,Edlington & Warmsworth,"Silverwood is far St. Gabriels, west Edlington & Warmsworth",Is Silverwood near to St. Gabriels and west of Edlington & Warmsworth?,No,replace_distance
Tyldesley,near,Westhoughton,north,Woodlands,"Tyldesley is near Westhoughton, north Woodlands",Is Tyldesley near to Westhoughton and north of Woodlands?,Yes,no_change
Tyldesley,near,Westhoughton,north,Woodlands,"Tyldesley is near Westhoughton, north Woodlands",Is Tyldesley far to Westhoughton and north of Woodlands?,No,replace_distance
Tyldesley,close,Bryn,west,Horsforth,"Tyldesley is close Bryn, west Horsforth",Is Tyldesley close to Bryn and west of Horsforth?,Yes,no_change
Tyldesley,close,Bryn,west,Horsforth,"Tyldesley is close Bryn, west Horsforth",Is Bryn distant to Tyldesley and west of Horsforth?,No,flip_place_replace_distance
Tyldesley,distant,Warbreck,south,Fawdon,"Tyldesley is distant Warbreck, south Fawdon",Is Tyldesley distant to Warbreck and south of Fawdon?,Yes,no_change
Tyldesley,distant,Warbreck,south,Fawdon,"Tyldesley is distant Warbreck, south Fawdon",Is Tyldesley distant to Warbreck and north of Fawdon?,No,replace_direction
Tyldesley,far,Washington East,east,Kirkdale,"Tyldesley is far Washington East, east Kirkdale",Is Tyldesley far to Washington East and east of Kirkdale?,Yes,no_change
Tyldesley,far,Washington East,east,Kirkdale,"Tyldesley is far Washington East, east Kirkdale",Is Tyldesley near to Washington East and east of Kirkdale?,No,replace_distance
Bessacarr,near,Hatfield,south,Stainforth & Barnby Dun,"Bessacarr is near Hatfield, south Stainforth & Barnby Dun",Is Bessacarr near to Hatfield and south of Stainforth & Barnby Dun?,Yes,no_change
Bessacarr,near,Hatfield,south,Stainforth & Barnby Dun,"Bessacarr is near Hatfield, south Stainforth & Barnby Dun",Is Bessacarr near to Hatfield and north of Stainforth & Barnby Dun?,No,replace_direction
Bessacarr,close,North East,east,Bradshaw,"Bessacarr is close North East, east Bradshaw",Is Bessacarr close to North East and east of Bradshaw?,Yes,no_change
Bessacarr,close,North East,east,Bradshaw,"Bessacarr is close North East, east Bradshaw",Is North East distant to Bessacarr and east of Bradshaw?,No,flip_place_replace_distance
Bessacarr,distant,Park & Arbourthorne,north,Princes End,"Bessacarr is distant Park & Arbourthorne, north Princes End",Is Bessacarr distant to Park & Arbourthorne and north of Princes End?,Yes,no_change
Bessacarr,distant,Park & Arbourthorne,north,Princes End,"Bessacarr is distant Park & Arbourthorne, north Princes End",Is Bessacarr close to Park & Arbourthorne and north of Princes End?,No,replace_distance
Bessacarr,far,Northfield,west,Hatfield,"Bessacarr is far Northfield, west Hatfield",Is Bessacarr far to Northfield and west of Hatfield?,Yes,no_change
Bessacarr,far,Northfield,west,Hatfield,"Bessacarr is far Northfield, west Hatfield",Is Northfield near to Bessacarr and west of Hatfield?,No,flip_place_replace_distance
Lobley Hill and Bensham,near,South Heaton,north,Kings Norton,"Lobley Hill and Bensham is near South Heaton, north Kings Norton",Is Lobley Hill and Bensham near to South Heaton and north of Kings Norton?,Yes,no_change
Lobley Hill and Bensham,near,South Heaton,north,Kings Norton,"Lobley Hill and Bensham is near South Heaton, north Kings Norton",Is South Heaton far to Lobley Hill and Bensham and north of Kings Norton?,No,flip_place_replace_distance
Lobley Hill and Bensham,close,Weetslade,east,Chopwell and Rowlands Gill,"Lobley Hill and Bensham is close Weetslade, east Chopwell and Rowlands Gill",Is Lobley Hill and Bensham close to Weetslade and east of Chopwell and Rowlands Gill?,Yes,no_change
Lobley Hill and Bensham,close,Weetslade,east,Chopwell and Rowlands Gill,"Lobley Hill and Bensham is close Weetslade, east Chopwell and Rowlands Gill",Is Weetslade distant to Lobley Hill and Bensham and east of Chopwell and Rowlands Gill?,No,flip_place_replace_distance
Lobley Hill and Bensham,far,Winstanley,west,Castle Eden,"Lobley Hill and Bensham is far Winstanley, west Castle Eden",Is Lobley Hill and Bensham far to Winstanley and west of Castle Eden?,Yes,no_change
Lobley Hill and Bensham,far,Winstanley,west,Castle Eden,"Lobley Hill and Bensham is far Winstanley, west Castle Eden",Is Lobley Hill and Bensham near to Winstanley and west of Castle Eden?,No,replace_distance
Washington Central,near,Washington East,north,Westhoughton,"Washington Central is near Washington East, north Westhoughton",Is Washington Central near to Washington East and north of Westhoughton?,Yes,no_change
Washington Central,near,Washington East,north,Westhoughton,"Washington Central is near Washington East, north Westhoughton",Is Washington Central far to Washington East and north of Westhoughton?,No,replace_distance
Washington Central,close,Westgate,west,Southwick,"Washington Central is close Westgate, west Southwick",Is Washington Central close to Westgate and west of Southwick?,Yes,no_change
Washington Central,close,Westgate,west,Southwick,"Washington Central is close Westgate, west Southwick",Is Washington Central distant to Westgate and west of Southwick?,No,replace_distance
Washington Central,far,Bryn,east,Ryton Crookhill and Stella,"Washington Central is far Bryn, east Ryton Crookhill and Stella",Is Washington Central far to Bryn and east of Ryton Crookhill and Stella?,Yes,no_change
Washington Central,far,Bryn,east,Ryton Crookhill and Stella,"Washington Central is far Bryn, east Ryton Crookhill and Stella",Is Washington Central far to Bryn and west of Ryton Crookhill and Stella?,No,replace_direction
Graves Park,near,Orgreave South Yorkshire,east,Marple South,"Graves Park is near Orgreave South Yorkshire, east Marple South",Is Graves Park near to Orgreave South Yorkshire and east of Marple South?,Yes,no_change
Graves Park,near,Orgreave South Yorkshire,east,Marple South,"Graves Park is near Orgreave South Yorkshire, east Marple South",Is Graves Park near to Orgreave South Yorkshire and west of Marple South?,No,replace_direction
Graves Park,close,Mexborough,north,Dorridge and Hockley Heath,"Graves Park is close Mexborough, north Dorridge and Hockley Heath",Is Graves Park close to Mexborough and north of Dorridge and Hockley Heath?,Yes,no_change
Graves Park,close,Mexborough,north,Dorridge and Hockley Heath,"Graves Park is close Mexborough, north Dorridge and Hockley Heath",Is Graves Park distant to Mexborough and north of Dorridge and Hockley Heath?,No,replace_distance
Graves Park,distant,Milnrow and Newhey,south,Chopwell and Rowlands Gill,"Graves Park is distant Milnrow and Newhey, south Chopwell and Rowlands Gill",Is Graves Park distant to Milnrow and Newhey and south of Chopwell and Rowlands Gill?,Yes,no_change
Graves Park,distant,Milnrow and Newhey,south,Chopwell and Rowlands Gill,"Graves Park is distant Milnrow and Newhey, south Chopwell and Rowlands Gill",Is Graves Park distant to Milnrow and Newhey and north of Chopwell and Rowlands Gill?,No,replace_direction
Graves Park,far,Mossley Hill,west,Wheatley Hills & Intake,"Graves Park is far Mossley Hill, west Wheatley Hills & Intake",Is Graves Park far to Mossley Hill and west of Wheatley Hills & Intake?,Yes,no_change
Graves Park,far,Mossley Hill,west,Wheatley Hills & Intake,"Graves Park is far Mossley Hill, west Wheatley Hills & Intake",Is Mossley Hill near to Graves Park and west of Wheatley Hills & Intake?,No,flip_place_replace_distance
Dorridge and Hockley Heath,near,Silhill,south,Sutton New Hall,"Dorridge and Hockley Heath is near Silhill, south Sutton New Hall",Is Dorridge and Hockley Heath near to Silhill and south of Sutton New Hall?,Yes,no_change
Dorridge and Hockley Heath,near,Silhill,south,Sutton New Hall,"Dorridge and Hockley Heath is near Silhill, south Sutton New Hall",Is Dorridge and Hockley Heath near to Silhill and north of Sutton New Hall?,No,replace_direction
Dorridge and Hockley Heath,close,Sherbourne Warwickshire,east,St. Thomas's,"Dorridge and Hockley Heath is close Sherbourne Warwickshire, east St. Thomas's",Is Dorridge and Hockley Heath close to Sherbourne Warwickshire and east of St. Thomas's?,Yes,no_change
Dorridge and Hockley Heath,close,Sherbourne Warwickshire,east,St. Thomas's,"Dorridge and Hockley Heath is close Sherbourne Warwickshire, east St. Thomas's",Is Sherbourne Warwickshire distant to Dorridge and Hockley Heath and east of St. Thomas's?,No,flip_place_replace_distance
Dorridge and Hockley Heath,distant,Halesowen North,west,Cheylesmore,"Dorridge and Hockley Heath is distant Halesowen North, west Cheylesmore",Is Dorridge and Hockley Heath distant to Halesowen North and west of Cheylesmore?,Yes,no_change
Dorridge and Hockley Heath,distant,Halesowen North,west,Cheylesmore,"Dorridge and Hockley Heath is distant Halesowen North, west Cheylesmore",Is Halesowen North close to Dorridge and Hockley Heath and west of Cheylesmore?,No,flip_place_replace_distance
Rainhill,near,Windle St Helens,south,Copt Hill,"Rainhill is near Windle St Helens, south Copt Hill",Is Rainhill near to Windle St Helens and south of Copt Hill?,Yes,no_change
Rainhill,near,Windle St Helens,south,Copt Hill,"Rainhill is near Windle St Helens, south Copt Hill",Is Rainhill near to Windle St Helens and north of Copt Hill?,No,replace_direction
Rainhill,close,Shevington,north,Short Heath,"Rainhill is close Shevington, north Short Heath",Is Rainhill close to Shevington and north of Short Heath?,Yes,no_change
Rainhill,close,Shevington,north,Short Heath,"Rainhill is close Shevington, north Short Heath",Is Rainhill distant to Shevington and north of Short Heath?,No,replace_distance
Rainhill,distant,Saddleworth,west,Burnage,"Rainhill is distant Saddleworth, west Burnage",Is Rainhill distant to Saddleworth and west of Burnage?,Yes,no_change
Rainhill,distant,Saddleworth,west,Burnage,"Rainhill is distant Saddleworth, west Burnage",Is Rainhill close to Saddleworth and west of Burnage?,No,replace_distance
Rainhill,far,Wetherby,east,Anfield,"Rainhill is far Wetherby, east Anfield",Is Rainhill far to Wetherby and east of Anfield?,Yes,no_change
Rainhill,far,Wetherby,east,Anfield,"Rainhill is far Wetherby, east Anfield",Is Rainhill far to Wetherby and west of Anfield?,No,replace_direction
Stanley and Outwood East,near,Wakefield South,north,Dodworth,"Stanley and Outwood East is near Wakefield South, north Dodworth",Is Stanley and Outwood East near to Wakefield South and north of Dodworth?,Yes,no_change
Stanley and Outwood East,near,Wakefield South,north,Dodworth,"Stanley and Outwood East is near Wakefield South, north Dodworth",Is Stanley and Outwood East far to Wakefield South and north of Dodworth?,No,replace_distance
Stanley and Outwood East,close,Wath,east,St. Mary's,"Stanley and Outwood East is close Wath, east St. Mary's",Is Stanley and Outwood East close to Wath and east of St. Mary's?,Yes,no_change
Stanley and Outwood East,close,Wath,east,St. Mary's,"Stanley and Outwood East is close Wath, east St. Mary's",Is Wath distant to Stanley and Outwood East and east of St. Mary's?,No,flip_place_replace_distance
Stanley and Outwood East,distant,Stannington,south,Lobley Hill and Bensham,"Stanley and Outwood East is distant Stannington, south Lobley Hill and Bensham",Is Stanley and Outwood East distant to Stannington and south of Lobley Hill and Bensham?,Yes,no_change
Stanley and Outwood East,distant,Stannington,south,Lobley Hill and Bensham,"Stanley and Outwood East is distant Stannington, south Lobley Hill and Bensham",Is Stannington close to Stanley and Outwood East and south of Lobley Hill and Bensham?,No,flip_place_replace_distance
Stanley and Outwood East,far,Hetton-le-Hole,west,Armthorpe,"Stanley and Outwood East is far Hetton-le-Hole, west Armthorpe",Is Stanley and Outwood East far to Hetton-le-Hole and west of Armthorpe?,Yes,no_change
Stanley and Outwood East,far,Hetton-le-Hole,west,Armthorpe,"Stanley and Outwood East is far Hetton-le-Hole, west Armthorpe",Is Stanley and Outwood East far to Hetton-le-Hole and east of Armthorpe?,No,replace_direction
Washington East,near,Windy Nook and Whitehills,north,Keppel,"Washington East is near Windy Nook and Whitehills, north Keppel",Is Washington East near to Windy Nook and Whitehills and north of Keppel?,Yes,no_change
Washington East,near,Windy Nook and Whitehills,north,Keppel,"Washington East is near Windy Nook and Whitehills, north Keppel",Is Washington East near to Windy Nook and Whitehills and south of Keppel?,No,replace_direction
Washington East,close,Whitburn and Marsden,east,Birtley,"Washington East is close Whitburn and Marsden, east Birtley",Is Washington East close to Whitburn and Marsden and east of Birtley?,Yes,no_change
Washington East,close,Whitburn and Marsden,east,Birtley,"Washington East is close Whitburn and Marsden, east Birtley",Is Washington East close to Whitburn and Marsden and west of Birtley?,No,replace_direction
Washington East,far,Woodhouse,south,Woolsington,"Washington East is far Woodhouse, south Woolsington",Is Washington East far to Woodhouse and south of Woolsington?,Yes,no_change
Washington East,far,Woodhouse,south,Woolsington,"Washington East is far Woodhouse, south Woolsington",Is Washington East near to Woodhouse and south of Woolsington?,No,replace_distance
Finningley,near,Rossington,east,Valley,"Finningley is near Rossington, east Valley",Is Finningley near to Rossington and east of Valley?,Yes,no_change
Finningley,near,Rossington,east,Valley,"Finningley is near Rossington, east Valley",Is Rossington far to Finningley and east of Valley?,No,flip_place_replace_distance
Finningley,close,Dinnington St. John's,south,Horsley Hill,"Finningley is close Dinnington St. John's, south Horsley Hill",Is Finningley close to Dinnington St. John's and south of Horsley Hill?,Yes,no_change
Finningley,close,Dinnington St. John's,south,Horsley Hill,"Finningley is close Dinnington St. John's, south Horsley Hill",Is Finningley close to Dinnington St. John's and north of Horsley Hill?,No,replace_direction
Finningley,distant,Kirkburton,north,Sheldon,"Finningley is distant Kirkburton, north Sheldon",Is Finningley distant to Kirkburton and north of Sheldon?,Yes,no_change
Finningley,distant,Kirkburton,north,Sheldon,"Finningley is distant Kirkburton, north Sheldon",Is Finningley close to Kirkburton and north of Sheldon?,No,replace_distance
South Heaton,near,South Jesmond,north,Mossley Hill,"South Heaton is near South Jesmond, north Mossley Hill",Is South Heaton near to South Jesmond and north of Mossley Hill?,Yes,no_change
South Heaton,near,South Jesmond,north,Mossley Hill,"South Heaton is near South Jesmond, north Mossley Hill",Is South Jesmond far to South Heaton and north of Mossley Hill?,No,flip_place_replace_distance
South Heaton,close,Whiteleas,east,Blakelaw and North Fenham,"South Heaton is close Whiteleas, east Blakelaw and North Fenham",Is South Heaton close to Whiteleas and east of Blakelaw and North Fenham?,Yes,no_change
South Heaton,close,Whiteleas,east,Blakelaw and North Fenham,"South Heaton is close Whiteleas, east Blakelaw and North Fenham",Is South Heaton close to Whiteleas and west of Blakelaw and North Fenham?,No,replace_direction
South Heaton,far,Wakefield East,south,Camperdown,"South Heaton is far Wakefield East, south Camperdown",Is South Heaton far to Wakefield East and south of Camperdown?,Yes,no_change
South Heaton,far,Wakefield East,south,Camperdown,"South Heaton is far Wakefield East, south Camperdown",Is South Heaton far to Wakefield East and north of Camperdown?,No,replace_direction
Ancoats and Clayton,near,Irwell Riverside,south,Church,"Ancoats and Clayton is near Irwell Riverside, south Church",Is Ancoats and Clayton near to Irwell Riverside and south of Church?,Yes,no_change
Ancoats and Clayton,near,Irwell Riverside,south,Church,"Ancoats and Clayton is near Irwell Riverside, south Church",Is Ancoats and Clayton far to Irwell Riverside and south of Church?,No,replace_distance
Ancoats and Clayton,close,Northenden,north,Bloxwich East,"Ancoats and Clayton is close Northenden, north Bloxwich East",Is Ancoats and Clayton close to Northenden and north of Bloxwich East?,Yes,no_change
Ancoats and Clayton,close,Northenden,north,Bloxwich East,"Ancoats and Clayton is close Northenden, north Bloxwich East",Is Northenden distant to Ancoats and Clayton and north of Bloxwich East?,No,flip_place_replace_distance
Ancoats and Clayton,distant,Crosland Moor and Netherton,west,Mossley,"Ancoats and Clayton is distant Crosland Moor and Netherton, west Mossley",Is Ancoats and Clayton distant to Crosland Moor and Netherton and west of Mossley?,Yes,no_change
Ancoats and Clayton,distant,Crosland Moor and Netherton,west,Mossley,"Ancoats and Clayton is distant Crosland Moor and Netherton, west Mossley",Is Ancoats and Clayton distant to Crosland Moor and Netherton and east of Mossley?,No,replace_direction
Ancoats and Clayton,far,Tettenhall Wightwick,east,Tonge with the Haulgh,"Ancoats and Clayton is far Tettenhall Wightwick, east Tonge with the Haulgh",Is Ancoats and Clayton far to Tettenhall Wightwick and east of Tonge with the Haulgh?,Yes,no_change
Ancoats and Clayton,far,Tettenhall Wightwick,east,Tonge with the Haulgh,"Ancoats and Clayton is far Tettenhall Wightwick, east Tonge with the Haulgh",Is Ancoats and Clayton near to Tettenhall Wightwick and east of Tonge with the Haulgh?,No,replace_distance
Old Swan,near,Woolton,west,Failsworth East,"Old Swan is near Woolton, west Failsworth East",Is Old Swan near to Woolton and west of Failsworth East?,Yes,no_change
Old Swan,near,Woolton,west,Failsworth East,"Old Swan is near Woolton, west Failsworth East",Is Old Swan far to Woolton and west of Failsworth East?,No,replace_distance
Old Swan,close,Upton,south,Bridges,"Old Swan is close Upton, south Bridges",Is Old Swan close to Upton and south of Bridges?,Yes,no_change
Old Swan,close,Upton,south,Bridges,"Old Swan is close Upton, south Bridges",Is Upton distant to Old Swan and south of Bridges?,No,flip_place_replace_distance
Old Swan,distant,Timperley,north,Oldbury,"Old Swan is distant Timperley, north Oldbury",Is Old Swan distant to Timperley and north of Oldbury?,Yes,no_change
Old Swan,distant,Timperley,north,Oldbury,"Old Swan is distant Timperley, north Oldbury",Is Old Swan distant to Timperley and south of Oldbury?,No,replace_direction
Old Swan,far,Mossley,east,Prenton,"Old Swan is far Mossley, east Prenton",Is Old Swan far to Mossley and east of Prenton?,Yes,no_change
Old Swan,far,Mossley,east,Prenton,"Old Swan is far Mossley, east Prenton",Is Old Swan far to Mossley and west of Prenton?,No,replace_direction
Acocks Green,near,Blythe,south,Wingfield,"Acocks Green is near Blythe, south Wingfield",Is Acocks Green near to Blythe and south of Wingfield?,Yes,no_change
Acocks Green,near,Blythe,south,Wingfield,"Acocks Green is near Blythe, south Wingfield",Is Acocks Green far to Blythe and south of Wingfield?,No,replace_distance
Acocks Green,close,Sutton New Hall,east,Longbridge,"Acocks Green is close Sutton New Hall, east Longbridge",Is Acocks Green close to Sutton New Hall and east of Longbridge?,Yes,no_change
Acocks Green,close,Sutton New Hall,east,Longbridge,"Acocks Green is close Sutton New Hall, east Longbridge",Is Sutton New Hall distant to Acocks Green and east of Longbridge?,No,flip_place_replace_distance
Acocks Green,distant,Upper Stoke,west,Lyndon,"Acocks Green is distant Upper Stoke, west Lyndon",Is Acocks Green distant to Upper Stoke and west of Lyndon?,Yes,no_change
Acocks Green,distant,Upper Stoke,west,Lyndon,"Acocks Green is distant Upper Stoke, west Lyndon",Is Acocks Green close to Upper Stoke and west of Lyndon?,No,replace_distance
Acocks Green,far,Woolton,north,Blythe,"Acocks Green is far Woolton, north Blythe",Is Acocks Green far to Woolton and north of Blythe?,Yes,no_change
Acocks Green,far,Woolton,north,Blythe,"Acocks Green is far Woolton, north Blythe",Is Woolton near to Acocks Green and north of Blythe?,No,flip_place_replace_distance
Hollinwood,near,Moston,south,Copt Hill,"Hollinwood is near Moston, south Copt Hill",Is Hollinwood near to Moston and south of Copt Hill?,Yes,no_change
Hollinwood,near,Moston,south,Copt Hill,"Hollinwood is near Moston, south Copt Hill",Is Hollinwood near to Moston and north of Copt Hill?,No,replace_direction
Hollinwood,close,Offerton Park,west,Orgreave South Yorkshire,"Hollinwood is close Offerton Park, west Orgreave South Yorkshire",Is Hollinwood close to Offerton Park and west of Orgreave South Yorkshire?,Yes,no_change
