place1,dir,place2_Y,top,place2_Z,triplet,question,answer,transition
Norden,west,Moortown,within,Metropolitan Borough of Rochdale,"Norden is west Moortown, within Metropolitan Borough of Rochdale",Is Norden west of Moortown and borders Metropolitan Borough of Rochdale?,No,replace_top_token
Norden,north,Old Warley,borders,East,"Norden is north Old Warley, borders East",Is Norden north of Old Warley and borders East?,Yes,no_change
Norden,north,Old Warley,borders,East,"Norden is north Old Warley, borders East",Is Norden south of Old Warley and borders East?,No,replace_dir_token
Lemington,south,Woolsington,within,Newcastle upon Tyne,"Lemington is south Woolsington, within Newcastle upon Tyne",Is Lemington south of Woolsington and within Newcastle upon Tyne?,Yes,no_change
Lemington,south,Woolsington,within,Newcastle upon Tyne,"Lemington is south Woolsington, within Newcastle upon Tyne",Is Lemington north of Woolsington and within Newcastle upon Tyne?,No,replace_dir_token
Lemington,north,Stepping Hill,borders,Benwell and Scotswood,"Lemington is north Stepping Hill, borders Benwell and Scotswood",Is Lemington north of Stepping Hill and borders Benwell and Scotswood?,Yes,no_change
Lemington,north,Stepping Hill,borders,Benwell and Scotswood,"Lemington is north Stepping Hill, borders Benwell and Scotswood",Is Lemington south of Stepping Hill and borders Benwell and Scotswood?,No,replace_dir_token
Old Swan,west,Atherton,within,Liverpool,"Old Swan is west Atherton, within Liverpool",Is Old Swan west of Atherton and within Liverpool?,Yes,no_change
Old Swan,west,Atherton,within,Liverpool,"Old Swan is west Atherton, within Liverpool",Is Old Swan east of Atherton and within Liverpool?,No,replace_dir_token
Old Swan,south,North Jesmond,borders,Picton Cheshire,"Old Swan is south North Jesmond, borders Picton Cheshire",Is Old Swan south of North Jesmond and borders Picton Cheshire?,Yes,no_change
Old Swan,south,North Jesmond,borders,Picton Cheshire,"Old Swan is south North Jesmond, borders Picton Cheshire",Is Picton Cheshire south of North Jesmond and borders Old Swan?,No,flip_place_z
Milkstone and Deeplish,east,Stockbridge,within,Metropolitan Borough of Rochdale,"Milkstone and Deeplish is east Stockbridge, within Metropolitan Borough of Rochdale",Is Milkstone and Deeplish east of Stockbridge and within Metropolitan Borough of Rochdale?,Yes,no_change
Milkstone and Deeplish,east,Stockbridge,within,Metropolitan Borough of Rochdale,"Milkstone and Deeplish is east Stockbridge, within Metropolitan Borough of Rochdale",Is Milkstone and Deeplish west of Stockbridge and within Metropolitan Borough of Rochdale?,No,replace_dir_token
Milkstone and Deeplish,north,Soho and Victoria,borders,Kingsway,"Milkstone and Deeplish is north Soho and Victoria, borders Kingsway",Is Milkstone and Deeplish north of Soho and Victoria and borders Kingsway?,Yes,no_change
Milkstone and Deeplish,north,Soho and Victoria,borders,Kingsway,"Milkstone and Deeplish is north Soho and Victoria, borders Kingsway",Is Milkstone and Deeplish north of Soho and Victoria and within Kingsway?,No,replace_top_token
Earlestown,south,Millfield,within,North West Euro Region,"Earlestown is south Millfield, within North West Euro Region",Is Earlestown south of Millfield and within North West Euro Region?,Yes,no_change
Earlestown,south,Millfield,within,North West Euro Region,"Earlestown is south Millfield, within North West Euro Region",Is Millfield south of Earlestown and within North West Euro Region?,No,flip_place_y
Earlestown,north,Wainbody,borders,Newton,"Earlestown is north Wainbody, borders Newton",Is Earlestown north of Wainbody and borders Newton?,Yes,no_change
Earlestown,north,Wainbody,borders,Newton,"Earlestown is north Wainbody, borders Newton",Is Earlestown south of Wainbody and borders Newton?,No,replace_dir_token
Hyde Park and Woodhouse,east,Baguley,within,County Borough of Leeds,"Hyde Park and Woodhouse is east Baguley, within County Borough of Leeds",Is Hyde Park and Woodhouse east of Baguley and within County Borough of Leeds?,Yes,no_change
Hyde Park and Woodhouse,east,Baguley,within,County Borough of Leeds,"Hyde Park and Woodhouse is east Baguley, within County Borough of Leeds",Is Hyde Park and Woodhouse east of Baguley and borders County Borough of Leeds?,No,replace_top_token
Hyde Park and Woodhouse,north,Hayley Green and Cradley South,borders,Chapel Allerton,"Hyde Park and Woodhouse is north Hayley Green and Cradley South, borders Chapel Allerton",Is Hyde Park and Woodhouse north of Hayley Green and Cradley South and borders Chapel Allerton?,Yes,no_change
Hyde Park and Woodhouse,north,Hayley Green and Cradley South,borders,Chapel Allerton,"Hyde Park and Woodhouse is north Hayley Green and Cradley South, borders Chapel Allerton",Is Chapel Allerton north of Hayley Green and Cradley South and borders Hyde Park and Woodhouse?,No,flip_place_z
Old Warley,south,Hollinwood,within,West Midlands Euro Region,"Old Warley is south Hollinwood, within West Midlands Euro Region",Is Old Warley south of Hollinwood and within West Midlands Euro Region?,Yes,no_change
Old Warley,south,Hollinwood,within,West Midlands Euro Region,"Old Warley is south Hollinwood, within West Midlands Euro Region",Is Old Warley south of Hollinwood and borders West Midlands Euro Region?,No,replace_top_token
Old Warley,west,Springfield,borders,Abbey,"Old Warley is west Springfield, borders Abbey",Is Old Warley west of Springfield and borders Abbey?,Yes,no_change
Old Warley,west,Springfield,borders,Abbey,"Old Warley is west Springfield, borders Abbey",Is Old Warley west of Springfield and within Abbey?,No,replace_top_token
Bredbury Green and Romiley,north,Bilston North,within,North West Euro Region,"Bredbury Green and Romiley is north Bilston North, within North West Euro Region",Is Bredbury Green and Romiley north of Bilston North and within North West Euro Region?,Yes,no_change
Bredbury Green and Romiley,north,Bilston North,within,North West Euro Region,"Bredbury Green and Romiley is north Bilston North, within North West Euro Region",Is North West Euro Region north of Bilston North and within Bredbury Green and Romiley?,No,flip_place_z
Bredbury Green and Romiley,east,Duke's,borders,Offerton Park,"Bredbury Green and Romiley is east Duke's, borders Offerton Park",Is Bredbury Green and Romiley east of Duke's and borders Offerton Park?,Yes,no_change
Bredbury Green and Romiley,east,Duke's,borders,Offerton Park,"Bredbury Green and Romiley is east Duke's, borders Offerton Park",Is Bredbury Green and Romiley east of Duke's and within Offerton Park?,No,replace_top_token
Silhill,south,Swanside,within,Metropolitan Borough of Solihull,"Silhill is south Swanside, within Metropolitan Borough of Solihull",Is Silhill south of Swanside and within Metropolitan Borough of Solihull?,Yes,no_change
Silhill,south,Swanside,within,Metropolitan Borough of Solihull,"Silhill is south Swanside, within Metropolitan Borough of Solihull",Is Silhill north of Swanside and within Metropolitan Borough of Solihull?,No,replace_dir_token
Silhill,east,Princes End,borders,Elmdon,"Silhill is east Princes End, borders Elmdon",Is Silhill east of Princes End and borders Elmdon?,Yes,no_change
Silhill,east,Princes End,borders,Elmdon,"Silhill is east Princes End, borders Elmdon",Is Silhill west of Princes End and borders Elmdon?,No,replace_dir_token
Brockmoor and Pensnett,south,Burmantofts and Richmond Hill,within,West Midlands Euro Region,"Brockmoor and Pensnett is south Burmantofts and Richmond Hill, within West Midlands Euro Region",Is Brockmoor and Pensnett south of Burmantofts and Richmond Hill and within West Midlands Euro Region?,Yes,no_change
Brockmoor and Pensnett,south,Burmantofts and Richmond Hill,within,West Midlands Euro Region,"Brockmoor and Pensnett is south Burmantofts and Richmond Hill, within West Midlands Euro Region",Is Burmantofts and Richmond Hill south of Brockmoor and Pensnett and within West Midlands Euro Region?,No,flip_place_y
Brockmoor and Pensnett,west,Tividale,borders,Wordsley,"Brockmoor and Pensnett is west Tividale, borders Wordsley",Is Brockmoor and Pensnett west of Tividale and borders Wordsley?,Yes,no_change
Brockmoor and Pensnett,west,Tividale,borders,Wordsley,"Brockmoor and Pensnett is west Tividale, borders Wordsley",Is Tividale west of Brockmoor and Pensnett and borders Wordsley?,No,flip_place_y
Rothwell,north,Rowley,within,Yorkshire and the Humber Euro Region,"Rothwell is north Rowley, within Yorkshire and the Humber Euro Region",Is Rothwell north of Rowley and within Yorkshire and the Humber Euro Region?,Yes,no_change
Rothwell,north,Rowley,within,Yorkshire and the Humber Euro Region,"Rothwell is north Rowley, within Yorkshire and the Humber Euro Region",Is Yorkshire and the Humber Euro Region north of Rowley and within Rothwell?,No,flip_place_z
Rothwell,east,Hollinwood,borders,Burmantofts and Richmond Hill,"Rothwell is east Hollinwood, borders Burmantofts and Richmond Hill",Is Rothwell east of Hollinwood and borders Burmantofts and Richmond Hill?,Yes,no_change
Rothwell,east,Hollinwood,borders,Burmantofts and Richmond Hill,"Rothwell is east Hollinwood, borders Burmantofts and Richmond Hill",Is Burmantofts and Richmond Hill east of Hollinwood and borders Rothwell?,No,flip_place_z
Reddish South,north,Bilston East,within,Metropolitan Borough of Stockport,"Reddish South is north Bilston East, within Metropolitan Borough of Stockport",Is Reddish South north of Bilston East and within Metropolitan Borough of Stockport?,Yes,no_change
Reddish South,north,Bilston East,within,Metropolitan Borough of Stockport,"Reddish South is north Bilston East, within Metropolitan Borough of Stockport",Is Metropolitan Borough of Stockport north of Bilston East and within Reddish South?,No,flip_place_z
Reddish South,south,North Heywood,borders,Heatons North,"Reddish South is south North Heywood, borders Heatons North",Is Reddish South south of North Heywood and borders Heatons North?,Yes,no_change
Reddish South,south,North Heywood,borders,Heatons North,"Reddish South is south North Heywood, borders Heatons North",Is Reddish South north of North Heywood and borders Heatons North?,No,replace_dir_token
Whitburn and Marsden,north,East,within,South Tyneside,"Whitburn and Marsden is north East, within South Tyneside",Is Whitburn and Marsden north of East and within South Tyneside?,Yes,no_change
Whitburn and Marsden,north,East,within,South Tyneside,"Whitburn and Marsden is north East, within South Tyneside",Is Whitburn and Marsden north of East and borders South Tyneside?,No,replace_top_token
Whitburn and Marsden,east,Windy Nook and Whitehills,borders,Fulwell,"Whitburn and Marsden is east Windy Nook and Whitehills, borders Fulwell",Is Whitburn and Marsden east of Windy Nook and Whitehills and borders Fulwell?,Yes,no_change
Whitburn and Marsden,east,Windy Nook and Whitehills,borders,Fulwell,"Whitburn and Marsden is east Windy Nook and Whitehills, borders Fulwell",Is Whitburn and Marsden west of Windy Nook and Whitehills and borders Fulwell?,No,replace_dir_token
Knowle,south,Heaton and Lostock,within,West Midlands Euro Region,"Knowle is south Heaton and Lostock, within West Midlands Euro Region",Is Knowle south of Heaton and Lostock and within West Midlands Euro Region?,Yes,no_change
Knowle,south,Heaton and Lostock,within,West Midlands Euro Region,"Knowle is south Heaton and Lostock, within West Midlands Euro Region",Is Knowle north of Heaton and Lostock and within West Midlands Euro Region?,No,replace_dir_token
Knowle,east,Upper Gornal and Woodsetton,borders,St. Alphege,"Knowle is east Upper Gornal and Woodsetton, borders St. Alphege",Is Knowle east of Upper Gornal and Woodsetton and borders St. Alphege?,Yes,no_change
Knowle,east,Upper Gornal and Woodsetton,borders,St. Alphege,"Knowle is east Upper Gornal and Woodsetton, borders St. Alphege",Is St. Alphege east of Upper Gornal and Woodsetton and borders Knowle?,No,flip_place_z
Aston,south,Brooklands,within,West Midlands Euro Region,"Aston is south Brooklands, within West Midlands Euro Region",Is Aston south of Brooklands and within West Midlands Euro Region?,Yes,no_change
Aston,south,Brooklands,within,West Midlands Euro Region,"Aston is south Brooklands, within West Midlands Euro Region",Is Aston south of Brooklands and borders West Midlands Euro Region?,No,replace_top_token
Aston,west,St. Michael's,borders,Nechells,"Aston is west St. Michael's, borders Nechells",Is Aston west of St. Michael's and borders Nechells?,Yes,no_change
Aston,west,St. Michael's,borders,Nechells,"Aston is west St. Michael's, borders Nechells",Is St. Michael's west of Aston and borders Nechells?,No,flip_place_y
Wordsley,south,Village,within,Metropolitan Borough of Dudley,"Wordsley is south Village, within Metropolitan Borough of Dudley",Is Wordsley south of Village and within Metropolitan Borough of Dudley?,Yes,no_change
Wordsley,south,Village,within,Metropolitan Borough of Dudley,"Wordsley is south Village, within Metropolitan Borough of Dudley",Is Wordsley north of Village and within Metropolitan Borough of Dudley?,No,replace_dir_token
Wordsley,west,Silhill,borders,Brierley Hill,"Wordsley is west Silhill, borders Brierley Hill",Is Wordsley west of Silhill and borders Brierley Hill?,Yes,no_change
Wordsley,west,Silhill,borders,Brierley Hill,"Wordsley is west Silhill, borders Brierley Hill",Is Wordsley west of Silhill and within Brierley Hill?,No,replace_top_token
Millfield,north,Edenthorpe,within,North East Euro Region,"Millfield is north Edenthorpe, within North East Euro Region",Is Millfield north of Edenthorpe and within North East Euro Region?,Yes,no_change
Millfield,north,Edenthorpe,within,North East Euro Region,"Millfield is north Edenthorpe, within North East Euro Region",Is Millfield north of Edenthorpe and borders North East Euro Region?,No,replace_top_token
Millfield,east,Washington West,borders,Southwick,"Millfield is east Washington West, borders Southwick",Is Millfield east of Washington West and borders Southwick?,Yes,no_change
Millfield,east,Washington West,borders,Southwick,"Millfield is east Washington West, borders Southwick",Is Millfield west of Washington West and borders Southwick?,No,replace_dir_token
Wallasey,west,Penistone,within,Metropolitan Borough of Wirral,"Wallasey is west Penistone, within Metropolitan Borough of Wirral",Is Wallasey west of Penistone and within Metropolitan Borough of Wirral?,Yes,no_change
Wallasey,west,Penistone,within,Metropolitan Borough of Wirral,"Wallasey is west Penistone, within Metropolitan Borough of Wirral",Is Wallasey east of Penistone and within Metropolitan Borough of Wirral?,No,replace_dir_token
Wallasey,south,Houghton,borders,Bidston and St. James,"Wallasey is south Houghton, borders Bidston and St. James",Is Wallasey south of Houghton and borders Bidston and St. James?,Yes,no_change
Wallasey,south,Houghton,borders,Bidston and St. James,"Wallasey is south Houghton, borders Bidston and St. James",Is Houghton south of Wallasey and borders Bidston and St. James?,No,flip_place_y
Shiney Row,west,Hendon,within,City of Sunderland,"Shiney Row is west Hendon, within City of Sunderland",Is Shiney Row west of Hendon and within City of Sunderland?,Yes,no_change
Shiney Row,west,Hendon,within,City of Sunderland,"Shiney Row is west Hendon, within City of Sunderland",Is Shiney Row west of Hendon and borders City of Sunderland?,No,replace_top_token
Shiney Row,north,Little Horton,borders,Copt Hill,"Shiney Row is north Little Horton, borders Copt Hill",Is Shiney Row north of Little Horton and borders Copt Hill?,Yes,no_change
Shiney Row,north,Little Horton,borders,Copt Hill,"Shiney Row is north Little Horton, borders Copt Hill",Is Shiney Row north of Little Horton and within Copt Hill?,No,replace_top_token
Warley,west,Keppel,within,Calderdale,"Warley is west Keppel, within Calderdale",Is Warley west of Keppel and within Calderdale?,Yes,no_change
Warley,west,Keppel,within,Calderdale,"Warley is west Keppel, within Calderdale",Is Calderdale west of Keppel and within Warley?,No,flip_place_z
Warley,north,Langley,borders,Luddendenfoot,"Warley is north Langley, borders Luddendenfoot",Is Warley north of Langley and borders Luddendenfoot?,Yes,no_change
Warley,north,Langley,borders,Luddendenfoot,"Warley is north Langley, borders Luddendenfoot",Is Luddendenfoot north of Langley and borders Warley?,No,flip_place_z
Fenham,north,Saltwell,within,Newcastle upon Tyne,"Fenham is north Saltwell, within Newcastle upon Tyne",Is Fenham north of Saltwell and within Newcastle upon Tyne?,Yes,no_change
Fenham,north,Saltwell,within,Newcastle upon Tyne,"Fenham is north Saltwell, within Newcastle upon Tyne",Is Newcastle upon Tyne north of Saltwell and within Fenham?,No,flip_place_z
Fenham,west,West Gosforth,borders,Benwell and Scotswood,"Fenham is west West Gosforth, borders Benwell and Scotswood",Is Fenham west of West Gosforth and borders Benwell and Scotswood?,Yes,no_change
Fenham,west,West Gosforth,borders,Benwell and Scotswood,"Fenham is west West Gosforth, borders Benwell and Scotswood",Is Fenham west of West Gosforth and within Benwell and Scotswood?,No,replace_top_token
Princes Park,west,Darfield,within,Liverpool,"Princes Park is west Darfield, within Liverpool",Is Princes Park west of Darfield and within Liverpool?,Yes,no_change
Princes Park,west,Darfield,within,Liverpool,"Princes Park is west Darfield, within Liverpool",Is Darfield west of Princes Park and within Liverpool?,No,flip_place_y
Princes Park,south,Weetslade,borders,Central,"Princes Park is south Weetslade, borders Central",Is Princes Park south of Weetslade and borders Central?,Yes,no_change
Princes Park,south,Weetslade,borders,Central,"Princes Park is south Weetslade, borders Central",Is Princes Park north of Weetslade and borders Central?,No,replace_dir_token
Weoley,west,Silhill,within,Birmingham,"Weoley is west Silhill, within Birmingham",Is Weoley west of Silhill and within Birmingham?,Yes,no_change
Weoley,west,Silhill,within,Birmingham,"Weoley is west Silhill, within Birmingham",Is Silhill west of Weoley and within Birmingham?,No,flip_place_y
Weoley,south,Clatterbridge,borders,Bournville,"Weoley is south Clatterbridge, borders Bournville",Is Weoley south of Clatterbridge and borders Bournville?,Yes,no_change
Weoley,south,Clatterbridge,borders,Bournville,"Weoley is south Clatterbridge, borders Bournville",Is Bournville south of Clatterbridge and borders Weoley?,No,flip_place_z
Liversedge and Gomersal,south,Otley and Yeadon,within,Kirklees,"Liversedge and Gomersal is south Otley and Yeadon, within Kirklees",Is Liversedge and Gomersal south of Otley and Yeadon and within Kirklees?,Yes,no_change
Liversedge and Gomersal,south,Otley and Yeadon,within,Kirklees,"Liversedge and Gomersal is south Otley and Yeadon, within Kirklees",Is Kirklees south of Otley and Yeadon and within Liversedge and Gomersal?,No,flip_place_z
Liversedge and Gomersal,north,Belle Vale,borders,Cleckheaton,"Liversedge and Gomersal is north Belle Vale, borders Cleckheaton",Is Liversedge and Gomersal north of Belle Vale and borders Cleckheaton?,Yes,no_change
Liversedge and Gomersal,north,Belle Vale,borders,Cleckheaton,"Liversedge and Gomersal is north Belle Vale, borders Cleckheaton",Is Belle Vale north of Liversedge and Gomersal and borders Cleckheaton?,No,flip_place_y
Pelsall,south,Whitley Bay,within,West Midlands Euro Region,"Pelsall is south Whitley Bay, within West Midlands Euro Region",Is Pelsall south of Whitley Bay and within West Midlands Euro Region?,Yes,no_change
Pelsall,south,Whitley Bay,within,West Midlands Euro Region,"Pelsall is south Whitley Bay, within West Midlands Euro Region",Is West Midlands Euro Region south of Whitley Bay and within Pelsall?,No,flip_place_z
Pelsall,north,Harborne,borders,Bloxwich East,"Pelsall is north Harborne, borders Bloxwich East",Is Pelsall north of Harborne and borders Bloxwich East?,Yes,no_change
Pelsall,north,Harborne,borders,Bloxwich East,"Pelsall is north Harborne, borders Bloxwich East",Is Pelsall north of Harborne and within Bloxwich East?,No,replace_top_token
Thornton and Allerton,south,Benwell and Scotswood,within,City of Bradford,"Thornton and Allerton is south Benwell and Scotswood, within City of Bradford",Is Thornton and Allerton south of Benwell and Scotswood and within City of Bradford?,Yes,no_change
Thornton and Allerton,south,Benwell and Scotswood,within,City of Bradford,"Thornton and Allerton is south Benwell and Scotswood, within City of Bradford",Is Benwell and Scotswood south of Thornton and Allerton and within City of Bradford?,No,flip_place_y
Thornton and Allerton,north,Brierley Hill,borders,Illingworth and Mixenden,"Thornton and Allerton is north Brierley Hill, borders Illingworth and Mixenden",Is Thornton and Allerton north of Brierley Hill and borders Illingworth and Mixenden?,Yes,no_change
Thornton and Allerton,north,Brierley Hill,borders,Illingworth and Mixenden,"Thornton and Allerton is north Brierley Hill, borders Illingworth and Mixenden",Is Brierley Hill north of Thornton and Allerton and borders Illingworth and Mixenden?,No,flip_place_y
Eccles,south,Horwich,within,City of Salford,"Eccles is south Horwich, within City of Salford",Is Eccles south of Horwich and within City of Salford?,Yes,no_change
Eccles,south,Horwich,within,City of Salford,"Eccles is south Horwich, within City of Salford",Is City of Salford south of Horwich and within Eccles?,No,flip_place_z
Eccles,west,Sowerby Bridge,borders,Worsley,"Eccles is west Sowerby Bridge, borders Worsley",Is Eccles west of Sowerby Bridge and borders Worsley?,Yes,no_change
Eccles,west,Sowerby Bridge,borders,Worsley,"Eccles is west Sowerby Bridge, borders Worsley",Is Eccles west of Sowerby Bridge and within Worsley?,No,replace_top_token
Willenhall South,south,Penistone East,within,Metropolitan Borough of Walsall,"Willenhall South is south Penistone East, within Metropolitan Borough of Walsall",Is Willenhall South south of Penistone East and within Metropolitan Borough of Walsall?,Yes,no_change
Willenhall South,south,Penistone East,within,Metropolitan Borough of Walsall,"Willenhall South is south Penistone East, within Metropolitan Borough of Walsall",Is Penistone East south of Willenhall South and within Metropolitan Borough of Walsall?,No,flip_place_y
Willenhall South,west,Holbrook,borders,Bilston East,"Willenhall South is west Holbrook, borders Bilston East",Is Willenhall South west of Holbrook and borders Bilston East?,Yes,no_change
Willenhall South,west,Holbrook,borders,Bilston East,"Willenhall South is west Holbrook, borders Bilston East",Is Willenhall South west of Holbrook and within Bilston East?,No,replace_top_token
Hopwood Hall,east,Douglas,within,Metropolitan Borough of Rochdale,"Hopwood Hall is east Douglas, within Metropolitan Borough of Rochdale",Is Hopwood Hall east of Douglas and within Metropolitan Borough of Rochdale?,Yes,no_change
Hopwood Hall,east,Douglas,within,Metropolitan Borough of Rochdale,"Hopwood Hall is east Douglas, within Metropolitan Borough of Rochdale",Is Douglas east of Hopwood Hall and within Metropolitan Borough of Rochdale?,No,flip_place_y
Hopwood Hall,west,Broomhill & Sharrow Vale,borders,North Middleton,"Hopwood Hall is west Broomhill & Sharrow Vale, borders North Middleton",Is Hopwood Hall west of Broomhill & Sharrow Vale and borders North Middleton?,Yes,no_change
Hopwood Hall,west,Broomhill & Sharrow Vale,borders,North Middleton,"Hopwood Hall is west Broomhill & Sharrow Vale, borders North Middleton",Is Hopwood Hall east of Broomhill & Sharrow Vale and borders North Middleton?,No,replace_dir_token
Heaton and Lostock,east,Riverside,within,North West Euro Region,"Heaton and Lostock is east Riverside, within North West Euro Region",Is Heaton and Lostock east of Riverside and within North West Euro Region?,Yes,no_change
Heaton and Lostock,east,Riverside,within,North West Euro Region,"Heaton and Lostock is east Riverside, within North West Euro Region",Is Heaton and Lostock west of Riverside and within North West Euro Region?,No,replace_dir_token
Heaton and Lostock,south,High Fell,borders,Horwich,"Heaton and Lostock is south High Fell, borders Horwich",Is Heaton and Lostock south of High Fell and borders Horwich?,Yes,no_change
Heaton and Lostock,south,High Fell,borders,Horwich,"Heaton and Lostock is south High Fell, borders Horwich",Is Heaton and Lostock north of High Fell and borders Horwich?,No,replace_dir_token
Whiston & Cronton,west,Bredbury and Woodley,within,Metropolitan Borough of Knowsley,"Whiston & Cronton is west Bredbury and Woodley, within Metropolitan Borough of Knowsley",Is Whiston & Cronton west of Bredbury and Woodley and within Metropolitan Borough of Knowsley?,Yes,no_change
Whiston & Cronton,west,Bredbury and Woodley,within,Metropolitan Borough of Knowsley,"Whiston & Cronton is west Bredbury and Woodley, within Metropolitan Borough of Knowsley",Is Whiston & Cronton west of Bredbury and Woodley and borders Metropolitan Borough of Knowsley?,No,replace_top_token
Whiston & Cronton,south,North Jesmond,borders,Halewood North,"Whiston & Cronton is south North Jesmond, borders Halewood North",Is Whiston & Cronton south of North Jesmond and borders Halewood North?,Yes,no_change
Whiston & Cronton,south,North Jesmond,borders,Halewood North,"Whiston & Cronton is south North Jesmond, borders Halewood North",Is Whiston & Cronton north of North Jesmond and borders Halewood North?,No,replace_dir_token
Brooklands,west,Pudsey,within,North West Euro Region,"Brooklands is west Pudsey, within North West Euro Region",Is Brooklands west of Pudsey and within North West Euro Region?,Yes,no_change
Brooklands,west,Pudsey,within,North West Euro Region,"Brooklands is west Pudsey, within North West Euro Region",Is Pudsey west of Brooklands and within North West Euro Region?,No,flip_place_y
Brooklands,north,Willenhall North,borders,Broadheath,"Brooklands is north Willenhall North, borders Broadheath",Is Brooklands north of Willenhall North and borders Broadheath?,Yes,no_change
Brooklands,north,Willenhall North,borders,Broadheath,"Brooklands is north Willenhall North, borders Broadheath",Is Brooklands south of Willenhall North and borders Broadheath?,No,replace_dir_token
Cheetham,north,Heatons North,within,North West Euro Region,"Cheetham is north Heatons North, within North West Euro Region",Is Cheetham north of Heatons North and within North West Euro Region?,Yes,no_change
Cheetham,north,Heatons North,within,North West Euro Region,"Cheetham is north Heatons North, within North West Euro Region",Is Cheetham north of Heatons North and borders North West Euro Region?,No,replace_top_token
Cheetham,west,Waterhead,borders,Irwell Riverside,"Cheetham is west Waterhead, borders Irwell Riverside",Is Cheetham west of Waterhead and borders Irwell Riverside?,Yes,no_change
Cheetham,west,Waterhead,borders,Irwell Riverside,"Cheetham is west Waterhead, borders Irwell Riverside",Is Cheetham east of Waterhead and borders Irwell Riverside?,No,replace_dir_token
Acocks Green,south,Sowerby Bridge,within,Birmingham,"Acocks Green is south Sowerby Bridge, within Birmingham",Is Acocks Green south of Sowerby Bridge and within Birmingham?,Yes,no_change
Acocks Green,south,Sowerby Bridge,within,Birmingham,"Acocks Green is south Sowerby Bridge, within Birmingham",Is Acocks Green north of Sowerby Bridge and within Birmingham?,No,replace_dir_token
Acocks Green,east,Ladywood,borders,Springfield,"Acocks Green is east Ladywood, borders Springfield",Is Acocks Green east of Ladywood and borders Springfield?,Yes,no_change
Acocks Green,east,Ladywood,borders,Springfield,"Acocks Green is east Ladywood, borders Springfield",Is Springfield east of Ladywood and borders Acocks Green?,No,flip_place_z
County,west,Ashton,within,Liverpool,"County is west Ashton, within Liverpool",Is County west of Ashton and within Liverpool?,Yes,no_change
County,west,Ashton,within,Liverpool,"County is west Ashton, within Liverpool",Is County west of Ashton and borders Liverpool?,No,replace_top_token
