place1,dir,place2_Y,top,place2_Z,dis,place2_W,triplet,question,answer,transition
Acocks Green,north,Knowle,within,West Midlands Euro Region,near,Springfield,"Acocks Green is within West Midlands Euro Region, near to Springfield, and north of Knowle",Does Acocks Green border West Midlands Euro Region and near to Springfield and north of Knowle?,No,replace_top_token
Weaste and Seedley,north,Birchills Leamore,within,City of Salford,near,Whalley Range,"Weaste and Seedley is within City of Salford, near to Whalley Range, and north of Birchills Leamore",Is Weaste and Seedley within City of Salford and near to Whalley Range and north of Birchills Leamore?,Yes,no_change
Weaste and Seedley,north,Birchills Leamore,within,City of Salford,near,Whalley Range,"Weaste and Seedley is within City of Salford, near to Whalley Range, and north of Birchills Leamore",Is Weaste and Seedley within City of Salford and near to Whalley Range and south of Birchills Leamore?,No,replace_dir_token
Maltby South Yorkshire,north,Aldridge Central and South,within,Metropolitan Borough of Rotherham,near,Dinnington St. John's,"Maltby South Yorkshire is within Metropolitan Borough of Rotherham, near to Dinnington St. John's, and north of Aldridge Central and South",Is Maltby South Yorkshire within Metropolitan Borough of Rotherham and near to Dinnington St. John's and north of Aldridge Central and South?,Yes,no_change
Maltby South Yorkshire,north,Aldridge Central and South,within,Metropolitan Borough of Rotherham,near,Dinnington St. John's,"Maltby South Yorkshire is within Metropolitan Borough of Rotherham, near to Dinnington St. John's, and north of Aldridge Central and South",Is Metropolitan Borough of Rotherham within Maltby South Yorkshire and near to Dinnington St. John's and north of Aldridge Central and South?,No,flip_place
Chadderton South,north,Reddish North,within,Metropolitan Borough of Oldham,near,Royton South,"Chadderton South is within Metropolitan Borough of Oldham, near to Royton South, and north of Reddish North",Is Chadderton South within Metropolitan Borough of Oldham and near to Royton South and north of Reddish North?,Yes,no_change
Chadderton South,north,Reddish North,within,Metropolitan Borough of Oldham,near,Royton South,"Chadderton South is within Metropolitan Borough of Oldham, near to Royton South, and north of Reddish North",Is Metropolitan Borough of Oldham within Chadderton South and near to Royton South and north of Reddish North?,No,flip_place
Benton,north,Davyhulme East,within,North Tyneside,near,Hebburn North,"Benton is within North Tyneside, near to Hebburn North, and north of Davyhulme East",Is Benton within North Tyneside and near to Hebburn North and north of Davyhulme East?,Yes,no_change
Benton,north,Davyhulme East,within,North Tyneside,near,Hebburn North,"Benton is within North Tyneside, near to Hebburn North, and north of Davyhulme East",Does Benton border North Tyneside and near to Hebburn North and north of Davyhulme East?,No,replace_top_token
West Heywood,north,Halesowen South,within,Metropolitan Borough of Rochdale,near,West Middleton,"West Heywood is within Metropolitan Borough of Rochdale, near to West Middleton, and north of Halesowen South",Is West Heywood within Metropolitan Borough of Rochdale and near to West Middleton and north of Halesowen South?,Yes,no_change
West Heywood,north,Halesowen South,within,Metropolitan Borough of Rochdale,near,West Middleton,"West Heywood is within Metropolitan Borough of Rochdale, near to West Middleton, and north of Halesowen South",Is Metropolitan Borough of Rochdale within West Heywood and near to West Middleton and north of Halesowen South?,No,flip_place
Dene,north,County,within,Newcastle upon Tyne,near,Walkergate,"Dene is within Newcastle upon Tyne, near to Walkergate, and north of County",Is Dene within Newcastle upon Tyne and near to Walkergate and north of County?,Yes,no_change
Dene,north,County,within,Newcastle upon Tyne,near,Walkergate,"Dene is within Newcastle upon Tyne, near to Walkergate, and north of County",Is Dene within Newcastle upon Tyne and near to Walkergate and south of County?,No,replace_dir_token
Central,north,Bushbury North,within,North West Euro Region,near,Norris Green,"Central is within North West Euro Region, near to Norris Green, and north of Bushbury North",Is Central within North West Euro Region and near to Norris Green and north of Bushbury North?,Yes,no_change
Central,north,Bushbury North,within,North West Euro Region,near,Norris Green,"Central is within North West Euro Region, near to Norris Green, and north of Bushbury North",Does Central border North West Euro Region and near to Norris Green and north of Bushbury North?,No,replace_top_token
Eccleston St Helens,north,East Park,within,Metropolitan Borough of St Helens,near,Windle St Helens,"Eccleston St Helens is within Metropolitan Borough of St Helens, near to Windle St Helens, and north of East Park",Is Eccleston St Helens within Metropolitan Borough of St Helens and near to Windle St Helens and north of East Park?,Yes,no_change
Eccleston St Helens,north,East Park,within,Metropolitan Borough of St Helens,near,Windle St Helens,"Eccleston St Helens is within Metropolitan Borough of St Helens, near to Windle St Helens, and north of East Park",Is Eccleston St Helens within Metropolitan Borough of St Helens and far to Windle St Helens and north of East Park?,No,replace_dis_token
Upton,north,Shard End,within,Metropolitan Borough of Wirral,near,West Kirby and Thurstaston,"Upton is within Metropolitan Borough of Wirral, near to West Kirby and Thurstaston, and north of Shard End",Is Upton within Metropolitan Borough of Wirral and near to West Kirby and Thurstaston and north of Shard End?,Yes,no_change
Upton,north,Shard End,within,Metropolitan Borough of Wirral,near,West Kirby and Thurstaston,"Upton is within Metropolitan Borough of Wirral, near to West Kirby and Thurstaston, and north of Shard End",Does Upton border Metropolitan Borough of Wirral and near to West Kirby and Thurstaston and north of Shard End?,No,replace_top_token
Hatfield,north,Amblecote,within,Yorkshire and the Humber Euro Region,near,Finningley,"Hatfield is within Yorkshire and the Humber Euro Region, near to Finningley, and north of Amblecote",Is Hatfield within Yorkshire and the Humber Euro Region and near to Finningley and north of Amblecote?,Yes,no_change
Hatfield,north,Amblecote,within,Yorkshire and the Humber Euro Region,near,Finningley,"Hatfield is within Yorkshire and the Humber Euro Region, near to Finningley, and north of Amblecote",Is Hatfield within Yorkshire and the Humber Euro Region and far to Finningley and north of Amblecote?,No,replace_dis_token
Brinnington and Central,north,Foleshill,within,North West Euro Region,near,Davenport and Cale Green,"Brinnington and Central is within North West Euro Region, near to Davenport and Cale Green, and north of Foleshill",Is Brinnington and Central within North West Euro Region and near to Davenport and Cale Green and north of Foleshill?,Yes,no_change
Brinnington and Central,north,Foleshill,within,North West Euro Region,near,Davenport and Cale Green,"Brinnington and Central is within North West Euro Region, near to Davenport and Cale Green, and north of Foleshill",Does Brinnington and Central border North West Euro Region and near to Davenport and Cale Green and north of Foleshill?,No,replace_top_token
Cullercoats,north,Kippax West Yorkshire,within,North Tyneside,near,Tynemouth,"Cullercoats is within North Tyneside, near to Tynemouth, and north of Kippax West Yorkshire",Is Cullercoats within North Tyneside and near to Tynemouth and north of Kippax West Yorkshire?,Yes,no_change
Cullercoats,north,Kippax West Yorkshire,within,North Tyneside,near,Tynemouth,"Cullercoats is within North Tyneside, near to Tynemouth, and north of Kippax West Yorkshire",Is Cullercoats within North Tyneside and near to Tynemouth and south of Kippax West Yorkshire?,No,replace_dir_token
Ossett,north,Central,within,Yorkshire and the Humber Euro Region,near,Kirkburton,"Ossett is within Yorkshire and the Humber Euro Region, near to Kirkburton, and north of Central",Is Ossett within Yorkshire and the Humber Euro Region and near to Kirkburton and north of Central?,Yes,no_change
Ossett,north,Central,within,Yorkshire and the Humber Euro Region,near,Kirkburton,"Ossett is within Yorkshire and the Humber Euro Region, near to Kirkburton, and north of Central",Is Ossett within Yorkshire and the Humber Euro Region and far to Kirkburton and north of Central?,No,replace_dis_token
Great Lever,north,Village,within,North West Euro Region,near,Radcliffe West,"Great Lever is within North West Euro Region, near to Radcliffe West, and north of Village",Is Great Lever within North West Euro Region and near to Radcliffe West and north of Village?,Yes,no_change
Great Lever,north,Village,within,North West Euro Region,near,Radcliffe West,"Great Lever is within North West Euro Region, near to Radcliffe West, and north of Village",Is Great Lever within North West Euro Region and far to Radcliffe West and north of Village?,No,replace_dis_token
Wakefield East,north,Ettingshall,within,Yorkshire and the Humber Euro Region,near,Kippax West Yorkshire,"Wakefield East is within Yorkshire and the Humber Euro Region, near to Kippax West Yorkshire, and north of Ettingshall",Is Wakefield East within Yorkshire and the Humber Euro Region and near to Kippax West Yorkshire and north of Ettingshall?,Yes,no_change
Wakefield East,north,Ettingshall,within,Yorkshire and the Humber Euro Region,near,Kippax West Yorkshire,"Wakefield East is within Yorkshire and the Humber Euro Region, near to Kippax West Yorkshire, and north of Ettingshall",Is Yorkshire and the Humber Euro Region within Wakefield East and near to Kippax West Yorkshire and north of Ettingshall?,No,flip_place
Baguley,north,Bilston North,within,Manchester,near,Old Moat,"Baguley is within Manchester, near to Old Moat, and north of Bilston North",Is Baguley within Manchester and near to Old Moat and north of Bilston North?,Yes,no_change
Baguley,north,Bilston North,within,Manchester,near,Old Moat,"Baguley is within Manchester, near to Old Moat, and north of Bilston North",Is Manchester within Baguley and near to Old Moat and north of Bilston North?,No,flip_place
Graiseley,north,Hayley Green and Cradley South,within,West Midlands Euro Region,close,Smethwick,"Graiseley is within West Midlands Euro Region, close to Smethwick, and north of Hayley Green and Cradley South",Is Graiseley within West Midlands Euro Region and close to Smethwick and north of Hayley Green and Cradley South?,Yes,no_change
Graiseley,north,Hayley Green and Cradley South,within,West Midlands Euro Region,close,Smethwick,"Graiseley is within West Midlands Euro Region, close to Smethwick, and north of Hayley Green and Cradley South",Does Graiseley border West Midlands Euro Region and close to Smethwick and north of Hayley Green and Cradley South?,No,replace_top_token
Blaydon,north,Orrell,within,North East Euro Region,close,Walker,"Blaydon is within North East Euro Region, close to Walker, and north of Orrell",Is Blaydon within North East Euro Region and close to Walker and north of Orrell?,Yes,no_change
Blaydon,north,Orrell,within,North East Euro Region,close,Walker,"Blaydon is within North East Euro Region, close to Walker, and north of Orrell",Is Blaydon within North East Euro Region and distant to Walker and north of Orrell?,No,replace_dis_token
Cleckheaton,north,Springfield,within,Kirklees,close,Rothwell,"Cleckheaton is within Kirklees, close to Rothwell, and north of Springfield",Is Cleckheaton within Kirklees and close to Rothwell and north of Springfield?,Yes,no_change
Cleckheaton,north,Springfield,within,Kirklees,close,Rothwell,"Cleckheaton is within Kirklees, close to Rothwell, and north of Springfield",Does Cleckheaton border Kirklees and close to Rothwell and north of Springfield?,No,replace_top_token
Craven,north,Mexborough,within,Yorkshire and the Humber Euro Region,close,Eccleshill,"Craven is within Yorkshire and the Humber Euro Region, close to Eccleshill, and north of Mexborough",Is Craven within Yorkshire and the Humber Euro Region and close to Eccleshill and north of Mexborough?,Yes,no_change
Craven,north,Mexborough,within,Yorkshire and the Humber Euro Region,close,Eccleshill,"Craven is within Yorkshire and the Humber Euro Region, close to Eccleshill, and north of Mexborough",Is Craven within Yorkshire and the Humber Euro Region and distant to Eccleshill and north of Mexborough?,No,replace_dis_token
Wharfedale,north,Hyde Newton,within,City of Bradford,close,Mirfield,"Wharfedale is within City of Bradford, close to Mirfield, and north of Hyde Newton",Is Wharfedale within City of Bradford and close to Mirfield and north of Hyde Newton?,Yes,no_change
Wharfedale,north,Hyde Newton,within,City of Bradford,close,Mirfield,"Wharfedale is within City of Bradford, close to Mirfield, and north of Hyde Newton",Is City of Bradford within Wharfedale and close to Mirfield and north of Hyde Newton?,No,flip_place
Ryburn,north,Coseley East,within,Calderdale,close,Unsworth,"Ryburn is within Calderdale, close to Unsworth, and north of Coseley East",Is Ryburn within Calderdale and close to Unsworth and north of Coseley East?,Yes,no_change
Ryburn,north,Coseley East,within,Calderdale,close,Unsworth,"Ryburn is within Calderdale, close to Unsworth, and north of Coseley East",Is Ryburn within Calderdale and distant to Unsworth and north of Coseley East?,No,replace_dis_token
Linacre,north,Penn,within,Metropolitan Borough of Sefton,close,Northwood,"Linacre is within Metropolitan Borough of Sefton, close to Northwood, and north of Penn",Is Linacre within Metropolitan Borough of Sefton and close to Northwood and north of Penn?,Yes,no_change
Linacre,north,Penn,within,Metropolitan Borough of Sefton,close,Northwood,"Linacre is within Metropolitan Borough of Sefton, close to Northwood, and north of Penn",Is Metropolitan Borough of Sefton within Linacre and close to Northwood and north of Penn?,No,flip_place
Radford,north,Cheylesmore,within,West Midlands Euro Region,close,Bickenhill,"Radford is within West Midlands Euro Region, close to Bickenhill, and north of Cheylesmore",Is Radford within West Midlands Euro Region and close to Bickenhill and north of Cheylesmore?,Yes,no_change
Radford,north,Cheylesmore,within,West Midlands Euro Region,close,Bickenhill,"Radford is within West Midlands Euro Region, close to Bickenhill, and north of Cheylesmore",Is Radford within West Midlands Euro Region and close to Bickenhill and south of Cheylesmore?,No,replace_dir_token
Adwick le Street & Carcroft,north,Hellaby,within,Metropolitan Borough of Doncaster,close,Keppel,"Adwick le Street & Carcroft is within Metropolitan Borough of Doncaster, close to Keppel, and north of Hellaby",Is Adwick le Street & Carcroft within Metropolitan Borough of Doncaster and close to Keppel and north of Hellaby?,Yes,no_change
Adwick le Street & Carcroft,north,Hellaby,within,Metropolitan Borough of Doncaster,close,Keppel,"Adwick le Street & Carcroft is within Metropolitan Borough of Doncaster, close to Keppel, and north of Hellaby",Is Adwick le Street & Carcroft within Metropolitan Borough of Doncaster and distant to Keppel and north of Hellaby?,No,replace_dis_token
Liversedge and Gomersal,north,Silverwood,within,Kirklees,close,Ilkley,"Liversedge and Gomersal is within Kirklees, close to Ilkley, and north of Silverwood",Is Liversedge and Gomersal within Kirklees and close to Ilkley and north of Silverwood?,Yes,no_change
Liversedge and Gomersal,north,Silverwood,within,Kirklees,close,Ilkley,"Liversedge and Gomersal is within Kirklees, close to Ilkley, and north of Silverwood",Does Liversedge and Gomersal border Kirklees and close to Ilkley and north of Silverwood?,No,replace_top_token
Bredbury and Woodley,north,Brierley Hill,within,North West Euro Region,close,Moston,"Bredbury and Woodley is within North West Euro Region, close to Moston, and north of Brierley Hill",Is Bredbury and Woodley within North West Euro Region and close to Moston and north of Brierley Hill?,Yes,no_change
Bredbury and Woodley,north,Brierley Hill,within,North West Euro Region,close,Moston,"Bredbury and Woodley is within North West Euro Region, close to Moston, and north of Brierley Hill",Is Bredbury and Woodley within North West Euro Region and close to Moston and south of Brierley Hill?,No,replace_dir_token
Sutton New Hall,north,Blythe,within,West Midlands Euro Region,close,Woodlands,"Sutton New Hall is within West Midlands Euro Region, close to Woodlands, and north of Blythe",Is Sutton New Hall within West Midlands Euro Region and close to Woodlands and north of Blythe?,Yes,no_change
Sutton New Hall,north,Blythe,within,West Midlands Euro Region,close,Woodlands,"Sutton New Hall is within West Midlands Euro Region, close to Woodlands, and north of Blythe",Is Sutton New Hall within West Midlands Euro Region and distant to Woodlands and north of Blythe?,No,replace_dis_token
Burnage,north,Quarry Bank and Dudley Wood,within,North West Euro Region,close,Worsley,"Burnage is within North West Euro Region, close to Worsley, and north of Quarry Bank and Dudley Wood",Is Burnage within North West Euro Region and close to Worsley and north of Quarry Bank and Dudley Wood?,Yes,no_change
Burnage,north,Quarry Bank and Dudley Wood,within,North West Euro Region,close,Worsley,"Burnage is within North West Euro Region, close to Worsley, and north of Quarry Bank and Dudley Wood",Is Burnage within North West Euro Region and distant to Worsley and north of Quarry Bank and Dudley Wood?,No,replace_dis_token
Tuebrook and Stoneycroft,north,Wyken,within,Liverpool,close,Eccleston St Helens,"Tuebrook and Stoneycroft is within Liverpool, close to Eccleston St Helens, and north of Wyken",Is Tuebrook and Stoneycroft within Liverpool and close to Eccleston St Helens and north of Wyken?,Yes,no_change
Tuebrook and Stoneycroft,north,Wyken,within,Liverpool,close,Eccleston St Helens,"Tuebrook and Stoneycroft is within Liverpool, close to Eccleston St Helens, and north of Wyken",Is Liverpool within Tuebrook and Stoneycroft and close to Eccleston St Helens and north of Wyken?,No,flip_place
Ainsdale,north,St. Peter's,within,North West Euro Region,close,Yew Tree,"Ainsdale is within North West Euro Region, close to Yew Tree, and north of St. Peter's",Is Ainsdale within North West Euro Region and close to Yew Tree and north of St. Peter's?,Yes,no_change
Ainsdale,north,St. Peter's,within,North West Euro Region,close,Yew Tree,"Ainsdale is within North West Euro Region, close to Yew Tree, and north of St. Peter's",Is North West Euro Region within Ainsdale and close to Yew Tree and north of St. Peter's?,No,flip_place
Everton,north,Sutton Vesey,within,Liverpool,close,Greasby Frankby and Irby,"Everton is within Liverpool, close to Greasby Frankby and Irby, and north of Sutton Vesey",Is Everton within Liverpool and close to Greasby Frankby and Irby and north of Sutton Vesey?,Yes,no_change
Everton,north,Sutton Vesey,within,Liverpool,close,Greasby Frankby and Irby,"Everton is within Liverpool, close to Greasby Frankby and Irby, and north of Sutton Vesey",Is Everton within Liverpool and close to Greasby Frankby and Irby and south of Sutton Vesey?,No,replace_dir_token
North Middleton,north,Bredbury Green and Romiley,within,Metropolitan Borough of Rochdale,close,Withington,"North Middleton is within Metropolitan Borough of Rochdale, close to Withington, and north of Bredbury Green and Romiley",Is North Middleton within Metropolitan Borough of Rochdale and close to Withington and north of Bredbury Green and Romiley?,Yes,no_change
North Middleton,north,Bredbury Green and Romiley,within,Metropolitan Borough of Rochdale,close,Withington,"North Middleton is within Metropolitan Borough of Rochdale, close to Withington, and north of Bredbury Green and Romiley",Is North Middleton within Metropolitan Borough of Rochdale and distant to Withington and north of Bredbury Green and Romiley?,No,replace_dis_token
West Kirby and Thurstaston,north,Halesowen South,within,Metropolitan Borough of Wirral,close,Picton Cheshire,"West Kirby and Thurstaston is within Metropolitan Borough of Wirral, close to Picton Cheshire, and north of Halesowen South",Is West Kirby and Thurstaston within Metropolitan Borough of Wirral and close to Picton Cheshire and north of Halesowen South?,Yes,no_change
West Kirby and Thurstaston,north,Halesowen South,within,Metropolitan Borough of Wirral,close,Picton Cheshire,"West Kirby and Thurstaston is within Metropolitan Borough of Wirral, close to Picton Cheshire, and north of Halesowen South",Does West Kirby and Thurstaston border Metropolitan Borough of Wirral and close to Picton Cheshire and north of Halesowen South?,No,replace_top_token
Fallowfield,north,Henley,within,Manchester,close,Shaw,"Fallowfield is within Manchester, close to Shaw, and north of Henley",Is Fallowfield within Manchester and close to Shaw and north of Henley?,Yes,no_change
Fallowfield,north,Henley,within,Manchester,close,Shaw,"Fallowfield is within Manchester, close to Shaw, and north of Henley",Is Fallowfield within Manchester and close to Shaw and south of Henley?,No,replace_dir_token
Killingbeck and Seacroft,north,Netherton Woodside and St. Andrews,within,County Borough of Leeds,close,Featherstone,"Killingbeck and Seacroft is within County Borough of Leeds, close to Featherstone, and north of Netherton Woodside and St. Andrews",Is Killingbeck and Seacroft within County Borough of Leeds and close to Featherstone and north of Netherton Woodside and St. Andrews?,Yes,no_change
Killingbeck and Seacroft,north,Netherton Woodside and St. Andrews,within,County Borough of Leeds,close,Featherstone,"Killingbeck and Seacroft is within County Borough of Leeds, close to Featherstone, and north of Netherton Woodside and St. Andrews",Is County Borough of Leeds within Killingbeck and Seacroft and close to Featherstone and north of Netherton Woodside and St. Andrews?,No,flip_place
Derby,north,Rock Ferry,within,Metropolitan Borough of Sefton,close,Eccleston St Helens,"Derby is within Metropolitan Borough of Sefton, close to Eccleston St Helens, and north of Rock Ferry",Is Derby within Metropolitan Borough of Sefton and close to Eccleston St Helens and north of Rock Ferry?,Yes,no_change
Derby,north,Rock Ferry,within,Metropolitan Borough of Sefton,close,Eccleston St Helens,"Derby is within Metropolitan Borough of Sefton, close to Eccleston St Helens, and north of Rock Ferry",Is Derby within Metropolitan Borough of Sefton and distant to Eccleston St Helens and north of Rock Ferry?,No,replace_dis_token
Darlaston South,north,Cradley and Wollescote,within,West Midlands Euro Region,close,Netherton Woodside and St. Andrews,"Darlaston South is within West Midlands Euro Region, close to Netherton Woodside and St. Andrews, and north of Cradley and Wollescote",Is Darlaston South within West Midlands Euro Region and close to Netherton Woodside and St. Andrews and north of Cradley and Wollescote?,Yes,no_change
Darlaston South,north,Cradley and Wollescote,within,West Midlands Euro Region,close,Netherton Woodside and St. Andrews,"Darlaston South is within West Midlands Euro Region, close to Netherton Woodside and St. Andrews, and north of Cradley and Wollescote",Is Darlaston South within West Midlands Euro Region and distant to Netherton Woodside and St. Andrews and north of Cradley and Wollescote?,No,replace_dis_token
Golcar,north,Davenport and Cale Green,within,Kirklees,distant,Gorse Hill,"Golcar is within Kirklees, distant to Gorse Hill, and north of Davenport and Cale Green",Is Golcar within Kirklees and distant to Gorse Hill and north of Davenport and Cale Green?,Yes,no_change
Golcar,north,Davenport and Cale Green,within,Kirklees,distant,Gorse Hill,"Golcar is within Kirklees, distant to Gorse Hill, and north of Davenport and Cale Green",Is Golcar within Kirklees and distant to Gorse Hill and south of Davenport and Cale Green?,No,replace_dir_token
Simonside and Rekendyke,north,Tickhill & Wadsworth,within,South Tyneside,distant,Winlaton and High Spen,"Simonside and Rekendyke is within South Tyneside, distant to Winlaton and High Spen, and north of Tickhill & Wadsworth",Is Simonside and Rekendyke within South Tyneside and distant to Winlaton and High Spen and north of Tickhill & Wadsworth?,Yes,no_change
Simonside and Rekendyke,north,Tickhill & Wadsworth,within,South Tyneside,distant,Winlaton and High Spen,"Simonside and Rekendyke is within South Tyneside, distant to Winlaton and High Spen, and north of Tickhill & Wadsworth",Is Simonside and Rekendyke within South Tyneside and distant to Winlaton and High Spen and south of Tickhill & Wadsworth?,No,replace_dir_token
Didsbury East,north,Sparkbrook,within,North West Euro Region,distant,Tuebrook and Stoneycroft,"Didsbury East is within North West Euro Region, distant to Tuebrook and Stoneycroft, and north of Sparkbrook",Is Didsbury East within North West Euro Region and distant to Tuebrook and Stoneycroft and north of Sparkbrook?,Yes,no_change
Didsbury East,north,Sparkbrook,within,North West Euro Region,distant,Tuebrook and Stoneycroft,"Didsbury East is within North West Euro Region, distant to Tuebrook and Stoneycroft, and north of Sparkbrook",Does Didsbury East border North West Euro Region and distant to Tuebrook and Stoneycroft and north of Sparkbrook?,No,replace_top_token
West Bromwich Central,north,Quinton,within,Sandwell,distant,Wyken,"West Bromwich Central is within Sandwell, distant to Wyken, and north of Quinton",Is West Bromwich Central within Sandwell and distant to Wyken and north of Quinton?,Yes,no_change
West Bromwich Central,north,Quinton,within,Sandwell,distant,Wyken,"West Bromwich Central is within Sandwell, distant to Wyken, and north of Quinton",Is Sandwell within West Bromwich Central and distant to Wyken and north of Quinton?,No,flip_place
Woolton,north,Blackheath,within,Liverpool,distant,Westhoughton,"Woolton is within Liverpool, distant to Westhoughton, and north of Blackheath",Is Woolton within Liverpool and distant to Westhoughton and north of Blackheath?,Yes,no_change
Woolton,north,Blackheath,within,Liverpool,distant,Westhoughton,"Woolton is within Liverpool, distant to Westhoughton, and north of Blackheath",Does Woolton border Liverpool and distant to Westhoughton and north of Blackheath?,No,replace_top_token
Heaton,north,Davenport and Cale Green,within,Yorkshire and the Humber Euro Region,distant,Hoober,"Heaton is within Yorkshire and the Humber Euro Region, distant to Hoober, and north of Davenport and Cale Green",Is Heaton within Yorkshire and the Humber Euro Region and distant to Hoober and north of Davenport and Cale Green?,Yes,no_change
Heaton,north,Davenport and Cale Green,within,Yorkshire and the Humber Euro Region,distant,Hoober,"Heaton is within Yorkshire and the Humber Euro Region, distant to Hoober, and north of Davenport and Cale Green",Is Yorkshire and the Humber Euro Region within Heaton and distant to Hoober and north of Davenport and Cale Green?,No,flip_place
Sitwell,north,Bablake,within,Metropolitan Borough of Rotherham,distant,Penistone,"Sitwell is within Metropolitan Borough of Rotherham, distant to Penistone, and north of Bablake",Is Sitwell within Metropolitan Borough of Rotherham and distant to Penistone and north of Bablake?,Yes,no_change
Sitwell,north,Bablake,within,Metropolitan Borough of Rotherham,distant,Penistone,"Sitwell is within Metropolitan Borough of Rotherham, distant to Penistone, and north of Bablake",Is Sitwell within Metropolitan Borough of Rotherham and close to Penistone and north of Bablake?,No,replace_dis_token
Darnall,north,Friar Park,within,Sheffield,distant,Werneth,"Darnall is within Sheffield, distant to Werneth, and north of Friar Park",Is Darnall within Sheffield and distant to Werneth and north of Friar Park?,Yes,no_change
Darnall,north,Friar Park,within,Sheffield,distant,Werneth,"Darnall is within Sheffield, distant to Werneth, and north of Friar Park",Is Darnall within Sheffield and distant to Werneth and south of Friar Park?,No,replace_dir_token
Moss Side,north,Finstall,within,Manchester,distant,Westhoughton North and Chew Moor,"Moss Side is within Manchester, distant to Westhoughton North and Chew Moor, and north of Finstall",Is Moss Side within Manchester and distant to Westhoughton North and Chew Moor and north of Finstall?,Yes,no_change
Moss Side,north,Finstall,within,Manchester,distant,Westhoughton North and Chew Moor,"Moss Side is within Manchester, distant to Westhoughton North and Chew Moor, and north of Finstall",Is Moss Side within Manchester and distant to Westhoughton North and Chew Moor and south of Finstall?,No,replace_dir_token
Bilston East,north,St. Pauls,within,Wolverhampton,distant,Meriden West Midlands,"Bilston East is within Wolverhampton, distant to Meriden West Midlands, and north of St. Pauls",Is Bilston East within Wolverhampton and distant to Meriden West Midlands and north of St. Pauls?,Yes,no_change
Bilston East,north,St. Pauls,within,Wolverhampton,distant,Meriden West Midlands,"Bilston East is within Wolverhampton, distant to Meriden West Midlands, and north of St. Pauls",Is Wolverhampton within Bilston East and distant to Meriden West Midlands and north of St. Pauls?,No,flip_place
St. Alphege,north,Blythe,within,Metropolitan Borough of Solihull,distant,St. Thomas's,"St. Alphege is within Metropolitan Borough of Solihull, distant to St. Thomas's, and north of Blythe",Is St. Alphege within Metropolitan Borough of Solihull and distant to St. Thomas's and north of Blythe?,Yes,no_change
St. Alphege,north,Blythe,within,Metropolitan Borough of Solihull,distant,St. Thomas's,"St. Alphege is within Metropolitan Borough of Solihull, distant to St. Thomas's, and north of Blythe",Is Metropolitan Borough of Solihull within St. Alphege and distant to St. Thomas's and north of Blythe?,No,flip_place
