place1,top,place2_Y,dis,place2_Z,triplet,question,answer,transition
Edenthorpe,within,Metropolitan Borough of Doncaster,far,Rainhill,"Edenthorpe is within Metropolitan Borough of Doncaster, far Rainhill",Is Edenthorpe within Metropolitan Borough of Doncaster and far to Rainhill?,Yes,no_change
Edenthorpe,within,Metropolitan Borough of Doncaster,far,Rainhill,"Edenthorpe is within Metropolitan Borough of Doncaster, far Rainhill",Does Edenthorpe borders Metropolitan Borough of Doncaster and far to Rainhill?,No,replace_top_token
Edenthorpe,borders,Armthorpe,near,Finningley,"Edenthorpe is borders Armthorpe, near Finningley",Does Edenthorpe borders Armthorpe and near to Finningley?,Yes,no_change
Edenthorpe,borders,Armthorpe,near,Finningley,"Edenthorpe is borders Armthorpe, near Finningley",Does Armthorpe borders Edenthorpe and near to Finningley?,No,flip_place
Edenthorpe,borders,Armthorpe,close,Wickersley,"Edenthorpe is borders Armthorpe, close Wickersley",Does Edenthorpe borders Armthorpe and close to Wickersley?,Yes,no_change
Edenthorpe,borders,Armthorpe,close,Wickersley,"Edenthorpe is borders Armthorpe, close Wickersley",Does Edenthorpe borders Armthorpe and distant to Wickersley?,No,replace_dis_token
Langworthy,within,City of Salford,distant,Baildon,"Langworthy is within City of Salford, distant Baildon",Is Langworthy within City of Salford and distant to Baildon?,Yes,no_change
Langworthy,within,City of Salford,distant,Baildon,"Langworthy is within City of Salford, distant Baildon",Is Langworthy within City of Salford and close to Baildon?,No,replace_dis_token
Langworthy,within,City of Salford,far,North East,"Langworthy is within City of Salford, far North East",Is Langworthy within City of Salford and far to North East?,Yes,no_change
Langworthy,within,City of Salford,far,North East,"Langworthy is within City of Salford, far North East",Does Langworthy borders City of Salford and far to North East?,No,replace_top_token
Langworthy,borders,Ordsall,near,Weaste and Seedley,"Langworthy is borders Ordsall, near Weaste and Seedley",Does Langworthy borders Ordsall and near to Weaste and Seedley?,Yes,no_change
Langworthy,borders,Ordsall,near,Weaste and Seedley,"Langworthy is borders Ordsall, near Weaste and Seedley",Does Langworthy borders Ordsall and far to Weaste and Seedley?,No,replace_dis_token
Langworthy,borders,Ordsall,close,West Heywood,"Langworthy is borders Ordsall, close West Heywood",Does Langworthy borders Ordsall and close to West Heywood?,Yes,no_change
Langworthy,borders,Ordsall,close,West Heywood,"Langworthy is borders Ordsall, close West Heywood",Does Langworthy borders Ordsall and distant to West Heywood?,No,replace_dis_token
Mexborough,within,Metropolitan Borough of Doncaster,distant,Town,"Mexborough is within Metropolitan Borough of Doncaster, distant Town",Is Mexborough within Metropolitan Borough of Doncaster and distant to Town?,Yes,no_change
Mexborough,within,Metropolitan Borough of Doncaster,distant,Town,"Mexborough is within Metropolitan Borough of Doncaster, distant Town",Does Mexborough borders Metropolitan Borough of Doncaster and distant to Town?,No,replace_top_token
Mexborough,within,Metropolitan Borough of Doncaster,far,Waterhead,"Mexborough is within Metropolitan Borough of Doncaster, far Waterhead",Is Mexborough within Metropolitan Borough of Doncaster and far to Waterhead?,Yes,no_change
Mexborough,within,Metropolitan Borough of Doncaster,far,Waterhead,"Mexborough is within Metropolitan Borough of Doncaster, far Waterhead",Is Metropolitan Borough of Doncaster within Mexborough and far to Waterhead?,No,flip_place
Mexborough,borders,Conisbrough Parks,near,Silverwood,"Mexborough is borders Conisbrough Parks, near Silverwood",Does Mexborough borders Conisbrough Parks and near to Silverwood?,Yes,no_change
Mexborough,borders,Conisbrough Parks,near,Silverwood,"Mexborough is borders Conisbrough Parks, near Silverwood",Does Mexborough borders Conisbrough Parks and far to Silverwood?,No,replace_dis_token
Mexborough,borders,Conisbrough Parks,close,Wombwell,"Mexborough is borders Conisbrough Parks, close Wombwell",Does Mexborough borders Conisbrough Parks and close to Wombwell?,Yes,no_change
Mexborough,borders,Conisbrough Parks,close,Wombwell,"Mexborough is borders Conisbrough Parks, close Wombwell",Does Mexborough borders Conisbrough Parks and distant to Wombwell?,No,replace_dis_token
Pallion,within,City of Sunderland,distant,Woolsington,"Pallion is within City of Sunderland, distant Woolsington",Is Pallion within City of Sunderland and distant to Woolsington?,Yes,no_change
Pallion,within,City of Sunderland,distant,Woolsington,"Pallion is within City of Sunderland, distant Woolsington",Does Pallion borders City of Sunderland and distant to Woolsington?,No,replace_top_token
Pallion,within,City of Sunderland,far,South Elmsall and South Kirkby,"Pallion is within City of Sunderland, far South Elmsall and South Kirkby",Is Pallion within City of Sunderland and far to South Elmsall and South Kirkby?,Yes,no_change
Pallion,within,City of Sunderland,far,South Elmsall and South Kirkby,"Pallion is within City of Sunderland, far South Elmsall and South Kirkby",Is City of Sunderland within Pallion and far to South Elmsall and South Kirkby?,No,flip_place
Pallion,borders,Southwick,near,Southwick,"Pallion is borders Southwick, near Southwick",Does Pallion borders Southwick and near to Southwick?,Yes,no_change
Pallion,borders,Southwick,near,Southwick,"Pallion is borders Southwick, near Southwick",Does Southwick borders Pallion and near to Southwick?,No,flip_place
Pallion,borders,Southwick,close,Whickham North,"Pallion is borders Southwick, close Whickham North",Does Pallion borders Southwick and close to Whickham North?,Yes,no_change
Pallion,borders,Southwick,close,Whickham North,"Pallion is borders Southwick, close Whickham North",Does Pallion borders Southwick and distant to Whickham North?,No,replace_dis_token
Dunston Hill and Whickham East,within,North East Euro Region,distant,Fulwell,"Dunston Hill and Whickham East is within North East Euro Region, distant Fulwell",Is Dunston Hill and Whickham East within North East Euro Region and distant to Fulwell?,Yes,no_change
Dunston Hill and Whickham East,within,North East Euro Region,distant,Fulwell,"Dunston Hill and Whickham East is within North East Euro Region, distant Fulwell",Is North East Euro Region within Dunston Hill and Whickham East and distant to Fulwell?,No,flip_place
Dunston Hill and Whickham East,within,North East Euro Region,far,Penistone East,"Dunston Hill and Whickham East is within North East Euro Region, far Penistone East",Is Dunston Hill and Whickham East within North East Euro Region and far to Penistone East?,Yes,no_change
Dunston Hill and Whickham East,within,North East Euro Region,far,Penistone East,"Dunston Hill and Whickham East is within North East Euro Region, far Penistone East",Does Dunston Hill and Whickham East borders North East Euro Region and far to Penistone East?,No,replace_top_token
Dunston Hill and Whickham East,borders,Whickham South and Sunniside,near,South Jesmond,"Dunston Hill and Whickham East is borders Whickham South and Sunniside, near South Jesmond",Does Dunston Hill and Whickham East borders Whickham South and Sunniside and near to South Jesmond?,Yes,no_change
Dunston Hill and Whickham East,borders,Whickham South and Sunniside,near,South Jesmond,"Dunston Hill and Whickham East is borders Whickham South and Sunniside, near South Jesmond",Does Whickham South and Sunniside borders Dunston Hill and Whickham East and near to South Jesmond?,No,flip_place
Dunston Hill and Whickham East,borders,Whickham South and Sunniside,close,Wardley and Leam Lane,"Dunston Hill and Whickham East is borders Whickham South and Sunniside, close Wardley and Leam Lane",Does Dunston Hill and Whickham East borders Whickham South and Sunniside and close to Wardley and Leam Lane?,Yes,no_change
Dunston Hill and Whickham East,borders,Whickham South and Sunniside,close,Wardley and Leam Lane,"Dunston Hill and Whickham East is borders Whickham South and Sunniside, close Wardley and Leam Lane",Does Whickham South and Sunniside borders Dunston Hill and Whickham East and close to Wardley and Leam Lane?,No,flip_place
Bebington,within,Metropolitan Borough of Wirral,distant,Smithills,"Bebington is within Metropolitan Borough of Wirral, distant Smithills",Is Bebington within Metropolitan Borough of Wirral and distant to Smithills?,Yes,no_change
Bebington,within,Metropolitan Borough of Wirral,distant,Smithills,"Bebington is within Metropolitan Borough of Wirral, distant Smithills",Does Bebington borders Metropolitan Borough of Wirral and distant to Smithills?,No,replace_top_token
Bebington,within,Metropolitan Borough of Wirral,far,Bloxwich East,"Bebington is within Metropolitan Borough of Wirral, far Bloxwich East",Is Bebington within Metropolitan Borough of Wirral and far to Bloxwich East?,Yes,no_change
Bebington,within,Metropolitan Borough of Wirral,far,Bloxwich East,"Bebington is within Metropolitan Borough of Wirral, far Bloxwich East",Is Metropolitan Borough of Wirral within Bebington and far to Bloxwich East?,No,flip_place
Bebington,borders,Prenton,near,St. Michael's,"Bebington is borders Prenton, near St. Michael's",Does Bebington borders Prenton and near to St. Michael's?,Yes,no_change
Bebington,borders,Prenton,near,St. Michael's,"Bebington is borders Prenton, near St. Michael's",Does Bebington borders Prenton and far to St. Michael's?,No,replace_dis_token
Bebington,borders,Prenton,close,Roby,"Bebington is borders Prenton, close Roby",Does Bebington borders Prenton and close to Roby?,Yes,no_change
Bebington,borders,Prenton,close,Roby,"Bebington is borders Prenton, close Roby",Does Prenton borders Bebington and close to Roby?,No,flip_place
Pudsey,within,County Borough of Leeds,distant,Stepping Hill,"Pudsey is within County Borough of Leeds, distant Stepping Hill",Is Pudsey within County Borough of Leeds and distant to Stepping Hill?,Yes,no_change
Pudsey,within,County Borough of Leeds,distant,Stepping Hill,"Pudsey is within County Borough of Leeds, distant Stepping Hill",Is Pudsey within County Borough of Leeds and close to Stepping Hill?,No,replace_dis_token
Pudsey,within,County Borough of Leeds,far,Smith's Wood,"Pudsey is within County Borough of Leeds, far Smith's Wood",Is Pudsey within County Borough of Leeds and far to Smith's Wood?,Yes,no_change
Pudsey,within,County Borough of Leeds,far,Smith's Wood,"Pudsey is within County Borough of Leeds, far Smith's Wood",Is Pudsey within County Borough of Leeds and near to Smith's Wood?,No,replace_dis_token
Pudsey,borders,Armley,near,Windhill and Wrose,"Pudsey is borders Armley, near Windhill and Wrose",Does Pudsey borders Armley and near to Windhill and Wrose?,Yes,no_change
Pudsey,borders,Armley,near,Windhill and Wrose,"Pudsey is borders Armley, near Windhill and Wrose",Does Pudsey borders Armley and far to Windhill and Wrose?,No,replace_dis_token
Pudsey,borders,Armley,close,Temple Newsam,"Pudsey is borders Armley, close Temple Newsam",Does Pudsey borders Armley and close to Temple Newsam?,Yes,no_change
Pudsey,borders,Armley,close,Temple Newsam,"Pudsey is borders Armley, close Temple Newsam",Does Pudsey borders Armley and distant to Temple Newsam?,No,replace_dis_token
Elton,within,Metropolitan Borough of Bury,distant,Shipley,"Elton is within Metropolitan Borough of Bury, distant Shipley",Is Elton within Metropolitan Borough of Bury and distant to Shipley?,Yes,no_change
Elton,within,Metropolitan Borough of Bury,distant,Shipley,"Elton is within Metropolitan Borough of Bury, distant Shipley",Is Elton within Metropolitan Borough of Bury and close to Shipley?,No,replace_dis_token
Elton,within,Metropolitan Borough of Bury,far,Finningley,"Elton is within Metropolitan Borough of Bury, far Finningley",Is Elton within Metropolitan Borough of Bury and far to Finningley?,Yes,no_change
Elton,within,Metropolitan Borough of Bury,far,Finningley,"Elton is within Metropolitan Borough of Bury, far Finningley",Does Elton borders Metropolitan Borough of Bury and far to Finningley?,No,replace_top_token
Elton,borders,East,near,West Heywood,"Elton is borders East, near West Heywood",Does Elton borders East and near to West Heywood?,Yes,no_change
Elton,borders,East,near,West Heywood,"Elton is borders East, near West Heywood",Does Elton borders East and far to West Heywood?,No,replace_dis_token
Elton,borders,East,close,Harpurhey,"Elton is borders East, close Harpurhey",Does Elton borders East and close to Harpurhey?,Yes,no_change
Elton,borders,East,close,Harpurhey,"Elton is borders East, close Harpurhey",Is Elton within East and close to Harpurhey?,No,replace_top_token
Thornton and Allerton,within,Yorkshire and the Humber Euro Region,distant,Valley,"Thornton and Allerton is within Yorkshire and the Humber Euro Region, distant Valley",Is Thornton and Allerton within Yorkshire and the Humber Euro Region and distant to Valley?,Yes,no_change
Thornton and Allerton,within,Yorkshire and the Humber Euro Region,distant,Valley,"Thornton and Allerton is within Yorkshire and the Humber Euro Region, distant Valley",Is Yorkshire and the Humber Euro Region within Thornton and Allerton and distant to Valley?,No,flip_place
Thornton and Allerton,within,Yorkshire and the Humber Euro Region,far,Wavertree,"Thornton and Allerton is within Yorkshire and the Humber Euro Region, far Wavertree",Is Thornton and Allerton within Yorkshire and the Humber Euro Region and far to Wavertree?,Yes,no_change
Thornton and Allerton,within,Yorkshire and the Humber Euro Region,far,Wavertree,"Thornton and Allerton is within Yorkshire and the Humber Euro Region, far Wavertree",Is Yorkshire and the Humber Euro Region within Thornton and Allerton and far to Wavertree?,No,flip_place
Thornton and Allerton,borders,Bingley Rural,near,Windhill and Wrose,"Thornton and Allerton is borders Bingley Rural, near Windhill and Wrose",Does Thornton and Allerton borders Bingley Rural and near to Windhill and Wrose?,Yes,no_change
Thornton and Allerton,borders,Bingley Rural,near,Windhill and Wrose,"Thornton and Allerton is borders Bingley Rural, near Windhill and Wrose",Does Bingley Rural borders Thornton and Allerton and near to Windhill and Wrose?,No,flip_place
Thornton and Allerton,borders,Bingley Rural,close,Weetwood,"Thornton and Allerton is borders Bingley Rural, close Weetwood",Does Thornton and Allerton borders Bingley Rural and close to Weetwood?,Yes,no_change
Thornton and Allerton,borders,Bingley Rural,close,Weetwood,"Thornton and Allerton is borders Bingley Rural, close Weetwood",Is Thornton and Allerton within Bingley Rural and close to Weetwood?,No,replace_top_token
South Heaton,borders,Byker,near,Wallsend,"South Heaton is borders Byker, near Wallsend",Does South Heaton borders Byker and near to Wallsend?,Yes,no_change
South Heaton,borders,Byker,near,Wallsend,"South Heaton is borders Byker, near Wallsend",Is South Heaton within Byker and near to Wallsend?,No,replace_top_token
South Heaton,borders,Byker,close,St. Michael's,"South Heaton is borders Byker, close St. Michael's",Does South Heaton borders Byker and close to St. Michael's?,Yes,no_change
South Heaton,borders,Byker,close,St. Michael's,"South Heaton is borders Byker, close St. Michael's",Is South Heaton within Byker and close to St. Michael's?,No,replace_top_token
Atherton,within,North West Euro Region,distant,St. Peter's,"Atherton is within North West Euro Region, distant St. Peter's",Is Atherton within North West Euro Region and distant to St. Peter's?,Yes,no_change
Atherton,within,North West Euro Region,distant,St. Peter's,"Atherton is within North West Euro Region, distant St. Peter's",Does Atherton borders North West Euro Region and distant to St. Peter's?,No,replace_top_token
Atherton,within,North West Euro Region,far,Felling,"Atherton is within North West Euro Region, far Felling",Is Atherton within North West Euro Region and far to Felling?,Yes,no_change
Atherton,within,North West Euro Region,far,Felling,"Atherton is within North West Euro Region, far Felling",Is North West Euro Region within Atherton and far to Felling?,No,flip_place
Atherton,borders,Hulton,near,Tyldesley,"Atherton is borders Hulton, near Tyldesley",Does Atherton borders Hulton and near to Tyldesley?,Yes,no_change
Atherton,borders,Hulton,near,Tyldesley,"Atherton is borders Hulton, near Tyldesley",Is Atherton within Hulton and near to Tyldesley?,No,replace_top_token
Atherton,borders,Hulton,close,Flixton,"Atherton is borders Hulton, close Flixton",Does Atherton borders Hulton and close to Flixton?,Yes,no_change
Atherton,borders,Hulton,close,Flixton,"Atherton is borders Hulton, close Flixton",Is Atherton within Hulton and close to Flixton?,No,replace_top_token
Gornal,within,West Midlands Euro Region,distant,Lyndon,"Gornal is within West Midlands Euro Region, distant Lyndon",Is Gornal within West Midlands Euro Region and distant to Lyndon?,Yes,no_change
Gornal,within,West Midlands Euro Region,distant,Lyndon,"Gornal is within West Midlands Euro Region, distant Lyndon",Does Gornal borders West Midlands Euro Region and distant to Lyndon?,No,replace_top_token
Gornal,within,West Midlands Euro Region,far,Wigan Central,"Gornal is within West Midlands Euro Region, far Wigan Central",Is Gornal within West Midlands Euro Region and far to Wigan Central?,Yes,no_change
Gornal,within,West Midlands Euro Region,far,Wigan Central,"Gornal is within West Midlands Euro Region, far Wigan Central",Is Gornal within West Midlands Euro Region and near to Wigan Central?,No,replace_dis_token
Gornal,borders,Castle and Priory,near,Quarry Bank and Dudley Wood,"Gornal is borders Castle and Priory, near Quarry Bank and Dudley Wood",Does Gornal borders Castle and Priory and near to Quarry Bank and Dudley Wood?,Yes,no_change
Gornal,borders,Castle and Priory,near,Quarry Bank and Dudley Wood,"Gornal is borders Castle and Priory, near Quarry Bank and Dudley Wood",Does Gornal borders Castle and Priory and far to Quarry Bank and Dudley Wood?,No,replace_dis_token
Gornal,borders,Castle and Priory,close,Weoley,"Gornal is borders Castle and Priory, close Weoley",Does Gornal borders Castle and Priory and close to Weoley?,Yes,no_change
Gornal,borders,Castle and Priory,close,Weoley,"Gornal is borders Castle and Priory, close Weoley",Is Gornal within Castle and Priory and close to Weoley?,No,replace_top_token
Kersal,within,North West Euro Region,distant,Otley and Yeadon,"Kersal is within North West Euro Region, distant Otley and Yeadon",Is Kersal within North West Euro Region and distant to Otley and Yeadon?,Yes,no_change
Kersal,within,North West Euro Region,distant,Otley and Yeadon,"Kersal is within North West Euro Region, distant Otley and Yeadon",Does Kersal borders North West Euro Region and distant to Otley and Yeadon?,No,replace_top_token
Kersal,within,North West Euro Region,far,Monkton,"Kersal is within North West Euro Region, far Monkton",Is Kersal within North West Euro Region and far to Monkton?,Yes,no_change
Kersal,within,North West Euro Region,far,Monkton,"Kersal is within North West Euro Region, far Monkton",Does Kersal borders North West Euro Region and far to Monkton?,No,replace_top_token
Kersal,borders,Broughton,near,South Middleton,"Kersal is borders Broughton, near South Middleton",Does Kersal borders Broughton and near to South Middleton?,Yes,no_change
Kersal,borders,Broughton,near,South Middleton,"Kersal is borders Broughton, near South Middleton",Is Kersal within Broughton and near to South Middleton?,No,replace_top_token
Kersal,borders,Broughton,close,Smithills,"Kersal is borders Broughton, close Smithills",Does Kersal borders Broughton and close to Smithills?,Yes,no_change
Kersal,borders,Broughton,close,Smithills,"Kersal is borders Broughton, close Smithills",Does Kersal borders Broughton and distant to Smithills?,No,replace_dis_token
Saltwell,borders,Low Fell,near,South Heaton,"Saltwell is borders Low Fell, near South Heaton",Does Saltwell borders Low Fell and near to South Heaton?,Yes,no_change
Saltwell,borders,Low Fell,near,South Heaton,"Saltwell is borders Low Fell, near South Heaton",Does Low Fell borders Saltwell and near to South Heaton?,No,flip_place
Saltwell,borders,Low Fell,close,Shiney Row,"Saltwell is borders Low Fell, close Shiney Row",Does Saltwell borders Low Fell and close to Shiney Row?,Yes,no_change
Saltwell,borders,Low Fell,close,Shiney Row,"Saltwell is borders Low Fell, close Shiney Row",Does Low Fell borders Saltwell and close to Shiney Row?,No,flip_place
County,within,North West Euro Region,distant,Fallowfield,"County is within North West Euro Region, distant Fallowfield",Is County within North West Euro Region and distant to Fallowfield?,Yes,no_change
County,within,North West Euro Region,distant,Fallowfield,"County is within North West Euro Region, distant Fallowfield",Is County within North West Euro Region and close to Fallowfield?,No,replace_dis_token
County,within,North West Euro Region,far,Crosland Moor and Netherton,"County is within North West Euro Region, far Crosland Moor and Netherton",Is County within North West Euro Region and far to Crosland Moor and Netherton?,Yes,no_change
County,within,North West Euro Region,far,Crosland Moor and Netherton,"County is within North West Euro Region, far Crosland Moor and Netherton",Is North West Euro Region within County and far to Crosland Moor and Netherton?,No,flip_place
County,borders,Derby,near,Tuebrook and Stoneycroft,"County is borders Derby, near Tuebrook and Stoneycroft",Does County borders Derby and near to Tuebrook and Stoneycroft?,Yes,no_change
County,borders,Derby,near,Tuebrook and Stoneycroft,"County is borders Derby, near Tuebrook and Stoneycroft",Is County within Derby and near to Tuebrook and Stoneycroft?,No,replace_top_token
County,borders,Derby,close,Thatto Heath,"County is borders Derby, close Thatto Heath",Does County borders Derby and close to Thatto Heath?,Yes,no_change
County,borders,Derby,close,Thatto Heath,"County is borders Derby, close Thatto Heath",Does County borders Derby and distant to Thatto Heath?,No,replace_dis_token
Royston,within,Yorkshire and the Humber Euro Region,distant,Tickhill & Wadsworth,"Royston is within Yorkshire and the Humber Euro Region, distant Tickhill & Wadsworth",Is Royston within Yorkshire and the Humber Euro Region and distant to Tickhill & Wadsworth?,Yes,no_change
Royston,within,Yorkshire and the Humber Euro Region,distant,Tickhill & Wadsworth,"Royston is within Yorkshire and the Humber Euro Region, distant Tickhill & Wadsworth",Is Yorkshire and the Humber Euro Region within Royston and distant to Tickhill & Wadsworth?,No,flip_place
Royston,within,Yorkshire and the Humber Euro Region,far,Woolsington,"Royston is within Yorkshire and the Humber Euro Region, far Woolsington",Is Royston within Yorkshire and the Humber Euro Region and far to Woolsington?,Yes,no_change
Royston,within,Yorkshire and the Humber Euro Region,far,Woolsington,"Royston is within Yorkshire and the Humber Euro Region, far Woolsington",Does Royston borders Yorkshire and the Humber Euro Region and far to Woolsington?,No,replace_top_token
Royston,borders,Crofton Ryhill and Walton,near,St. Helens,"Royston is borders Crofton Ryhill and Walton, near St. Helens",Does Royston borders Crofton Ryhill and Walton and near to St. Helens?,Yes,no_change
Royston,borders,Crofton Ryhill and Walton,near,St. Helens,"Royston is borders Crofton Ryhill and Walton, near St. Helens",Does Crofton Ryhill and Walton borders Royston and near to St. Helens?,No,flip_place
Royston,borders,Crofton Ryhill and Walton,close,Woodhouse,"Royston is borders Crofton Ryhill and Walton, close Woodhouse",Does Royston borders Crofton Ryhill and Walton and close to Woodhouse?,Yes,no_change
Royston,borders,Crofton Ryhill and Walton,close,Woodhouse,"Royston is borders Crofton Ryhill and Walton, close Woodhouse",Does Crofton Ryhill and Walton borders Royston and close to Woodhouse?,No,flip_place
Elland,within,Calderdale,distant,Firth Park,"Elland is within Calderdale, distant Firth Park",Is Elland within Calderdale and distant to Firth Park?,Yes,no_change
Elland,within,Calderdale,distant,Firth Park,"Elland is within Calderdale, distant Firth Park",Does Elland borders Calderdale and distant to Firth Park?,No,replace_top_token
Elland,within,Calderdale,far,Rushall-Shelfield,"Elland is within Calderdale, far Rushall-Shelfield",Is Elland within Calderdale and far to Rushall-Shelfield?,Yes,no_change
Elland,within,Calderdale,far,Rushall-Shelfield,"Elland is within Calderdale, far Rushall-Shelfield",Is Calderdale within Elland and far to Rushall-Shelfield?,No,flip_place
Elland,borders,Rastrick,near,Skircoat,"Elland is borders Rastrick, near Skircoat",Does Elland borders Rastrick and near to Skircoat?,Yes,no_change
Elland,borders,Rastrick,near,Skircoat,"Elland is borders Rastrick, near Skircoat",Does Rastrick borders Elland and near to Skircoat?,No,flip_place
Elland,borders,Rastrick,close,Denby Dale,"Elland is borders Rastrick, close Denby Dale",Does Elland borders Rastrick and close to Denby Dale?,Yes,no_change
Elland,borders,Rastrick,close,Denby Dale,"Elland is borders Rastrick, close Denby Dale",Does Rastrick borders Elland and close to Denby Dale?,No,flip_place
Acocks Green,within,Birmingham,distant,Graiseley,"Acocks Green is within Birmingham, distant Graiseley",Is Acocks Green within Birmingham and distant to Graiseley?,Yes,no_change
Acocks Green,within,Birmingham,distant,Graiseley,"Acocks Green is within Birmingham, distant Graiseley",Is Acocks Green within Birmingham and close to Graiseley?,No,replace_dis_token
Acocks Green,within,Birmingham,far,Village,"Acocks Green is within Birmingham, far Village",Is Acocks Green within Birmingham and far to Village?,Yes,no_change
Acocks Green,within,Birmingham,far,Village,"Acocks Green is within Birmingham, far Village",Is Acocks Green within Birmingham and near to Village?,No,replace_dis_token
Acocks Green,borders,Hall Green,near,Billesley,"Acocks Green is borders Hall Green, near Billesley",Does Acocks Green borders Hall Green and near to Billesley?,Yes,no_change
Acocks Green,borders,Hall Green,near,Billesley,"Acocks Green is borders Hall Green, near Billesley",Does Hall Green borders Acocks Green and near to Billesley?,No,flip_place
Acocks Green,borders,Hall Green,close,Pelsall,"Acocks Green is borders Hall Green, close Pelsall",Does Acocks Green borders Hall Green and close to Pelsall?,Yes,no_change
Acocks Green,borders,Hall Green,close,Pelsall,"Acocks Green is borders Hall Green, close Pelsall",Does Acocks Green borders Hall Green and distant to Pelsall?,No,replace_dis_token
Blundellsands,within,North West Euro Region,distant,Ince,"Blundellsands is within North West Euro Region, distant Ince",Is Blundellsands within North West Euro Region and distant to Ince?,Yes,no_change
Blundellsands,within,North West Euro Region,distant,Ince,"Blundellsands is within North West Euro Region, distant Ince",Is Blundellsands within North West Euro Region and close to Ince?,No,replace_dis_token
Blundellsands,within,North West Euro Region,far,Warley,"Blundellsands is within North West Euro Region, far Warley",Is Blundellsands within North West Euro Region and far to Warley?,Yes,no_change
Blundellsands,within,North West Euro Region,far,Warley,"Blundellsands is within North West Euro Region, far Warley",Is North West Euro Region within Blundellsands and far to Warley?,No,flip_place
Blundellsands,borders,Victoria,near,Manor,"Blundellsands is borders Victoria, near Manor",Does Blundellsands borders Victoria and near to Manor?,Yes,no_change
Blundellsands,borders,Victoria,near,Manor,"Blundellsands is borders Victoria, near Manor",Is Blundellsands within Victoria and near to Manor?,No,replace_top_token
Blundellsands,borders,Victoria,close,Tuebrook and Stoneycroft,"Blundellsands is borders Victoria, close Tuebrook and Stoneycroft",Does Blundellsands borders Victoria and close to Tuebrook and Stoneycroft?,Yes,no_change
Blundellsands,borders,Victoria,close,Tuebrook and Stoneycroft,"Blundellsands is borders Victoria, close Tuebrook and Stoneycroft",Is Blundellsands within Victoria and close to Tuebrook and Stoneycroft?,No,replace_top_token
Elmdon,within,Metropolitan Borough of Solihull,distant,Kingswinford North and Wall Heath,"Elmdon is within Metropolitan Borough of Solihull, distant Kingswinford North and Wall Heath",Is Elmdon within Metropolitan Borough of Solihull and distant to Kingswinford North and Wall Heath?,Yes,no_change
Elmdon,within,Metropolitan Borough of Solihull,distant,Kingswinford North and Wall Heath,"Elmdon is within Metropolitan Borough of Solihull, distant Kingswinford North and Wall Heath",Is Elmdon within Metropolitan Borough of Solihull and close to Kingswinford North and Wall Heath?,No,replace_dis_token
Elmdon,within,Metropolitan Borough of Solihull,far,Manor,"Elmdon is within Metropolitan Borough of Solihull, far Manor",Is Elmdon within Metropolitan Borough of Solihull and far to Manor?,Yes,no_change
Elmdon,within,Metropolitan Borough of Solihull,far,Manor,"Elmdon is within Metropolitan Borough of Solihull, far Manor",Does Elmdon borders Metropolitan Borough of Solihull and far to Manor?,No,replace_top_token
Elmdon,borders,Sheldon,near,Hodge Hill,"Elmdon is borders Sheldon, near Hodge Hill",Does Elmdon borders Sheldon and near to Hodge Hill?,Yes,no_change
