question,options,answer,option_sources,concept,top,dis,dir
Which city is located in east of Warbreck?,"A. Monk Bretton
B. Keppel
C. Whickham South and Sunniside",A. Monk Bretton,"correct,hard,random",1,0,0,1
Which city is located in east of Whickham North?,"A. Fulwell
B. Metropolitan Borough of Wirral
C. Hyde Newton",A. Fulwell,"correct,random,hard",1,0,0,1
Which city is located in east of Cressington?,"A. Wardle and West Littleborough
B. Clayton and Fairweather Green
C. Almondbury",C. Almondbury,"random,hard,correct",1,0,0,1
Which city is located in east of Blundellsands?,"A. Offerton Park
B. Woodhouse
C. Amblecote",B. Woodhouse,"hard,correct,random",1,0,0,1
Which city is located in east of Primrose?,"A. Ainsdale
B. Beacon and Bents
C. Hall Green",B. Beacon and Bents,"random,correct,hard",1,0,0,1
Which city is located in east of Upton?,"A. Hayley Green and Cradley South
B. Belle Vale
C. Little Horton",C. Little Horton,"random,hard,correct",1,0,0,1
Which city is located in east of Old Swan?,"A. Bowdon
B. Little Hulton
C. St. Michaels",C. St. Michaels,"random,hard,correct",1,0,0,1
Which city is located in east of St. Michaels?,"A. Chorlton Park
B. Atherleigh
C. Edenthorpe",C. Edenthorpe,"random,hard,correct",1,0,0,1
Which city is located in east of Irwell Riverside?,"A. Silverwood
B. Royds
C. Roman Ridge",C. Roman Ridge,"hard,random,correct",1,0,0,1
Which city is located in east of Saltwell?,"A. Halewood
B. Cullercoats
C. Chirton",C. Chirton,"random,hard,correct",1,0,0,1
Which city is located in east of Sudell?,"A. Washwood Heath
B. North Heywood
C. Ardwick",C. Ardwick,"random,hard,correct",1,0,0,1
Which city is located in east of Bromborough?,"A. Coldhurst
B. City
C. Eccleston St Helens",B. City,"random,correct,hard",1,0,0,1
Which city is located in east of Norden?,"A. Sprotbrough and Cusworth
B. Dinnington St. John's
C. Sale Moor",B. Dinnington St. John's,"random,correct,hard",1,0,0,1
Which city is located in east of Meols?,"A. Blackrod
B. Elton
C. Kingstone",C. Kingstone,"random,hard,correct",1,0,0,1
Which city is located in east of Moss Side?,"A. Meols
B. Audenshaw
C. Saddleworth West and Lees",B. Audenshaw,"random,correct,hard",1,0,0,1
Which city is located in east of Atherton?,"A. Idle and Thackley
B. Town
C. West Derby",B. Town,"hard,correct,random",1,0,0,1
Which city is located in east of Westhoughton North and Chew Moor?,"A. Belle Vale
B. South Elmsall and South Kirkby
C. Broomhill & Sharrow Vale",B. South Elmsall and South Kirkby,"random,correct,hard",1,0,0,1
Which city is located in east of Heswall?,"A. Skircoat
B. Knotty Ash
C. Picton Cheshire",B. Knotty Ash,"hard,correct,random",1,0,0,1
Which city is located in east of Astley Mosley Common?,"A. Batley East
B. Bramhall North
C. Norton",B. Bramhall North,"hard,correct,random",1,0,0,1
Which city is located in east of Clubmoor?,"A. Finningley
B. Darnall
C. Bebington",A. Finningley,"correct,hard,random",1,0,0,1
Which city is located in east of Sudell?,"A. Todmorden
B. North Heywood
C. West Middleton",B. North Heywood,"hard,correct,random",1,0,0,1
Which city is located in east of Byker?,"A. Hebburn South
B. Marple South
C. Dore & Totley",A. Hebburn South,"correct,random,hard",1,0,0,1
Which city is located in east of Blackheath?,"A. Castle Bromwich
B. Soho and Victoria
C. Quinton",B. Soho and Victoria,"random,correct,hard",1,0,0,1
Which city is located in east of Holme Valley?,"A. Mossley Hill
B. Sprotbrough and Cusworth
C. Riverside",B. Sprotbrough and Cusworth,"hard,correct,random",1,0,0,1
Which city is located in east of Dukinfield?,"A. Fawdon
B. Central
C. Sprotbrough and Cusworth",C. Sprotbrough and Cusworth,"random,hard,correct",1,0,0,1
Which city is located in east of Manor?,"A. Normanton West Yorkshire
B. Stocksbridge & Upper Don
C. Wickersley",B. Stocksbridge & Upper Don,"hard,correct,random",1,0,0,1
Which city is located in east of City and Hunslet?,"A. Castleford Central and Glasshoughton
B. Hatfield
C. Whalley Range",B. Hatfield,"random,correct,hard",1,0,0,1
Which city is located in east of Anfield?,"A. Norris Green
B. Boston Castle
C. Lamesley",B. Boston Castle,"hard,correct,random",1,0,0,1
Which city is located in east of Ashton Waterloo?,"A. Ecclesall
B. Wheatley Hills & Intake
C. Silverwood",C. Silverwood,"random,hard,correct",1,0,0,1
Which city is located in east of Sale Moor?,"A. Manor
B. Worsbrough
C. Wigan West",B. Worsbrough,"random,correct,hard",1,0,0,1
Which city is located in east of Wollaston and Stourbridge Town?,"A. Springfield
B. Sudell
C. Bromborough",A. Springfield,"correct,random,hard",1,0,0,1
Which city is located in east of Northwood?,"A. Hopwood Hall
B. Illingworth and Mixenden
C. Tong",C. Tong,"random,hard,correct",1,0,0,1
Which city is located in east of Woolton?,"A. Headingley
B. Northowram and Shelf
C. Saddleworth West and Lees",B. Northowram and Shelf,"hard,correct,random",1,0,0,1
Which city is located in east of Longbenton?,"A. Handsworth Wood
B. Whiteleas
C. Killingworth",C. Killingworth,"random,hard,correct",1,0,0,1
Which city is located in east of Healey?,"A. Yew Tree
B. Manningham
C. Silhill",B. Manningham,"random,correct,hard",1,0,0,1
Which city is located in east of Coseley East?,"A. Metropolitan Borough of Doncaster
B. Barton
C. Radford",C. Radford,"hard,random,correct",1,0,0,1
Which city is located in east of Milnrow and Newhey?,"A. Thatto Heath
B. Kenton
C. Horsforth",C. Horsforth,"hard,random,correct",1,0,0,1
Which city is located in east of Everton?,"A. Earlestown
B. Wednesbury North
C. Windhill and Wrose",C. Windhill and Wrose,"hard,random,correct",1,0,0,1
Which city is located in east of Alexandra?,"A. Chelmsley Wood
B. Airedale and Ferry Fryston
C. Sitwell",B. Airedale and Ferry Fryston,"random,correct,hard",1,0,0,1
Which city is located in east of Pilkington Park?,"A. Toller
B. Hollinwood
C. Wakefield West",C. Wakefield West,"random,hard,correct",1,0,0,1
Which city is located in east of Shaw?,"A. Mosborough
B. Metropolitan Borough of St Helens
C. Old Town",C. Old Town,"random,hard,correct",1,0,0,1
Which city is located in east of East Middleton?,"A. Penistone
B. Stanley and Outwood East
C. Wednesbury South",B. Stanley and Outwood East,"hard,correct,random",1,0,0,1
Which city is located in east of Duke's?,"A. Tyldesley
B. Davyhulme East
C. Prescot",A. Tyldesley,"correct,hard,random",1,0,0,1
Which city is located in east of Pensby and Thingwall?,"A. Primrose
B. Denton North East
C. Newcastle upon Tyne",B. Denton North East,"hard,correct,random",1,0,0,1
Which city is located in east of Upton?,"A. Northowram and Shelf
B. Belle Vale
C. Trafford",B. Belle Vale,"hard,correct,random",1,0,0,1
Which city is located in east of Smallbridge and Firgrove?,"A. Knottingley
B. Bolton and Undercliffe
C. Royds",B. Bolton and Undercliffe,"hard,correct,random",1,0,0,1
Which city is located in east of Priory?,"A. Cleckheaton
B. Failsworth East
C. Birley",C. Birley,"random,hard,correct",1,0,0,1
Which city is located in east of Clubmoor?,"A. Darnall
B. Finningley
C. Wombwell",A. Darnall,"correct,hard,random",1,0,0,1
Which city is located in east of Moreton West and Saughall Massie?,"A. Bromley Cross
B. Headingley
C. Moorside",B. Headingley,"hard,correct,random",1,0,0,1
Which city is located in east of Leigh South?,"A. Failsworth West
B. Bingley
C. Kirkdale",A. Failsworth West,"correct,hard,random",1,0,0,1
Which city is located in east of Saddleworth West and Lees?,"A. Stalybridge North
B. Armley
C. Stanley and Outwood East",B. Armley,"random,correct,hard",1,0,0,1
Which city is located in east of County?,"A. Old Moat
B. Dinnington St. John's
C. Greenbank",A. Old Moat,"correct,hard,random",1,0,0,1
Which city is located in east of Horwich?,"A. Dukinfield Stalybridge
B. Failsworth East
C. Kingshurst and Fordbridge",B. Failsworth East,"hard,correct,random",1,0,0,1
Which city is located in east of East?,"A. Werneth
B. Stairfoot
C. Newsome",B. Stairfoot,"hard,correct,random",1,0,0,1
Which city is located in east of Milkstone and Deeplish?,"A. Rawmarsh
B. Crawcrook and Greenside
C. Darlaston South",A. Rawmarsh,"correct,hard,random",1,0,0,1
Which city is located in east of Longsight?,"A. Rainhill
B. Wakefield East
C. Ashton St. Michael's",C. Ashton St. Michael's,"hard,random,correct",1,0,0,1
Which city is located in east of Radcliffe North?,"A. Failsworth West
B. Pelaw and Heworth
C. Brinsworth and Catcliffe",A. Failsworth West,"correct,random,hard",1,0,0,1
Which city is located in east of Halliwell?,"A. Sprotbrough and Cusworth
B. Ramsbottom
C. Knotty Ash",B. Ramsbottom,"hard,correct,random",1,0,0,1
Which city is located in east of Astley Mosley Common?,"A. Broomhill & Sharrow Vale
B. Bramhall North
C. Hopwood Hall",A. Broomhill & Sharrow Vale,"correct,hard,random",1,0,0,1
Which city is located in east of Hodge Hill?,"A. Smithills
B. Henley
C. Hoylake and Meols",B. Henley,"random,correct,hard",1,0,0,1
Which city is located in east of Ramsbottom?,"A. Fulwood
B. Northumberland
C. Ossett",C. Ossett,"random,hard,correct",1,0,0,1
Which city is located in east of Page Moss?,"A. Chorlton Park
B. Calder
C. Aspull New Springs Whelley",A. Chorlton Park,"correct,hard,random",1,0,0,1
Which city is located in east of Derby?,"A. Rossington
B. Childwall
C. Doxey",A. Rossington,"correct,random,hard",1,0,0,1
Which city is located in east of Flixton?,"A. Bredbury and Woodley
B. Saddleworth
C. Bold St Helens",A. Bredbury and Woodley,"correct,hard,random",1,0,0,1
Which city is located in east of Brockmoor and Pensnett?,"A. Paddock
B. Newton
C. Swinton",B. Newton,"hard,correct,random",1,0,0,1
Which city is located in east of St. James'?,"A. Central
B. Wakefield East
C. Eastham",B. Wakefield East,"hard,correct,random",1,0,0,1
Which city is located in east of Speke-Garston?,"A. Smallbridge and Firgrove
B. South Middleton
C. Hateley Heath",A. Smallbridge and Firgrove,"correct,hard,random",1,0,0,1
Which city is located in east of Eccles?,"A. Rotherham West
B. Pontefract North
C. Audenshaw",C. Audenshaw,"hard,random,correct",1,0,0,1
Which city is located in east of Lowton East?,"A. St. Michaels
B. Gorton South
C. Central Rochdale",B. Gorton South,"hard,correct,random",1,0,0,1
Which city is located in east of Smallbridge and Firgrove?,"A. Bolton and Undercliffe
B. Armley
C. Harpurhey",B. Armley,"hard,correct,random",1,0,0,1
Which city is located in east of Cheadle Hulme North?,"A. Town
B. Whiteleas
C. Birley",C. Birley,"hard,random,correct",1,0,0,1
Which city is located in east of Manningham?,"A. Heald Green
B. Sprotbrough and Cusworth
C. Bingley",B. Sprotbrough and Cusworth,"hard,correct,random",1,0,0,1
Which city is located in east of Dorridge and Hockley Heath?,"A. Cradley and Wollescote
B. Heald Green
C. Upper Stoke",C. Upper Stoke,"hard,random,correct",1,0,0,1
Which city is located in east of Old Swan?,"A. Little Hulton
B. Lobley Hill and Bensham
C. St. Michaels",A. Little Hulton,"correct,random,hard",1,0,0,1
Which city is located in east of Holyrood?,"A. Old Town
B. Metropolitan Borough of Gateshead
C. Werneth",A. Old Town,"correct,hard,random",1,0,0,1
Which city is located in east of Dukinfield?,"A. Sprotbrough and Cusworth
B. Windhill and Wrose
C. Central",C. Central,"hard,random,correct",1,0,0,1
Which city is located in east of Bowdon?,"A. Crawcrook and Greenside
B. Hexthorpe & Balby North
C. Burmantofts and Richmond Hill",C. Burmantofts and Richmond Hill,"random,hard,correct",1,0,0,1
Which city is located in east of Mossley Hill?,"A. Dodworth
B. Saltwell
C. Hoyland Milton",C. Hoyland Milton,"hard,random,correct",1,0,0,1
Which city is located in east of Besses?,"A. Ashton Hurst
B. Hollinwood
C. Thornton and Allerton",B. Hollinwood,"random,correct,hard",1,0,0,1
Which city is located in east of Swinton South?,"A. Hipperholme and Lightcliffe
B. Bramley and Stanningley
C. Castle and Priory",A. Hipperholme and Lightcliffe,"correct,hard,random",1,0,0,1
Which city is located in east of Moreton West and Saughall Massie?,"A. Bromley Cross
B. Craven
C. Headingley",A. Bromley Cross,"correct,random,hard",1,0,0,1
Which city is located in east of Audenshaw?,"A. Adwick le Street & Carcroft
B. Central
C. Stocksbridge & Upper Don",C. Stocksbridge & Upper Don,"hard,random,correct",1,0,0,1
Which city is located in east of Picton Cheshire?,"A. Aston
B. Northenden
C. Doxford",B. Northenden,"random,correct,hard",1,0,0,1
Which city is located in east of Northowram and Shelf?,"A. Flixton
B. Liversedge and Gomersal
C. Balby South",C. Balby South,"hard,random,correct",1,0,0,1
Which city is located in east of Atherton?,"A. Bilston East
B. Idle and Thackley
C. Great Horton",C. Great Horton,"random,hard,correct",1,0,0,1
Which city is located in east of Amblecote?,"A. Lozells and East Handsworth
B. Silhill
C. North East Euro Region",A. Lozells and East Handsworth,"correct,hard,random",1,0,0,1
Which city is located in east of Bradshaw?,"A. Central Rochdale
B. Edgeley and Cheadle Heath
C. Hellaby",A. Central Rochdale,"correct,random,hard",1,0,0,1
Which city is located in east of South Middleton?,"A. Longdendale
B. Wigan West
C. Bamford",A. Longdendale,"correct,hard,random",1,0,0,1
Which city is located in east of Keighley?,"A. Armley
B. Ardsley and Robin Hood
C. Ladywood",B. Ardsley and Robin Hood,"hard,correct,random",1,0,0,1
Which city is located in east of Rowley?,"A. Sutton Four Oaks
B. Brinnington and Central
C. Oxton",A. Sutton Four Oaks,"correct,random,hard",1,0,0,1
Which city is located in east of Westhoughton North and Chew Moor?,"A. Mirfield
B. South Elmsall and South Kirkby
C. Edenthorpe",A. Mirfield,"correct,hard,random",1,0,0,1
Which city is located in east of Kensington and Fairfield?,"A. Radcliffe West
B. Pontefract South
C. Davyhulme East",B. Pontefract South,"random,correct,hard",1,0,0,1
Which city is located in east of Denby Dale?,"A. Armthorpe
B. Greenbank
C. Town",A. Armthorpe,"correct,random,hard",1,0,0,1
Which city is located in east of Central Rochdale?,"A. Alwoodley
B. Wickersley
C. Handsworth Wood",A. Alwoodley,"correct,random,hard",1,0,0,1
Which city is located in east of Astley Village?,"A. Lozells and East Handsworth
B. Clayton and Fairweather Green
C. Ashton Hurst",B. Clayton and Fairweather Green,"random,correct,hard",1,0,0,1
Which city is located in east of Sutton Weaver (civil parish)?,"A. Keppel
B. Pontefract North
C. Monkseaton South",A. Keppel,"correct,hard,random",1,0,0,1
Which city is located in east of Mossley Hill?,"A. Hoyland Milton
B. Dodworth
C. Walkley",B. Dodworth,"hard,correct,random",1,0,0,1
Which city is located in east of Todmorden?,"A. County
B. Illingworth and Mixenden
C. Windhill and Wrose",B. Illingworth and Mixenden,"hard,correct,random",1,0,0,1
Which city is located in east of Moston?,"A. Chadderton South
B. Lobley Hill and Bensham
C. Knowle",A. Chadderton South,"correct,random,hard",1,0,0,1
Which city is located in east of Thornton and Allerton?,"A. Coseley East
B. Edenthorpe
C. Thorne & Moorends",B. Edenthorpe,"random,correct,hard",1,0,0,1
Which city is located in east of Boothstown and Ellenbrook?,"A. Winton
B. Boothstown and Ellenbrook
C. Mexborough",A. Winton,"correct,random,hard",1,0,0,1
Which city is located in east of Cheadle and Gatley?,"A. Todmorden
B. Garforth and Swillington
C. St. James's",B. Garforth and Swillington,"hard,correct,random",1,0,0,1
Which city is located in east of St. James'?,"A. Boston Castle
B. Wakefield East
C. Ardsley and Robin Hood",C. Ardsley and Robin Hood,"random,hard,correct",1,0,0,1
Which city is located in east of Stretford?,"A. Hoober
B. Heckmondwike
C. Blundellsands",A. Hoober,"correct,hard,random",1,0,0,1
Which city is located in east of Upton?,"A. Northowram and Shelf
B. Bramley and Stanningley
C. Woodhouse Park",B. Bramley and Stanningley,"hard,correct,random",1,0,0,1
Which city is located in east of Wigan West?,"A. Princes End
B. St. Mary's
C. Dewsbury South",B. St. Mary's,"random,correct,hard",1,0,0,1
Which city is located in east of Broadheath?,"A. Newsome
B. Dukinfield
C. Hillsborough",B. Dukinfield,"hard,correct,random",1,0,0,1
Which city is located in east of Hoylake and Meols?,"A. Great Lever
B. Cheadle Hulme North
C. Silverwood",C. Silverwood,"hard,random,correct",1,0,0,1
Which city is located in east of Birkdale?,"A. Royton North
B. Harington
C. Bowdon",A. Royton North,"correct,random,hard",1,0,0,1
Which city is located in east of Penistone?,"A. Great Bridge
B. Soho
C. Crofton Ryhill and Walton",C. Crofton Ryhill and Walton,"hard,random,correct",1,0,0,1
Which city is located in east of Leigh South?,"A. Davyhulme East
B. Normanton West Yorkshire
C. Bingley",C. Bingley,"random,hard,correct",1,0,0,1
Which city is located in east of Bromborough?,"A. Eccleston St Helens
B. Milnrow and Newhey
C. City",A. Eccleston St Helens,"correct,random,hard",1,0,0,1
Which city is located in east of Keighley?,"A. Shevington
B. North East
C. Ardsley and Robin Hood",B. North East,"random,correct,hard",1,0,0,1
Which city is located in east of Netherton and Orrell?,"A. Pemberton
B. Southey
C. Rusholme",A. Pemberton,"correct,hard,random",1,0,0,1
Which city is located in east of Bromley Cross?,"A. Little Lever and Darcy Lever
B. Lindley
C. Thorne & Moorends",B. Lindley,"random,correct,hard",1,0,0,1
Which city is located in east of Westhoughton North and Chew Moor?,"A. Broomhill & Sharrow Vale
B. South Elmsall and South Kirkby
C. Edenthorpe",A. Broomhill & Sharrow Vale,"correct,hard,random",1,0,0,1
Which city is located in east of Farnworth?,"A. Morley West Yorkshire
B. Wharfedale
C. Soho and Victoria",B. Wharfedale,"hard,correct,random",1,0,0,1
Which city is located in east of Ryton Crookhill and Stella?,"A. Longbenton
B. Craven
C. Felling",C. Felling,"hard,random,correct",1,0,0,1
Which city is located in east of Farnworth?,"A. Morley West Yorkshire
B. Horbury and South Ossett
C. Middleton Park",C. Middleton Park,"hard,random,correct",1,0,0,1
Which city is located in east of Norton?,"A. Wainbody
B. Binley and Willenhall
C. Stockbridge",A. Wainbody,"correct,hard,random",1,0,0,1
Which city is located in east of Ford?,"A. Heswall
B. Bold St Helens
C. Richmond",C. Richmond,"hard,random,correct",1,0,0,1
Which city is located in east of Hoylake and Meols?,"A. Copt Hill
B. Silverwood
C. Great Lever",C. Great Lever,"random,hard,correct",1,0,0,1
Which city is located in east of Saltwell?,"A. Cullercoats
B. Chirton
C. Miles Platting and Newton Heath",A. Cullercoats,"correct,hard,random",1,0,0,1
Which city is located in east of Hoober?,"A. Swinton
B. Bournville
C. Audenshaw",A. Swinton,"correct,random,hard",1,0,0,1
Which city is located in east of Birkenhead and Tranmere?,"A. Kings Norton
B. Halewood
C. Crompton",C. Crompton,"random,hard,correct",1,0,0,1
Which city is located in east of Altrincham?,"A. Greenhead
B. Conisbrough Parks
C. Town",B. Conisbrough Parks,"random,correct,hard",1,0,0,1
Which city is located in east of Norwood?,"A. Wyke
B. Tong
C. Burnage",A. Wyke,"correct,random,hard",1,0,0,1
Which city is located in east of Wigan West?,"A. Dewsbury South
B. Pallion
C. West Ecclesfield",C. West Ecclesfield,"hard,random,correct",1,0,0,1
Which city is located in east of Halliwell?,"A. Ramsbottom
B. Sprotbrough and Cusworth
C. Brinnington and Central",B. Sprotbrough and Cusworth,"hard,correct,random",1,0,0,1
Which city is located in east of Acocks Green?,"A. Lower Stoke
B. Newsome
C. Wallsend",A. Lower Stoke,"correct,hard,random",1,0,0,1
Which city is located in east of Cheadle Hulme North?,"A. Nether Edge & Sharrow
B. Shevington with Lower Ground
C. Town",A. Nether Edge & Sharrow,"correct,random,hard",1,0,0,1
Which city is located in east of Leigh West?,"A. Crofton Ryhill and Walton
B. Roundhay
C. Cambridge",A. Crofton Ryhill and Walton,"correct,hard,random",1,0,0,1
Which city is located in east of Friar Park?,"A. Radford
B. Ovenden
C. Washington Central",A. Radford,"correct,hard,random",1,0,0,1
Which city is located in east of Swinton South?,"A. Bramley and Stanningley
B. Gleadless Valley
C. County",B. Gleadless Valley,"hard,correct,random",1,0,0,1
Which city is located in east of Hindley Green?,"A. Silverwood
B. Great Lever
C. Davenport and Cale Green",C. Davenport and Cale Green,"hard,random,correct",1,0,0,1
Which city is located in east of Leasowe and Moreton East?,"A. Ashbrow
B. Brighouse
C. Cheetham",B. Brighouse,"random,correct,hard",1,0,0,1
Which city is located in east of St. Peter's?,"A. Ashton St. Michael's
B. Weaste and Seedley
C. Denby Dale",A. Ashton St. Michael's,"correct,hard,random",1,0,0,1
Which city is located in east of Sedgley?,"A. Tipton Green
B. Batley East
C. Town",A. Tipton Green,"correct,random,hard",1,0,0,1
Which city is located in east of Riverside?,"A. Queensbury
B. Sparkbrook
C. Royton South",C. Royton South,"hard,random,correct",1,0,0,1
Which city is located in east of Princes Park?,"A. Penistone
B. Tipton Green
C. Wombwell",A. Penistone,"correct,random,hard",1,0,0,1
Which city is located in east of Meols?,"A. Penistone
B. Harington
C. Kingstone",A. Penistone,"correct,random,hard",1,0,0,1
Which city is located in east of Earlestown?,"A. Ainsdale
B. Whiston & Cronton
C. Calder",C. Calder,"random,hard,correct",1,0,0,1
Which city is located in east of Stalybridge North?,"A. Holbrook
B. Normanton West Yorkshire
C. Lamesley",B. Normanton West Yorkshire,"hard,correct,random",1,0,0,1
Which city is located in east of Sudell?,"A. Todmorden
B. Crumpsall
C. Ardwick",A. Todmorden,"correct,random,hard",1,0,0,1
Which city is located in east of Kew?,"A. Bentley
B. Mossley
C. Calder",C. Calder,"hard,random,correct",1,0,0,1
Which city is located in east of Timperley?,"A. Ashton Waterloo
B. Sprotbrough and Cusworth
C. Chowdene",A. Ashton Waterloo,"correct,hard,random",1,0,0,1
Which city is located in east of Warley?,"A. Monkseaton North
B. Cleckheaton
C. Heckmondwike",B. Cleckheaton,"random,correct,hard",1,0,0,1
Which city is located in east of Cheetham?,"A. Valley
B. Mirfield
C. Ravenmeols",A. Valley,"correct,hard,random",1,0,0,1
Which city is located in east of Aspull New Springs Whelley?,"A. Langworthy
B. Alexandra
C. Denby Dale",A. Langworthy,"correct,hard,random",1,0,0,1
Which city is located in east of Cressington?,"A. Bilston East
B. Davyhulme East
C. Clayton and Fairweather Green",C. Clayton and Fairweather Green,"random,hard,correct",1,0,0,1
Which city is located in east of Leigh South?,"A. Hipperholme and Lightcliffe
B. Normanton West Yorkshire
C. Failsworth West",B. Normanton West Yorkshire,"random,correct,hard",1,0,0,1
Which city is located in east of Flixton?,"A. Bredbury and Woodley
B. Saddleworth
C. Cressington",B. Saddleworth,"hard,correct,random",1,0,0,1
Which city is located in east of Miles Platting and Newton Heath?,"A. Upper Stoke
B. Longdendale
C. Dodworth",B. Longdendale,"random,correct,hard",1,0,0,1
Which city is located in east of Northfield?,"A. Lobley Hill and Bensham
B. Ford
C. Chelmsley Wood",C. Chelmsley Wood,"random,hard,correct",1,0,0,1
Which city is located in east of Worth Valley?,"A. Baildon
B. Keighley West
C. East Middleton",A. Baildon,"correct,random,hard",1,0,0,1
Which city is located in east of Keighley?,"A. Park
B. Armley
C. Ardsley and Robin Hood",B. Armley,"random,correct,hard",1,0,0,1
Which city is located in east of Shiregreen & Brightside?,"A. Brockmoor and Pensnett
B. Keppel
C. Hexthorpe & Balby North",C. Hexthorpe & Balby North,"hard,random,correct",1,0,0,1
Which city is located in east of Reddish North?,"A. Finningley
B. Longdendale
C. Metropolitan Borough of Oldham",B. Longdendale,"hard,correct,random",1,0,0,1
Which city is located in east of Cressington?,"A. Clayton and Fairweather Green
B. Northumberland
C. Davyhulme East",C. Davyhulme East,"hard,random,correct",1,0,0,1
Which city is located in east of Moseley and Kings Heath?,"A. Longford
B. Hodge Hill
C. Newsome",A. Longford,"correct,hard,random",1,0,0,1
Which city is located in east of Farnworth?,"A. Middleton Park
B. Charlestown
C. Birstall and Birkenshaw",C. Birstall and Birkenshaw,"hard,random,correct",1,0,0,1
Which city is located in east of Claughton?,"A. Wallsend
B. Whiston & Cronton
C. Moorside",C. Moorside,"random,hard,correct",1,0,0,1
Which city is located in east of Stockbridge?,"A. Charlestown
B. Cross Gates and Whinmoor
C. Wakefield North",B. Cross Gates and Whinmoor,"hard,correct,random",1,0,0,1
Which city is located in east of Heswall?,"A. Knotty Ash
B. Harton
C. Old Moat",C. Old Moat,"hard,random,correct",1,0,0,1
