place1,relation,place2,triplet,question,options,answer,option_sources
Bolton and Undercliffe,east,Smallbridge and Firgrove,Bolton and Undercliffe is east Smallbridge and Firgrove,Which city is located in east of Smallbridge and Firgrove?,"A. Knottingley
B. Bolton and Undercliffe
C. Royds",B. Bolton and Undercliffe,"hard,correct,random"
Birley,east,Priory,Birley is east Priory,Which city is located in east of Priory?,"A. Cleckheaton
B. Failsworth East
C. Birley",C. Birley,"random,hard,correct"
Darnall,east,Clubmoor,Darnall is east Clubmoor,Which city is located in east of Clubmoor?,"A. Darnall
B. Finningley
C. Wombwell",A. Darnall,"correct,hard,random"
Headingley,east,Moreton West and Saughall Massie,Headingley is east Moreton West and Saughall Massie,Which city is located in east of Moreton West and Saughall Massie?,"A. Bromley Cross
B. Headingley
C. Moorside",B. Headingley,"hard,correct,random"
Failsworth West,east,Leigh South,Failsworth West is east Leigh South,Which city is located in east of Leigh South?,"A. Failsworth West
B. Bingley
C. Kirkdale",A. Failsworth West,"correct,hard,random"
Armley,east,Saddleworth West and Lees,Armley is east Saddleworth West and Lees,Which city is located in east of Saddleworth West and Lees?,"A. Stalybridge North
B. Armley
C. Stanley and Outwood East",B. Armley,"random,correct,hard"
Old Moat,east,County,Old Moat is east County,Which city is located in east of County?,"A. Old Moat
B. Dinnington St. John's
C. Greenbank",A. Old Moat,"correct,hard,random"
Failsworth East,east,Horwich,Failsworth East is east Horwich,Which city is located in east of Horwich?,"A. Dukinfield Stalybridge
B. Failsworth East
C. Kingshurst and Fordbridge",B. Failsworth East,"hard,correct,random"
Stairfoot,east,East,Stairfoot is east East,Which city is located in east of East?,"A. Werneth
B. Stairfoot
C. Newsome",B. Stairfoot,"hard,correct,random"
Rawmarsh,east,Milkstone and Deeplish,Rawmarsh is east Milkstone and Deeplish,Which city is located in east of Milkstone and Deeplish?,"A. Rawmarsh
B. Crawcrook and Greenside
C. Darlaston South",A. Rawmarsh,"correct,hard,random"
Ashton St. Michael's,east,Longsight,Ashton St. Michael's is east Longsight,Which city is located in east of Longsight?,"A. Rainhill
B. Wakefield East
C. Ashton St. Michael's",C. Ashton St. Michael's,"hard,random,correct"
Failsworth West,east,Radcliffe North,Failsworth West is east Radcliffe North,Which city is located in east of Radcliffe North?,"A. Failsworth West
B. Pelaw and Heworth
C. Brinsworth and Catcliffe",A. Failsworth West,"correct,random,hard"
Ramsbottom,east,Halliwell,Ramsbottom is east Halliwell,Which city is located in east of Halliwell?,"A. Sprotbrough and Cusworth
B. Ramsbottom
C. Knotty Ash",B. Ramsbottom,"hard,correct,random"
Broomhill & Sharrow Vale,east,Astley Mosley Common,Broomhill & Sharrow Vale is east Astley Mosley Common,Which city is located in east of Astley Mosley Common?,"A. Broomhill & Sharrow Vale
B. Bramhall North
C. Hopwood Hall",A. Broomhill & Sharrow Vale,"correct,hard,random"
Henley,east,Hodge Hill,Henley is east Hodge Hill,Which city is located in east of Hodge Hill?,"A. Smithills
B. Henley
C. Hoylake and Meols",B. Henley,"random,correct,hard"
Ossett,east,Ramsbottom,Ossett is east Ramsbottom,Which city is located in east of Ramsbottom?,"A. Fulwood
B. Northumberland
C. Ossett",C. Ossett,"random,hard,correct"
Chorlton Park,east,Page Moss,Chorlton Park is east Page Moss,Which city is located in east of Page Moss?,"A. Chorlton Park
B. Calder
C. Aspull New Springs Whelley",A. Chorlton Park,"correct,hard,random"
Rossington,east,Derby,Rossington is east Derby,Which city is located in east of Derby?,"A. Rossington
B. Childwall
C. Doxey",A. Rossington,"correct,random,hard"
Bredbury and Woodley,east,Flixton,Bredbury and Woodley is east Flixton,Which city is located in east of Flixton?,"A. Bredbury and Woodley
B. Saddleworth
C. Bold St Helens",A. Bredbury and Woodley,"correct,hard,random"
Newton,east,Brockmoor and Pensnett,Newton is east Brockmoor and Pensnett,Which city is located in east of Brockmoor and Pensnett?,"A. Paddock
B. Newton
C. Swinton",B. Newton,"hard,correct,random"
Wakefield East,east,St. James',Wakefield East is east St. James',Which city is located in east of St. James'?,"A. Central
B. Wakefield East
C. Eastham",B. Wakefield East,"hard,correct,random"
Smallbridge and Firgrove,east,Speke-Garston,Smallbridge and Firgrove is east Speke-Garston,Which city is located in east of Speke-Garston?,"A. Smallbridge and Firgrove
B. South Middleton
C. Hateley Heath",A. Smallbridge and Firgrove,"correct,hard,random"
Audenshaw,east,Eccles,Audenshaw is east Eccles,Which city is located in east of Eccles?,"A. Rotherham West
B. Pontefract North
C. Audenshaw",C. Audenshaw,"hard,random,correct"
Gorton South,east,Lowton East,Gorton South is east Lowton East,Which city is located in east of Lowton East?,"A. St. Michaels
B. Gorton South
C. Central Rochdale",B. Gorton South,"hard,correct,random"
Armley,east,Smallbridge and Firgrove,Armley is east Smallbridge and Firgrove,Which city is located in east of Smallbridge and Firgrove?,"A. Bolton and Undercliffe
B. Armley
C. Harpurhey",B. Armley,"hard,correct,random"
Birley,east,Cheadle Hulme North,Birley is east Cheadle Hulme North,Which city is located in east of Cheadle Hulme North?,"A. Town
B. Whiteleas
C. Birley",C. Birley,"hard,random,correct"
Sprotbrough and Cusworth,east,Manningham,Sprotbrough and Cusworth is east Manningham,Which city is located in east of Manningham?,"A. Heald Green
B. Sprotbrough and Cusworth
C. Bingley",B. Sprotbrough and Cusworth,"hard,correct,random"
Upper Stoke,east,Dorridge and Hockley Heath,Upper Stoke is east Dorridge and Hockley Heath,Which city is located in east of Dorridge and Hockley Heath?,"A. Cradley and Wollescote
B. Heald Green
C. Upper Stoke",C. Upper Stoke,"hard,random,correct"
Little Hulton,east,Old Swan,Little Hulton is east Old Swan,Which city is located in east of Old Swan?,"A. Little Hulton
B. Lobley Hill and Bensham
C. St. Michaels",A. Little Hulton,"correct,random,hard"
Old Town,east,Holyrood,Old Town is east Holyrood,Which city is located in east of Holyrood?,"A. Old Town
B. Metropolitan Borough of Gateshead
C. Werneth",A. Old Town,"correct,hard,random"
Central,east,Dukinfield,Central is east Dukinfield,Which city is located in east of Dukinfield?,"A. Sprotbrough and Cusworth
B. Windhill and Wrose
C. Central",C. Central,"hard,random,correct"
Burmantofts and Richmond Hill,east,Bowdon,Burmantofts and Richmond Hill is east Bowdon,Which city is located in east of Bowdon?,"A. Crawcrook and Greenside
B. Hexthorpe & Balby North
C. Burmantofts and Richmond Hill",C. Burmantofts and Richmond Hill,"random,hard,correct"
Hoyland Milton,east,Mossley Hill,Hoyland Milton is east Mossley Hill,Which city is located in east of Mossley Hill?,"A. Dodworth
B. Saltwell
C. Hoyland Milton",C. Hoyland Milton,"hard,random,correct"
Hollinwood,east,Besses,Hollinwood is east Besses,Which city is located in east of Besses?,"A. Ashton Hurst
B. Hollinwood
C. Thornton and Allerton",B. Hollinwood,"random,correct,hard"
Hipperholme and Lightcliffe,east,Swinton South,Hipperholme and Lightcliffe is east Swinton South,Which city is located in east of Swinton South?,"A. Hipperholme and Lightcliffe
B. Bramley and Stanningley
C. Castle and Priory",A. Hipperholme and Lightcliffe,"correct,hard,random"
Bromley Cross,east,Moreton West and Saughall Massie,Bromley Cross is east Moreton West and Saughall Massie,Which city is located in east of Moreton West and Saughall Massie?,"A. Bromley Cross
B. Craven
C. Headingley",A. Bromley Cross,"correct,random,hard"
Stocksbridge & Upper Don,east,Audenshaw,Stocksbridge & Upper Don is east Audenshaw,Which city is located in east of Audenshaw?,"A. Adwick le Street & Carcroft
B. Central
C. Stocksbridge & Upper Don",C. Stocksbridge & Upper Don,"hard,random,correct"
Northenden,east,Picton Cheshire,Northenden is east Picton Cheshire,Which city is located in east of Picton Cheshire?,"A. Aston
B. Northenden
C. Doxford",B. Northenden,"random,correct,hard"
Balby South,east,Northowram and Shelf,Balby South is east Northowram and Shelf,Which city is located in east of Northowram and Shelf?,"A. Flixton
B. Liversedge and Gomersal
C. Balby South",C. Balby South,"hard,random,correct"
Great Horton,east,Atherton,Great Horton is east Atherton,Which city is located in east of Atherton?,"A. Bilston East
B. Idle and Thackley
C. Great Horton",C. Great Horton,"random,hard,correct"
Lozells and East Handsworth,east,Amblecote,Lozells and East Handsworth is east Amblecote,Which city is located in east of Amblecote?,"A. Lozells and East Handsworth
B. Silhill
C. North East Euro Region",A. Lozells and East Handsworth,"correct,hard,random"
Central Rochdale,east,Bradshaw,Central Rochdale is east Bradshaw,Which city is located in east of Bradshaw?,"A. Central Rochdale
B. Edgeley and Cheadle Heath
C. Hellaby",A. Central Rochdale,"correct,random,hard"
Longdendale,east,South Middleton,Longdendale is east South Middleton,Which city is located in east of South Middleton?,"A. Longdendale
B. Wigan West
C. Bamford",A. Longdendale,"correct,hard,random"
Ardsley and Robin Hood,east,Keighley,Ardsley and Robin Hood is east Keighley,Which city is located in east of Keighley?,"A. Armley
B. Ardsley and Robin Hood
C. Ladywood",B. Ardsley and Robin Hood,"hard,correct,random"
Sutton Four Oaks,east,Rowley,Sutton Four Oaks is east Rowley,Which city is located in east of Rowley?,"A. Sutton Four Oaks
B. Brinnington and Central
C. Oxton",A. Sutton Four Oaks,"correct,random,hard"
Mirfield,east,Westhoughton North and Chew Moor,Mirfield is east Westhoughton North and Chew Moor,Which city is located in east of Westhoughton North and Chew Moor?,"A. Mirfield
B. South Elmsall and South Kirkby
C. Edenthorpe",A. Mirfield,"correct,hard,random"
Pontefract South,east,Kensington and Fairfield,Pontefract South is east Kensington and Fairfield,Which city is located in east of Kensington and Fairfield?,"A. Radcliffe West
B. Pontefract South
C. Davyhulme East",B. Pontefract South,"random,correct,hard"
Armthorpe,east,Denby Dale,Armthorpe is east Denby Dale,Which city is located in east of Denby Dale?,"A. Armthorpe
B. Greenbank
C. Town",A. Armthorpe,"correct,random,hard"
Alwoodley,east,Central Rochdale,Alwoodley is east Central Rochdale,Which city is located in east of Central Rochdale?,"A. Alwoodley
B. Wickersley
C. Handsworth Wood",A. Alwoodley,"correct,random,hard"
Clayton and Fairweather Green,east,Astley Village,Clayton and Fairweather Green is east Astley Village,Which city is located in east of Astley Village?,"A. Lozells and East Handsworth
B. Clayton and Fairweather Green
C. Ashton Hurst",B. Clayton and Fairweather Green,"random,correct,hard"
Keppel,east,Sutton Weaver (civil parish),Keppel is east Sutton Weaver (civil parish),Which city is located in east of Sutton Weaver (civil parish)?,"A. Keppel
B. Pontefract North
C. Monkseaton South",A. Keppel,"correct,hard,random"
Dodworth,east,Mossley Hill,Dodworth is east Mossley Hill,Which city is located in east of Mossley Hill?,"A. Hoyland Milton
B. Dodworth
C. Walkley",B. Dodworth,"hard,correct,random"
Illingworth and Mixenden,east,Todmorden,Illingworth and Mixenden is east Todmorden,Which city is located in east of Todmorden?,"A. County
B. Illingworth and Mixenden
C. Windhill and Wrose",B. Illingworth and Mixenden,"hard,correct,random"
Chadderton South,east,Moston,Chadderton South is east Moston,Which city is located in east of Moston?,"A. Chadderton South
B. Lobley Hill and Bensham
C. Knowle",A. Chadderton South,"correct,random,hard"
Edenthorpe,east,Thornton and Allerton,Edenthorpe is east Thornton and Allerton,Which city is located in east of Thornton and Allerton?,"A. Coseley East
B. Edenthorpe
C. Thorne & Moorends",B. Edenthorpe,"random,correct,hard"
Winton,east,Boothstown and Ellenbrook,Winton is east Boothstown and Ellenbrook,Which city is located in east of Boothstown and Ellenbrook?,"A. Winton
B. Boothstown and Ellenbrook
C. Mexborough",A. Winton,"correct,random,hard"
Garforth and Swillington,east,Cheadle and Gatley,Garforth and Swillington is east Cheadle and Gatley,Which city is located in east of Cheadle and Gatley?,"A. Todmorden
B. Garforth and Swillington
C. St. James's",B. Garforth and Swillington,"hard,correct,random"
Ardsley and Robin Hood,east,St. James',Ardsley and Robin Hood is east St. James',Which city is located in east of St. James'?,"A. Boston Castle
B. Wakefield East
C. Ardsley and Robin Hood",C. Ardsley and Robin Hood,"random,hard,correct"
Hoober,east,Stretford,Hoober is east Stretford,Which city is located in east of Stretford?,"A. Hoober
B. Heckmondwike
C. Blundellsands",A. Hoober,"correct,hard,random"
Bramley and Stanningley,east,Upton,Bramley and Stanningley is east Upton,Which city is located in east of Upton?,"A. Northowram and Shelf
B. Bramley and Stanningley
C. Woodhouse Park",B. Bramley and Stanningley,"hard,correct,random"
St. Mary's,east,Wigan West,St. Mary's is east Wigan West,Which city is located in east of Wigan West?,"A. Princes End
B. St. Mary's
C. Dewsbury South",B. St. Mary's,"random,correct,hard"
Dukinfield,east,Broadheath,Dukinfield is east Broadheath,Which city is located in east of Broadheath?,"A. Newsome
B. Dukinfield
C. Hillsborough",B. Dukinfield,"hard,correct,random"
Silverwood,east,Hoylake and Meols,Silverwood is east Hoylake and Meols,Which city is located in east of Hoylake and Meols?,"A. Great Lever
B. Cheadle Hulme North
C. Silverwood",C. Silverwood,"hard,random,correct"
Royton North,east,Birkdale,Royton North is east Birkdale,Which city is located in east of Birkdale?,"A. Royton North
B. Harington
C. Bowdon",A. Royton North,"correct,random,hard"
Crofton Ryhill and Walton,east,Penistone,Crofton Ryhill and Walton is east Penistone,Which city is located in east of Penistone?,"A. Great Bridge
B. Soho
C. Crofton Ryhill and Walton",C. Crofton Ryhill and Walton,"hard,random,correct"
Bingley,east,Leigh South,Bingley is east Leigh South,Which city is located in east of Leigh South?,"A. Davyhulme East
B. Normanton West Yorkshire
C. Bingley",C. Bingley,"random,hard,correct"
Eccleston St Helens,east,Bromborough,Eccleston St Helens is east Bromborough,Which city is located in east of Bromborough?,"A. Eccleston St Helens
B. Milnrow and Newhey
C. City",A. Eccleston St Helens,"correct,random,hard"
North East,east,Keighley,North East is east Keighley,Which city is located in east of Keighley?,"A. Shevington
B. North East
C. Ardsley and Robin Hood",B. North East,"random,correct,hard"
Pemberton,east,Netherton and Orrell,Pemberton is east Netherton and Orrell,Which city is located in east of Netherton and Orrell?,"A. Pemberton
B. Southey
C. Rusholme",A. Pemberton,"correct,hard,random"
