place1,dis,place2_Y,dir,place2_Z,triplet,question,options,answer,option_sources
Cheetham,near,East Middleton,west,Bramley and Stanningley,"Cheetham is near East Middleton, west Bramley and Stanningley",Which city is near to East Middleton and also west from Bramley and Stanningley?,"A. Stalybridge North
B. Keighley West
C. Cheetham",C. Cheetham,"random,partial,correct"
Cheetham,close,Harper Green,south,Woolsington,"Cheetham is close Harper Green, south Woolsington",Which city is close to Harper Green and also south from Woolsington?,"A. Bentley and Darlaston North
B. Birstall and Birkenshaw
C. Cheetham",C. Cheetham,"partial,random,correct"
Cheetham,distant,Wakefield North,east,Eccleston St Helens,"Cheetham is distant Wakefield North, east Eccleston St Helens",Which city is distant to Wakefield North and also east from Eccleston St Helens?,"A. Batley West
B. Halesowen South
C. Cheetham",C. Cheetham,"partial,random,correct"
Cheetham,far,Norton & Askern,north,Wordsley,"Cheetham is far Norton & Askern, north Wordsley",Which city is far to Norton & Askern and also north from Wordsley?,"A. Houghton
B. Cheetham
C. Birchills Leamore",B. Cheetham,"partial,correct,random"
Silverwood,near,Sprotbrough and Cusworth,east,Baguley,"Silverwood is near Sprotbrough and Cusworth, east Baguley",Which city is near to Sprotbrough and Cusworth and also east from Baguley?,"A. Horbury and South Ossett
B. Meriden West Midlands
C. Silverwood",C. Silverwood,"partial,random,correct"
Silverwood,close,Wakefield Rural,north,Washwood Heath,"Silverwood is close Wakefield Rural, north Washwood Heath",Which city is close to Wakefield Rural and also north from Washwood Heath?,"A. Besses
B. Chadderton Central
C. Silverwood",C. Silverwood,"random,partial,correct"
Silverwood,distant,Wakefield East,south,Barnes,"Silverwood is distant Wakefield East, south Barnes",Which city is distant to Wakefield East and also south from Barnes?,"A. Silverwood
B. Cadishead
C. Pontefract North",A. Silverwood,"correct,random,partial"
Silverwood,far,St. Gabriels,west,Edlington & Warmsworth,"Silverwood is far St. Gabriels, west Edlington & Warmsworth",Which city is far to St. Gabriels and also west from Edlington & Warmsworth?,"A. Almondbury
B. Monkton
C. Silverwood",C. Silverwood,"partial,random,correct"
Tyldesley,near,Westhoughton,north,Woodlands,"Tyldesley is near Westhoughton, north Woodlands",Which city is near to Westhoughton and also north from Woodlands?,"A. Maltby South Yorkshire
B. Boston Castle
C. Tyldesley",C. Tyldesley,"partial,random,correct"
Tyldesley,close,Bryn,west,Horsforth,"Tyldesley is close Bryn, west Horsforth",Which city is close to Bryn and also west from Horsforth?,"A. Tyldesley
B. Cradley Heath and Old Hill
C. Sowerby Bridge",A. Tyldesley,"correct,random,partial"
Tyldesley,distant,Warbreck,south,Fawdon,"Tyldesley is distant Warbreck, south Fawdon",Which city is distant to Warbreck and also south from Fawdon?,"A. Stocksbridge & Upper Don
B. Tyldesley
C. Dunston Hill and Whickham East",B. Tyldesley,"random,correct,partial"
Tyldesley,far,Washington East,east,Kirkdale,"Tyldesley is far Washington East, east Kirkdale",Which city is far to Washington East and also east from Kirkdale?,"A. Ilkley
B. Upton
C. Tyldesley",C. Tyldesley,"partial,random,correct"
Bessacarr,near,Hatfield,south,Stainforth & Barnby Dun,"Bessacarr is near Hatfield, south Stainforth & Barnby Dun",Which city is near to Hatfield and also south from Stainforth & Barnby Dun?,"A. Town Centre
B. Bessacarr
C. Great Bridge",B. Bessacarr,"random,correct,partial"
Bessacarr,close,North East,east,Bradshaw,"Bessacarr is close North East, east Bradshaw",Which city is close to North East and also east from Bradshaw?,"A. Brownhills
B. Bessacarr
C. Ashbrow",B. Bessacarr,"random,correct,partial"
Bessacarr,distant,Park & Arbourthorne,north,Princes End,"Bessacarr is distant Park & Arbourthorne, north Princes End",Which city is distant to Park & Arbourthorne and also north from Princes End?,"A. Bessacarr
B. Princes End
C. Saltwell",A. Bessacarr,"correct,random,partial"
Bessacarr,far,Northfield,west,Hatfield,"Bessacarr is far Northfield, west Hatfield",Which city is far to Northfield and also west from Hatfield?,"A. Bessacarr
B. Castle and Priory
C. Horsforth",A. Bessacarr,"correct,random,partial"
Lobley Hill and Bensham,near,South Heaton,north,Kings Norton,"Lobley Hill and Bensham is near South Heaton, north Kings Norton",Which city is near to South Heaton and also north from Kings Norton?,"A. Rainhill
B. St. Alphege
C. Lobley Hill and Bensham",C. Lobley Hill and Bensham,"partial,random,correct"
Lobley Hill and Bensham,close,Weetslade,east,Chopwell and Rowlands Gill,"Lobley Hill and Bensham is close Weetslade, east Chopwell and Rowlands Gill",Which city is close to Weetslade and also east from Chopwell and Rowlands Gill?,"A. Collingwood
B. Bowdon
C. Lobley Hill and Bensham",C. Lobley Hill and Bensham,"partial,random,correct"
Lobley Hill and Bensham,far,Winstanley,west,Castle Eden,"Lobley Hill and Bensham is far Winstanley, west Castle Eden",Which city is far to Winstanley and also west from Castle Eden?,"A. Lobley Hill and Bensham
B. Ossett
C. Pelaw and Heworth",A. Lobley Hill and Bensham,"correct,partial,random"
Washington Central,near,Washington East,north,Westhoughton,"Washington Central is near Washington East, north Westhoughton",Which city is near to Washington East and also north from Westhoughton?,"A. Norton
B. Denton
C. Washington Central",C. Washington Central,"random,partial,correct"
Washington Central,close,Westgate,west,Southwick,"Washington Central is close Westgate, west Southwick",Which city is close to Westgate and also west from Southwick?,"A. Monkseaton North
B. Washington Central
C. Pheasey Park Farm",B. Washington Central,"partial,correct,random"
Washington Central,far,Bryn,east,Ryton Crookhill and Stella,"Washington Central is far Bryn, east Ryton Crookhill and Stella",Which city is far to Bryn and also east from Ryton Crookhill and Stella?,"A. Washington Central
B. Luddendenfoot
C. Kingstanding",A. Washington Central,"correct,random,partial"
Graves Park,near,Orgreave South Yorkshire,east,Marple South,"Graves Park is near Orgreave South Yorkshire, east Marple South",Which city is near to Orgreave South Yorkshire and also east from Marple South?,"A. Graves Park
B. South Elmsall and South Kirkby
C. Sitwell",A. Graves Park,"correct,partial,random"
Graves Park,close,Mexborough,north,Dorridge and Hockley Heath,"Graves Park is close Mexborough, north Dorridge and Hockley Heath",Which city is close to Mexborough and also north from Dorridge and Hockley Heath?,"A. Graves Park
B. Benton
C. Holbrook",A. Graves Park,"correct,partial,random"
Graves Park,distant,Milnrow and Newhey,south,Chopwell and Rowlands Gill,"Graves Park is distant Milnrow and Newhey, south Chopwell and Rowlands Gill",Which city is distant to Milnrow and Newhey and also south from Chopwell and Rowlands Gill?,"A. Shaw
B. Graves Park
C. Belle Vale",B. Graves Park,"random,correct,partial"
Graves Park,far,Mossley Hill,west,Wheatley Hills & Intake,"Graves Park is far Mossley Hill, west Wheatley Hills & Intake",Which city is far to Mossley Hill and also west from Wheatley Hills & Intake?,"A. Graves Park
B. Wednesfield South
C. Brockmoor and Pensnett",A. Graves Park,"correct,random,partial"
Dorridge and Hockley Heath,near,Silhill,south,Sutton New Hall,"Dorridge and Hockley Heath is near Silhill, south Sutton New Hall",Which city is near to Silhill and also south from Sutton New Hall?,"A. Dorridge and Hockley Heath
B. Silhill
C. Penistone",A. Dorridge and Hockley Heath,"correct,partial,random"
Dorridge and Hockley Heath,close,Sherbourne Warwickshire,east,St. Thomas's,"Dorridge and Hockley Heath is close Sherbourne Warwickshire, east St. Thomas's",Which city is close to Sherbourne Warwickshire and also east from St. Thomas's?,"A. Hateley Heath
B. Dorridge and Hockley Heath
C. Alwoodley",B. Dorridge and Hockley Heath,"partial,correct,random"
Dorridge and Hockley Heath,distant,Halesowen North,west,Cheylesmore,"Dorridge and Hockley Heath is distant Halesowen North, west Cheylesmore",Which city is distant to Halesowen North and also west from Cheylesmore?,"A. Dorridge and Hockley Heath
B. St. Thomas's
C. Hoober",A. Dorridge and Hockley Heath,"correct,partial,random"
Rainhill,near,Windle St Helens,south,Copt Hill,"Rainhill is near Windle St Helens, south Copt Hill",Which city is near to Windle St Helens and also south from Copt Hill?,"A. Rainhill
B. Kirkburton
C. Stalybridge North",A. Rainhill,"correct,random,partial"
Rainhill,close,Shevington,north,Short Heath,"Rainhill is close Shevington, north Short Heath",Which city is close to Shevington and also north from Short Heath?,"A. Rainhill
B. Lowton East
C. Stepping Hill",A. Rainhill,"correct,partial,random"
Rainhill,distant,Saddleworth,west,Burnage,"Rainhill is distant Saddleworth, west Burnage",Which city is distant to Saddleworth and also west from Burnage?,"A. Royston
B. Rainhill
C. Worsley Mesnes",B. Rainhill,"partial,correct,random"
Rainhill,far,Wetherby,east,Anfield,"Rainhill is far Wetherby, east Anfield",Which city is far to Wetherby and also east from Anfield?,"A. Batley West
B. Rainhill
C. Hendon",B. Rainhill,"random,correct,partial"
Stanley and Outwood East,near,Wakefield South,north,Dodworth,"Stanley and Outwood East is near Wakefield South, north Dodworth",Which city is near to Wakefield South and also north from Dodworth?,"A. Stanley and Outwood East
B. Elswick
C. Elton",A. Stanley and Outwood East,"correct,partial,random"
Stanley and Outwood East,close,Wath,east,St. Mary's,"Stanley and Outwood East is close Wath, east St. Mary's",Which city is close to Wath and also east from St. Mary's?,"A. St. Alphege
B. Stanley and Outwood East
C. Castleton",B. Stanley and Outwood East,"random,correct,partial"
Stanley and Outwood East,distant,Stannington,south,Lobley Hill and Bensham,"Stanley and Outwood East is distant Stannington, south Lobley Hill and Bensham",Which city is distant to Stannington and also south from Lobley Hill and Bensham?,"A. Stanley and Outwood East
B. Sutton Four Oaks
C. Brinnington and Central",A. Stanley and Outwood East,"correct,random,partial"
Stanley and Outwood East,far,Hetton-le-Hole,west,Armthorpe,"Stanley and Outwood East is far Hetton-le-Hole, west Armthorpe",Which city is far to Hetton-le-Hole and also west from Armthorpe?,"A. Halesowen North
B. Stanley and Outwood East
C. Greets Green and Lyng",B. Stanley and Outwood East,"partial,correct,random"
Washington East,near,Windy Nook and Whitehills,north,Keppel,"Washington East is near Windy Nook and Whitehills, north Keppel",Which city is near to Windy Nook and Whitehills and also north from Keppel?,"A. Washington East
B. Hyde Park and Woodhouse
C. Harewood",A. Washington East,"correct,partial,random"
Washington East,close,Whitburn and Marsden,east,Birtley,"Washington East is close Whitburn and Marsden, east Birtley",Which city is close to Whitburn and Marsden and also east from Birtley?,"A. Knotty Ash
B. Washington East
C. Weetslade",B. Washington East,"random,correct,partial"
Washington East,far,Woodhouse,south,Woolsington,"Washington East is far Woodhouse, south Woolsington",Which city is far to Woodhouse and also south from Woolsington?,"A. Washington East
B. Bramhall South and Woodford
C. Hall Green",A. Washington East,"correct,partial,random"
Finningley,near,Rossington,east,Valley,"Finningley is near Rossington, east Valley",Which city is near to Rossington and also east from Valley?,"A. Rossington
B. Finningley
C. Walkley",B. Finningley,"partial,correct,random"
Finningley,close,Dinnington St. John's,south,Horsley Hill,"Finningley is close Dinnington St. John's, south Horsley Hill",Which city is close to Dinnington St. John's and also south from Horsley Hill?,"A. Finningley
B. Wednesfield South
C. East Gosforth",A. Finningley,"correct,partial,random"
Finningley,distant,Kirkburton,north,Sheldon,"Finningley is distant Kirkburton, north Sheldon",Which city is distant to Kirkburton and also north from Sheldon?,"A. Killingworth
B. Stanley and Outwood East
C. Finningley",C. Finningley,"partial,random,correct"
South Heaton,near,South Jesmond,north,Mossley Hill,"South Heaton is near South Jesmond, north Mossley Hill",Which city is near to South Jesmond and also north from Mossley Hill?,"A. Blundellsands
B. Whitefield
C. South Heaton",C. South Heaton,"partial,random,correct"
South Heaton,close,Whiteleas,east,Blakelaw and North Fenham,"South Heaton is close Whiteleas, east Blakelaw and North Fenham",Which city is close to Whiteleas and also east from Blakelaw and North Fenham?,"A. Denby Dale
B. Castle Eden
C. South Heaton",C. South Heaton,"random,partial,correct"
South Heaton,far,Wakefield East,south,Camperdown,"South Heaton is far Wakefield East, south Camperdown",Which city is far to Wakefield East and also south from Camperdown?,"A. South Heaton
B. Fellgate and Hedworth
C. Morley West Yorkshire",A. South Heaton,"correct,random,partial"
Ancoats and Clayton,near,Irwell Riverside,south,Church,"Ancoats and Clayton is near Irwell Riverside, south Church",Which city is near to Irwell Riverside and also south from Church?,"A. Charlestown
B. Newton
C. Ancoats and Clayton",C. Ancoats and Clayton,"random,partial,correct"
Ancoats and Clayton,close,Northenden,north,Bloxwich East,"Ancoats and Clayton is close Northenden, north Bloxwich East",Which city is close to Northenden and also north from Bloxwich East?,"A. Altrincham
B. Ancoats and Clayton
C. Stannington",B. Ancoats and Clayton,"random,correct,partial"
Ancoats and Clayton,distant,Crosland Moor and Netherton,west,Mossley,"Ancoats and Clayton is distant Crosland Moor and Netherton, west Mossley",Which city is distant to Crosland Moor and Netherton and also west from Mossley?,"A. Ancoats and Clayton
B. Silksworth
C. Langworthy",A. Ancoats and Clayton,"correct,random,partial"
Ancoats and Clayton,far,Tettenhall Wightwick,east,Tonge with the Haulgh,"Ancoats and Clayton is far Tettenhall Wightwick, east Tonge with the Haulgh",Which city is far to Tettenhall Wightwick and also east from Tonge with the Haulgh?,"A. Tickhill & Wadsworth
B. St. Anne's
C. Ancoats and Clayton",C. Ancoats and Clayton,"partial,random,correct"
Old Swan,near,Woolton,west,Failsworth East,"Old Swan is near Woolton, west Failsworth East",Which city is near to Woolton and also west from Failsworth East?,"A. Elton
B. Chapel Allerton
C. Old Swan",C. Old Swan,"partial,random,correct"
Old Swan,close,Upton,south,Bridges,"Old Swan is close Upton, south Bridges",Which city is close to Upton and also south from Bridges?,"A. Redvales
B. Saddleworth
C. Old Swan",C. Old Swan,"random,partial,correct"
Old Swan,distant,Timperley,north,Oldbury,"Old Swan is distant Timperley, north Oldbury",Which city is distant to Timperley and also north from Oldbury?,"A. Heaton
B. Old Swan
C. Manor",B. Old Swan,"partial,correct,random"
Old Swan,far,Mossley,east,Prenton,"Old Swan is far Mossley, east Prenton",Which city is far to Mossley and also east from Prenton?,"A. Longdendale
B. Old Swan
C. Broadheath",B. Old Swan,"random,correct,partial"
Acocks Green,near,Blythe,south,Wingfield,"Acocks Green is near Blythe, south Wingfield",Which city is near to Blythe and also south from Wingfield?,"A. Keighley East
B. City
C. Acocks Green",C. Acocks Green,"random,partial,correct"
Acocks Green,close,Sutton New Hall,east,Longbridge,"Acocks Green is close Sutton New Hall, east Longbridge",Which city is close to Sutton New Hall and also east from Longbridge?,"A. Darlaston South
B. Greets Green and Lyng
C. Acocks Green",C. Acocks Green,"random,partial,correct"
Acocks Green,distant,Upper Stoke,west,Lyndon,"Acocks Green is distant Upper Stoke, west Lyndon",Which city is distant to Upper Stoke and also west from Lyndon?,"A. Bede
B. Acocks Green
C. Bournville",B. Acocks Green,"random,correct,partial"
Acocks Green,far,Woolton,north,Blythe,"Acocks Green is far Woolton, north Blythe",Which city is far to Woolton and also north from Blythe?,"A. Hyde Werneth
B. Acocks Green
C. Dewsbury South",B. Acocks Green,"partial,correct,random"
Hollinwood,near,Moston,south,Copt Hill,"Hollinwood is near Moston, south Copt Hill",Which city is near to Moston and also south from Copt Hill?,"A. Ackworth North Elmsall and Upton
B. Hollinwood
C. Pilkington Park",B. Hollinwood,"random,correct,partial"
Hollinwood,close,Offerton Park,west,Orgreave South Yorkshire,"Hollinwood is close Offerton Park, west Orgreave South Yorkshire",Which city is close to Offerton Park and also west from Orgreave South Yorkshire?,"A. Cressington
B. Hollinwood
C. Broadheath",B. Hollinwood,"partial,correct,random"
Hollinwood,distant,Rockingham,east,Sedgley,"Hollinwood is distant Rockingham, east Sedgley",Which city is distant to Rockingham and also east from Sedgley?,"A. Skircoat
B. Hollinwood
C. Hoyland Milton",B. Hollinwood,"random,correct,partial"
Hollinwood,far,Ouseburn,north,Kingswinford South,"Hollinwood is far Ouseburn, north Kingswinford South",Which city is far to Ouseburn and also north from Kingswinford South?,"A. Kingstone
B. Radcliffe North
C. Hollinwood",C. Hollinwood,"partial,random,correct"
Heald Green,near,Woodhouse Park,south,Tonge with the Haulgh,"Heald Green is near Woodhouse Park, south Tonge with the Haulgh",Which city is near to Woodhouse Park and also south from Tonge with the Haulgh?,"A. Soho
B. Paddock
C. Heald Green",C. Heald Green,"random,partial,correct"
Heald Green,close,Marple South,east,Sutton Weaver (civil parish),"Heald Green is close Marple South, east Sutton Weaver (civil parish)",Which city is close to Marple South and also east from Sutton Weaver (civil parish)?,"A. Heald Green
B. Cleckheaton
C. Wheatley Hills & Intake",A. Heald Green,"correct,partial,random"
Heald Green,distant,Shevington,west,Airedale and Ferry Fryston,"Heald Green is distant Shevington, west Airedale and Ferry Fryston",Which city is distant to Shevington and also west from Airedale and Ferry Fryston?,"A. Littleborough Lakeside
B. Heald Green
C. Castleton",B. Heald Green,"random,correct,partial"
Heald Green,far,Pallion,north,Woodlands,"Heald Green is far Pallion, north Woodlands",Which city is far to Pallion and also north from Woodlands?,"A. Roman Ridge
B. Heald Green
C. Henley",B. Heald Green,"partial,correct,random"
Bidston and St. James,near,Moreton West and Saughall Massie,west,Westhoughton North and Chew Moor,"Bidston and St. James is near Moreton West and Saughall Massie, west Westhoughton North and Chew Moor",Which city is near to Moreton West and Saughall Massie and also west from Westhoughton North and Chew Moor?,"A. Bidston and St. James
B. Standish with Langtree
C. Silverwood",A. Bidston and St. James,"correct,partial,random"
Bidston and St. James,close,Park,south,Kew,"Bidston and St. James is close Park, south Kew",Which city is close to Park and also south from Kew?,"A. Bidston and St. James
B. Woodlands
C. Pensby and Thingwall",A. Bidston and St. James,"correct,partial,random"
Bidston and St. James,distant,Westhoughton,north,Sherbourne Warwickshire,"Bidston and St. James is distant Westhoughton, north Sherbourne Warwickshire",Which city is distant to Westhoughton and also north from Sherbourne Warwickshire?,"A. Westhoughton North and Chew Moor
B. Felling
C. Bidston and St. James",C. Bidston and St. James,"random,partial,correct"
Bidston and St. James,far,Ecclesall,east,West Kirby and Thurstaston,"Bidston and St. James is far Ecclesall, east West Kirby and Thurstaston",Which city is far to Ecclesall and also east from West Kirby and Thurstaston?,"A. Little Horton
B. Bidston and St. James
C. Halewood",B. Bidston and St. James,"random,correct,partial"
Liversedge and Gomersal,near,Pudsey,south,Washington West,"Liversedge and Gomersal is near Pudsey, south Washington West",Which city is near to Pudsey and also south from Washington West?,"A. Kingstanding
B. Sprotbrough and Cusworth
C. Liversedge and Gomersal",C. Liversedge and Gomersal,"random,partial,correct"
Liversedge and Gomersal,close,Ossett,north,Smethwick,"Liversedge and Gomersal is close Ossett, north Smethwick",Which city is close to Ossett and also north from Smethwick?,"A. Mirfield
B. Charlestown
C. Liversedge and Gomersal",C. Liversedge and Gomersal,"random,partial,correct"
Liversedge and Gomersal,distant,Silverwood,east,City Centre,"Liversedge and Gomersal is distant Silverwood, east City Centre",Which city is distant to Silverwood and also east from City Centre?,"A. Liversedge and Gomersal
B. Northowram and Shelf
C. Saddleworth North",A. Liversedge and Gomersal,"correct,partial,random"
Liversedge and Gomersal,far,Shard End,west,Pontefract North,"Liversedge and Gomersal is far Shard End, west Pontefract North",Which city is far to Shard End and also west from Pontefract North?,"A. Westhoughton North and Chew Moor
B. Hollinwood
C. Liversedge and Gomersal",C. Liversedge and Gomersal,"random,partial,correct"
Wakefield East,near,Wrenthorpe and Outwood West,east,Bramhall North,"Wakefield East is near Wrenthorpe and Outwood West, east Bramhall North",Which city is near to Wrenthorpe and Outwood West and also east from Bramhall North?,"A. Dinnington St. John's
B. Hoober
C. Wakefield East",C. Wakefield East,"random,partial,correct"
Wakefield East,close,West Ecclesfield,north,West Bromwich Central,"Wakefield East is close West Ecclesfield, north West Bromwich Central",Which city is close to West Ecclesfield and also north from West Bromwich Central?,"A. Keppel
B. Smithills
C. Wakefield East",C. Wakefield East,"random,partial,correct"
Wakefield East,distant,Wibsey,south,Millfield,"Wakefield East is distant Wibsey, south Millfield",Which city is distant to Wibsey and also south from Millfield?,"A. Village
B. Wakefield East
C. St. Pauls",B. Wakefield East,"partial,correct,random"
Wakefield East,far,Weetslade,west,Finningley,"Wakefield East is far Weetslade, west Finningley",Which city is far to Weetslade and also west from Finningley?,"A. Wakefield East
B. Wednesbury North
C. Woolton",A. Wakefield East,"correct,random,partial"
Worsley,close,Bryn,east,Bromborough,"Worsley is close Bryn, east Bromborough",Which city is close to Bryn and also east from Bromborough?,"A. Worsley
B. Longdendale
C. Saltwell",A. Worsley,"correct,partial,random"
Worsley,distant,Prescot,south,Dene,"Worsley is distant Prescot, south Dene",Which city is distant to Prescot and also south from Dene?,"A. Moortown
B. Worsley
C. Boston Castle",B. Worsley,"partial,correct,random"
Worsley,far,Wrenthorpe and Outwood West,west,Burmantofts and Richmond Hill,"Worsley is far Wrenthorpe and Outwood West, west Burmantofts and Richmond Hill",Which city is far to Wrenthorpe and Outwood West and also west from Burmantofts and Richmond Hill?,"A. Worsley
B. Kew
C. Rastrick",A. Worsley,"correct,random,partial"
Worsley Mesnes,near,Bryn,west,Davyhulme East,"Worsley Mesnes is near Bryn, west Davyhulme East",Which city is near to Bryn and also west from Davyhulme East?,"A. Central
B. Church
C. Worsley Mesnes",C. Worsley Mesnes,"partial,random,correct"
Worsley Mesnes,close,Sutton Weaver (civil parish),south,Horsley Hill,"Worsley Mesnes is close Sutton Weaver (civil parish), south Horsley Hill",Which city is close to Sutton Weaver (civil parish) and also south from Horsley Hill?,"A. Worsley Mesnes
B. Heaton and Lostock
C. Ossett",A. Worsley Mesnes,"correct,partial,random"
Worsley Mesnes,distant,Picton Cheshire,east,Princes Park,"Worsley Mesnes is distant Picton Cheshire, east Princes Park",Which city is distant to Picton Cheshire and also east from Princes Park?,"A. Worsley Mesnes
B. Brooklands
C. Darfield",A. Worsley Mesnes,"correct,random,partial"
Worsley Mesnes,far,Sprotbrough and Cusworth,north,Ladywood,"Worsley Mesnes is far Sprotbrough and Cusworth, north Ladywood",Which city is far to Sprotbrough and Cusworth and also north from Ladywood?,"A. Worsley Mesnes
B. Hulton
C. Otley and Yeadon",A. Worsley Mesnes,"correct,partial,random"
Erdington,near,South Yardley,south,Chadderton Central,"Erdington is near South Yardley, south Chadderton Central",Which city is near to South Yardley and also south from Chadderton Central?,"A. Oldbury
B. Bentley
C. Erdington",C. Erdington,"partial,random,correct"
Erdington,close,St. Pauls,east,St. Matthew's,"Erdington is close St. Pauls, east St. Matthew's",Which city is close to St. Pauls and also east from St. Matthew's?,"A. Erdington
B. Featherstone
C. Kings Norton",A. Erdington,"correct,random,partial"
Erdington,distant,Westwood,west,Henley,"Erdington is distant Westwood, west Henley",Which city is distant to Westwood and also west from Henley?,"A. Cradley Heath and Old Hill
B. South Yardley
C. Erdington",C. Erdington,"random,partial,correct"
Erdington,far,Wyke,north,Shirley East,"Erdington is far Wyke, north Shirley East",Which city is far to Wyke and also north from Shirley East?,"A. Hyde Werneth
B. Bentley
C. Erdington",C. Erdington,"random,partial,correct"
Heatons South,near,Manor,north,Silhill,"Heatons South is near Manor, north Silhill",Which city is near to Manor and also north from Silhill?,"A. Heatons South
B. Roman Ridge
C. Heaton",A. Heatons South,"correct,partial,random"
Heatons South,close,Little Lever and Darcy Lever,east,Sutton Weaver (civil parish),"Heatons South is close Little Lever and Darcy Lever, east Sutton Weaver (civil parish)",Which city is close to Little Lever and Darcy Lever and also east from Sutton Weaver (civil parish)?,"A. Hale Barns
B. Northowram and Shelf
C. Heatons South",C. Heatons South,"random,partial,correct"
