place1,dir,place2_Y,top,place2_Z,dis,place2_W,triplet,question,options,answer,option_sources
Flixton,north,Nechells,within,Trafford,near,Gorse Hill,"Flixton within Trafford, near to Gorse Hill, and north of Nechells",Which city is within Trafford and also near to Gorse Hill and north of Nechells?,"A. Greets Green and Lyng
B. Timperley
C. Flixton",C. Flixton,"random,partial,correct"
Windhill and Wrose,north,Netherton Woodside and St. Andrews,within,Yorkshire and the Humber Euro Region,near,Horsforth,"Windhill and Wrose within Yorkshire and the Humber Euro Region, near to Horsforth, and north of Netherton Woodside and St. Andrews",Which city is within Yorkshire and the Humber Euro Region and also near to Horsforth and north of Netherton Woodside and St. Andrews?,"A. Windhill and Wrose
B. Old Town
C. Pudsey",A. Windhill and Wrose,"correct,partial,random"
Washington Central,north,Dearne South,within,City of Sunderland,near,Washington East,"Washington Central within City of Sunderland, near to Washington East, and north of Dearne South",Which city is within City of Sunderland and also near to Washington East and north of Dearne South?,"A. Washington Central
B. Metropolitan Borough of Wirral
C. Washington East",A. Washington Central,"correct,random,partial"
Dene,north,Rotherham East,within,Newcastle upon Tyne,near,Hebburn North,"Dene within Newcastle upon Tyne, near to Hebburn North, and north of Rotherham East",Which city is within Newcastle upon Tyne and also near to Hebburn North and north of Rotherham East?,"A. Benwell and Scotswood
B. Dene
C. Bucklow-St. Martins",B. Dene,"partial,correct,random"
Streetly,north,Halesowen South,within,West Midlands Euro Region,near,Sutton Four Oaks,"Streetly within West Midlands Euro Region, near to Sutton Four Oaks, and north of Halesowen South",Which city is within West Midlands Euro Region and also near to Sutton Four Oaks and north of Halesowen South?,"A. Streetly
B. Blakenhall
C. Westwood",A. Streetly,"correct,partial,random"
Garforth and Swillington,north,Sitwell,within,Yorkshire and the Humber Euro Region,near,Harewood,"Garforth and Swillington within Yorkshire and the Humber Euro Region, near to Harewood, and north of Sitwell",Which city is within Yorkshire and the Humber Euro Region and also near to Harewood and north of Sitwell?,"A. Wibsey
B. Hall Green
C. Garforth and Swillington",C. Garforth and Swillington,"partial,random,correct"
Hillsborough,north,Newton,within,Sheffield,near,Orgreave South Yorkshire,"Hillsborough within Sheffield, near to Orgreave South Yorkshire, and north of Newton",Which city is within Sheffield and also near to Orgreave South Yorkshire and north of Newton?,"A. Hillsborough
B. Primrose
C. Calder",A. Hillsborough,"correct,partial,random"
Chadderton Central,north,Castle Bromwich,within,North West Euro Region,near,North Heywood,"Chadderton Central within North West Euro Region, near to North Heywood, and north of Castle Bromwich",Which city is within North West Euro Region and also near to North Heywood and north of Castle Bromwich?,"A. Chadderton Central
B. Netherton Woodside and St. Andrews
C. Heatons North",A. Chadderton Central,"correct,random,partial"
City Centre,north,Greets Green and Lyng,within,North West Euro Region,near,Rusholme,"City Centre within North West Euro Region, near to Rusholme, and north of Greets Green and Lyng",Which city is within North West Euro Region and also near to Rusholme and north of Greets Green and Lyng?,"A. Bromley Cross
B. Douglas
C. City Centre",C. City Centre,"random,partial,correct"
Lobley Hill and Bensham,north,Failsworth West,within,Metropolitan Borough of Gateshead,near,Westgate,"Lobley Hill and Bensham within Metropolitan Borough of Gateshead, near to Westgate, and north of Failsworth West",Which city is within Metropolitan Borough of Gateshead and also near to Westgate and north of Failsworth West?,"A. Childwall
B. Blaydon
C. Lobley Hill and Bensham",C. Lobley Hill and Bensham,"random,partial,correct"
Rotherham West,north,City,within,Yorkshire and the Humber Euro Region,near,Valley,"Rotherham West within Yorkshire and the Humber Euro Region, near to Valley, and north of City",Which city is within Yorkshire and the Humber Euro Region and also near to Valley and north of City?,"A. Saltwell
B. Rotherham West
C. Sheldon",B. Rotherham West,"partial,correct,random"
Radcliffe North,north,Silhill,within,Metropolitan Borough of Bury,close,Smallbridge and Firgrove,"Radcliffe North within Metropolitan Borough of Bury, close to Smallbridge and Firgrove, and north of Silhill",Which city is within Metropolitan Borough of Bury and also close to Smallbridge and Firgrove and north of Silhill?,"A. North Middleton
B. Radcliffe North
C. Clubmoor",B. Radcliffe North,"partial,correct,random"
Town Centre,north,Brandwood,within,Metropolitan Borough of St Helens,close,Westhoughton,"Town Centre within Metropolitan Borough of St Helens, close to Westhoughton, and north of Brandwood",Which city is within Metropolitan Borough of St Helens and also close to Westhoughton and north of Brandwood?,"A. Town Centre
B. Central
C. Rastrick",A. Town Centre,"correct,partial,random"
Finstall,north,Weoley,within,Sandwell,close,Smith's Wood,"Finstall within Sandwell, close to Smith's Wood, and north of Weoley",Which city is within Sandwell and also close to Smith's Wood and north of Weoley?,"A. Finstall
B. Erdington
C. Metropolitan Borough of Gateshead",A. Finstall,"correct,partial,random"
Walkergate,north,Harewood,within,Newcastle upon Tyne,close,Whitburn and Marsden,"Walkergate within Newcastle upon Tyne, close to Whitburn and Marsden, and north of Harewood",Which city is within Newcastle upon Tyne and also close to Whitburn and Marsden and north of Harewood?,"A. Walkergate
B. Harpurhey
C. South Jesmond",A. Walkergate,"correct,random,partial"
Westerhope,north,Stepping Hill,within,Newcastle upon Tyne,close,Lamesley,"Westerhope within Newcastle upon Tyne, close to Lamesley, and north of Stepping Hill",Which city is within Newcastle upon Tyne and also close to Lamesley and north of Stepping Hill?,"A. St. Anne's
B. Dene
C. Westerhope",C. Westerhope,"random,partial,correct"
St. James',north,Cheadle and Gatley,within,Metropolitan Borough of Oldham,close,Unsworth,"St. James' within Metropolitan Borough of Oldham, close to Unsworth, and north of Cheadle and Gatley",Which city is within Metropolitan Borough of Oldham and also close to Unsworth and north of Cheadle and Gatley?,"A. Shaw
B. St. James'
C. Metropolitan Borough of St Helens",B. St. James',"partial,correct,random"
Crumpsall,north,Sutton Trinity,within,Manchester,close,Elton,"Crumpsall within Manchester, close to Elton, and north of Sutton Trinity",Which city is within Manchester and also close to Elton and north of Sutton Trinity?,"A. Metropolitan Borough of Walsall
B. Didsbury West
C. Crumpsall",C. Crumpsall,"random,partial,correct"
Clifford,north,Bushbury North,within,North West Euro Region,close,Heatons South,"Clifford within North West Euro Region, close to Heatons South, and north of Bushbury North",Which city is within North West Euro Region and also close to Heatons South and north of Bushbury North?,"A. Clifford
B. Urmston
C. Leigh East",A. Clifford,"correct,random,partial"
Friar Park,north,Acocks Green,within,West Midlands Euro Region,close,Sutton Trinity,"Friar Park within West Midlands Euro Region, close to Sutton Trinity, and north of Acocks Green",Which city is within West Midlands Euro Region and also close to Sutton Trinity and north of Acocks Green?,"A. Little Hulton
B. Friar Park
C. Soho and Victoria",B. Friar Park,"random,correct,partial"
Heath Town,north,Wednesbury South,within,Wolverhampton,close,Selly Oak,"Heath Town within Wolverhampton, close to Selly Oak, and north of Wednesbury South",Which city is within Wolverhampton and also close to Selly Oak and north of Wednesbury South?,"A. Gorton North
B. Heath Town
C. Birchills Leamore",B. Heath Town,"random,correct,partial"
Sedgley,north,Ordsall,within,Metropolitan Borough of Bury,close,Withington,"Sedgley within Metropolitan Borough of Bury, close to Withington, and north of Ordsall",Which city is within Metropolitan Borough of Bury and also close to Withington and north of Ordsall?,"A. Sedgley
B. West Middleton
C. St. Peter's",A. Sedgley,"correct,partial,random"
Page Moss,north,Bloxwich East,within,Metropolitan Borough of Knowsley,close,Bryn,"Page Moss within Metropolitan Borough of Knowsley, close to Bryn, and north of Bloxwich East",Which city is within Metropolitan Borough of Knowsley and also close to Bryn and north of Bloxwich East?,"A. Woolton
B. Page Moss
C. Calderdale",B. Page Moss,"partial,correct,random"
Radcliffe East,north,Billesley,within,Metropolitan Borough of Bury,close,Reddish South,"Radcliffe East within Metropolitan Borough of Bury, close to Reddish South, and north of Billesley",Which city is within Metropolitan Borough of Bury and also close to Reddish South and north of Billesley?,"A. County
B. Ordsall
C. Radcliffe East",C. Radcliffe East,"random,partial,correct"
Astley Mosley Common,north,Short Heath,within,Metropolitan Borough of Wigan,close,Priory,"Astley Mosley Common within Metropolitan Borough of Wigan, close to Priory, and north of Short Heath",Which city is within Metropolitan Borough of Wigan and also close to Priory and north of Short Heath?,"A. Blackrod
B. Astley Mosley Common
C. Bredbury and Woodley",B. Astley Mosley Common,"random,correct,partial"
Houghton,north,Hatfield,within,North East Euro Region,close,West Gosforth,"Houghton within North East Euro Region, close to West Gosforth, and north of Hatfield",Which city is within North East Euro Region and also close to West Gosforth and north of Hatfield?,"A. Houghton
B. Primrose
C. Castle",A. Houghton,"correct,partial,random"
South Heaton,north,Longbridge,within,Newcastle upon Tyne,close,Southwick,"South Heaton within Newcastle upon Tyne, close to Southwick, and north of Longbridge",Which city is within Newcastle upon Tyne and also close to Southwick and north of Longbridge?,"A. Walkergate
B. South Heaton
C. Benwell and Scotswood",B. South Heaton,"random,correct,partial"
Maltby South Yorkshire,north,Tividale,within,Metropolitan Borough of Rotherham,close,Orgreave South Yorkshire,"Maltby South Yorkshire within Metropolitan Borough of Rotherham, close to Orgreave South Yorkshire, and north of Tividale",Which city is within Metropolitan Borough of Rotherham and also close to Orgreave South Yorkshire and north of Tividale?,"A. Maltby South Yorkshire
B. Hoyland Milton
C. Gorton South",A. Maltby South Yorkshire,"correct,partial,random"
Stepping Hill,north,Kingswinford North and Wall Heath,within,Metropolitan Borough of Stockport,close,Unsworth,"Stepping Hill within Metropolitan Borough of Stockport, close to Unsworth, and north of Kingswinford North and Wall Heath",Which city is within Metropolitan Borough of Stockport and also close to Unsworth and north of Kingswinford North and Wall Heath?,"A. Stepping Hill
B. Crumpsall
C. Clifford",A. Stepping Hill,"correct,random,partial"
Brockmoor and Pensnett,north,Pedmore and Stourbridge East,within,Metropolitan Borough of Dudley,close,Princes End,"Brockmoor and Pensnett within Metropolitan Borough of Dudley, close to Princes End, and north of Pedmore and Stourbridge East",Which city is within Metropolitan Borough of Dudley and also close to Princes End and north of Pedmore and Stourbridge East?,"A. Aldridge North and Walsall Wood
B. City of Salford
C. Brockmoor and Pensnett",C. Brockmoor and Pensnett,"partial,random,correct"
Failsworth East,north,East Park,within,Metropolitan Borough of Oldham,close,Rusholme,"Failsworth East within Metropolitan Borough of Oldham, close to Rusholme, and north of East Park",Which city is within Metropolitan Borough of Oldham and also close to Rusholme and north of East Park?,"A. Dukinfield
B. Queensbury
C. Failsworth East",C. Failsworth East,"partial,random,correct"
Halewood North,north,Willenhall North,within,Metropolitan Borough of Knowsley,close,Rainford,"Halewood North within Metropolitan Borough of Knowsley, close to Rainford, and north of Willenhall North",Which city is within Metropolitan Borough of Knowsley and also close to Rainford and north of Willenhall North?,"A. Cheadle and Gatley
B. Halewood North
C. Clatterbridge",B. Halewood North,"random,correct,partial"
Bloxwich East,north,Kingswinford South,within,West Midlands Euro Region,close,Charlemont with Grove Vale,"Bloxwich East within West Midlands Euro Region, close to Charlemont with Grove Vale, and north of Kingswinford South",Which city is within West Midlands Euro Region and also close to Charlemont with Grove Vale and north of Kingswinford South?,"A. Bloxwich East
B. Beighton
C. Sedgley",A. Bloxwich East,"correct,random,partial"
Collingwood,north,Bilston North,within,North Tyneside,distant,Crawcrook and Greenside,"Collingwood within North Tyneside, distant to Crawcrook and Greenside, and north of Bilston North",Which city is within North Tyneside and also distant to Crawcrook and Greenside and north of Bilston North?,"A. Moorside
B. Collingwood
C. Camperdown",B. Collingwood,"random,correct,partial"
Great Barr with Yew Tree,north,Knowle,within,Sandwell,distant,Radford,"Great Barr with Yew Tree within Sandwell, distant to Radford, and north of Knowle",Which city is within Sandwell and also distant to Radford and north of Knowle?,"A. Whiteleas
B. Great Barr with Yew Tree
C. City",B. Great Barr with Yew Tree,"random,correct,partial"
Batley West,north,Foleshill,within,Kirklees,distant,Central Rochdale,"Batley West within Kirklees, distant to Central Rochdale, and north of Foleshill",Which city is within Kirklees and also distant to Central Rochdale and north of Foleshill?,"A. Nether Edge & Sharrow
B. Heckmondwike
C. Batley West",C. Batley West,"random,partial,correct"
Everton,north,Bournville,within,Liverpool,distant,Woodhouse Park,"Everton within Liverpool, distant to Woodhouse Park, and north of Bournville",Which city is within Liverpool and also distant to Woodhouse Park and north of Bournville?,"A. Moss Bank
B. Everton
C. Westhoughton",B. Everton,"partial,correct,random"
Norris Green,north,Bournville,within,North West Euro Region,distant,Redvales,"Norris Green within North West Euro Region, distant to Redvales, and north of Bournville",Which city is within North West Euro Region and also distant to Redvales and north of Bournville?,"A. Norris Green
B. Park & Arbourthorne
C. Hulton",A. Norris Green,"correct,random,partial"
Craven,north,City Centre,within,Yorkshire and the Humber Euro Region,distant,Farnley and Wortley,"Craven within Yorkshire and the Humber Euro Region, distant to Farnley and Wortley, and north of City Centre",Which city is within Yorkshire and the Humber Euro Region and also distant to Farnley and Wortley and north of City Centre?,"A. Charlestown
B. Craven
C. Davyhulme East",B. Craven,"partial,correct,random"
Oldbury,north,Abbey,within,West Midlands Euro Region,distant,Wainbody,"Oldbury within West Midlands Euro Region, distant to Wainbody, and north of Abbey",Which city is within West Midlands Euro Region and also distant to Wainbody and north of Abbey?,"A. Oldbury
B. Shirley West
C. Wales South Yorkshire",A. Oldbury,"correct,partial,random"
Bramhall South and Woodford,north,Netherton Woodside and St. Andrews,within,North West Euro Region,distant,Little Horton,"Bramhall South and Woodford within North West Euro Region, distant to Little Horton, and north of Netherton Woodside and St. Andrews",Which city is within North West Euro Region and also distant to Little Horton and north of Netherton Woodside and St. Andrews?,"A. Mexborough
B. Broadheath
C. Bramhall South and Woodford",C. Bramhall South and Woodford,"random,partial,correct"
Smallbridge and Firgrove,north,Harborne,within,Metropolitan Borough of Rochdale,distant,Whiston & Cronton,"Smallbridge and Firgrove within Metropolitan Borough of Rochdale, distant to Whiston & Cronton, and north of Harborne",Which city is within Metropolitan Borough of Rochdale and also distant to Whiston & Cronton and north of Harborne?,"A. Old Moat
B. Smallbridge and Firgrove
C. Harington",B. Smallbridge and Firgrove,"partial,correct,random"
Manor,north,Bickenhill,within,Metropolitan Borough of Sefton,distant,Wibsey,"Manor within Metropolitan Borough of Sefton, distant to Wibsey, and north of Bickenhill",Which city is within Metropolitan Borough of Sefton and also distant to Wibsey and north of Bickenhill?,"A. Manor
B. Batley East
C. Westhoughton North and Chew Moor",A. Manor,"correct,random,partial"
Mossley Hill,north,Oldbury,within,North West Euro Region,distant,Swinton South,"Mossley Hill within North West Euro Region, distant to Swinton South, and north of Oldbury",Which city is within North West Euro Region and also distant to Swinton South and north of Oldbury?,"A. Moseley and Kings Heath
B. Haydock
C. Mossley Hill",C. Mossley Hill,"random,partial,correct"
City and Hunslet,north,St. Alphege,within,County Borough of Leeds,distant,Littleborough Lakeside,"City and Hunslet within County Borough of Leeds, distant to Littleborough Lakeside, and north of St. Alphege",Which city is within County Borough of Leeds and also distant to Littleborough Lakeside and north of St. Alphege?,"A. City and Hunslet
B. Keppel
C. Bromley Cross",A. City and Hunslet,"correct,random,partial"
Sowerby Bridge,north,Hayley Green and Cradley South,within,Calderdale,distant,Worsley,"Sowerby Bridge within Calderdale, distant to Worsley, and north of Hayley Green and Cradley South",Which city is within Calderdale and also distant to Worsley and north of Hayley Green and Cradley South?,"A. Pheasey Park Farm
B. Riverside
C. Sowerby Bridge",C. Sowerby Bridge,"random,partial,correct"
Sudell,north,Everton,within,Metropolitan Borough of Sefton,distant,Westhoughton North and Chew Moor,"Sudell within Metropolitan Borough of Sefton, distant to Westhoughton North and Chew Moor, and north of Everton",Which city is within Metropolitan Borough of Sefton and also distant to Westhoughton North and Chew Moor and north of Everton?,"A. Victoria
B. Warley
C. Sudell",C. Sudell,"partial,random,correct"
Castleford Central and Glasshoughton,north,Wednesbury North,within,Yorkshire and the Humber Euro Region,distant,Newsome,"Castleford Central and Glasshoughton within Yorkshire and the Humber Euro Region, distant to Newsome, and north of Wednesbury North",Which city is within Yorkshire and the Humber Euro Region and also distant to Newsome and north of Wednesbury North?,"A. Castleford Central and Glasshoughton
B. Ancoats and Clayton
C. Lye and Stourbridge North",A. Castleford Central and Glasshoughton,"correct,partial,random"
Cheadle Hulme South,north,St. Pauls,within,North West Euro Region,distant,Crookes & Crosspool,"Cheadle Hulme South within North West Euro Region, distant to Crookes & Crosspool, and north of St. Pauls",Which city is within North West Euro Region and also distant to Crookes & Crosspool and north of St. Pauls?,"A. Knotty Ash
B. Cheadle Hulme South
C. Crookes & Crosspool",B. Cheadle Hulme South,"partial,correct,random"
Cleadon Park,north,Redvales,within,North East Euro Region,distant,Westerhope,"Cleadon Park within North East Euro Region, distant to Westerhope, and north of Redvales",Which city is within North East Euro Region and also distant to Westerhope and north of Redvales?,"A. Bede
B. Eccles
C. Cleadon Park",C. Cleadon Park,"partial,random,correct"
Cadishead,north,Halesowen North,within,North West Euro Region,distant,Stannington,"Cadishead within North West Euro Region, distant to Stannington, and north of Halesowen North",Which city is within North West Euro Region and also distant to Stannington and north of Halesowen North?,"A. Barton
B. Cadishead
C. Edenthorpe",B. Cadishead,"partial,correct,random"
Ryburn,north,Fallowfield,within,Calderdale,distant,Woodhouse Park,"Ryburn within Calderdale, distant to Woodhouse Park, and north of Fallowfield",Which city is within Calderdale and also distant to Woodhouse Park and north of Fallowfield?,"A. Ryburn
B. Ovenden
C. Chadderton North",A. Ryburn,"correct,partial,random"
Monkseaton North,north,Queensbury,within,North East Euro Region,distant,Newburn,"Monkseaton North within North East Euro Region, distant to Newburn, and north of Queensbury",Which city is within North East Euro Region and also distant to Newburn and north of Queensbury?,"A. Monkseaton North
B. Elswick
C. Wibsey",A. Monkseaton North,"correct,partial,random"
Kirkburton,north,Sutton Vesey,within,Kirklees,distant,Wetherby,"Kirkburton within Kirklees, distant to Wetherby, and north of Sutton Vesey",Which city is within Kirklees and also distant to Wetherby and north of Sutton Vesey?,"A. Kirkburton
B. Dodworth
C. Illingworth and Mixenden",A. Kirkburton,"correct,random,partial"
Luddendenfoot,north,Failsworth West,within,Calderdale,distant,Horsforth,"Luddendenfoot within Calderdale, distant to Horsforth, and north of Failsworth West",Which city is within Calderdale and also distant to Horsforth and north of Failsworth West?,"A. Luddendenfoot
B. Wardle and West Littleborough
C. Collingwood",A. Luddendenfoot,"correct,partial,random"
Greets Green and Lyng,north,Blythe,within,Sandwell,far,Tong,"Greets Green and Lyng within Sandwell, far to Tong, and north of Blythe",Which city is within Sandwell and also far to Tong and north of Blythe?,"A. Greets Green and Lyng
B. Beeston and Holbeck
C. County",A. Greets Green and Lyng,"correct,random,partial"
Whitefield,north,West Bromwich Central,within,Metropolitan Borough of Knowsley,far,Willenhall South,"Whitefield within Metropolitan Borough of Knowsley, far to Willenhall South, and north of West Bromwich Central",Which city is within Metropolitan Borough of Knowsley and also far to Willenhall South and north of West Bromwich Central?,"A. Abram
B. Denton South
C. Whitefield",C. Whitefield,"random,partial,correct"
Shiregreen & Brightside,north,Bordesley Green,within,Yorkshire and the Humber Euro Region,far,St. Michaels,"Shiregreen & Brightside within Yorkshire and the Humber Euro Region, far to St. Michaels, and north of Bordesley Green",Which city is within Yorkshire and the Humber Euro Region and also far to St. Michaels and north of Bordesley Green?,"A. Aldridge North and Walsall Wood
B. Dene
C. Shiregreen & Brightside",C. Shiregreen & Brightside,"random,partial,correct"
South Yardley,north,Brandwood,within,West Midlands Euro Region,far,Thatto Heath,"South Yardley within West Midlands Euro Region, far to Thatto Heath, and north of Brandwood",Which city is within West Midlands Euro Region and also far to Thatto Heath and north of Brandwood?,"A. Duke's
B. South Yardley
C. Pleck",B. South Yardley,"random,correct,partial"
Denby Dale,north,Acocks Green,within,Kirklees,far,Sutton Weaver (civil parish),"Denby Dale within Kirklees, far to Sutton Weaver (civil parish), and north of Acocks Green",Which city is within Kirklees and also far to Sutton Weaver (civil parish) and north of Acocks Green?,"A. Central
B. Denby Dale
C. Harton",B. Denby Dale,"random,correct,partial"
Tuebrook and Stoneycroft,north,East Park,within,Liverpool,far,Kirkburton,"Tuebrook and Stoneycroft within Liverpool, far to Kirkburton, and north of East Park",Which city is within Liverpool and also far to Kirkburton and north of East Park?,"A. St. James's
B. Whickham South and Sunniside
C. Tuebrook and Stoneycroft",C. Tuebrook and Stoneycroft,"random,partial,correct"
Adwick le Street & Carcroft,north,Ecclesall,within,Metropolitan Borough of Doncaster,far,Alexandra,"Adwick le Street & Carcroft within Metropolitan Borough of Doncaster, far to Alexandra, and north of Ecclesall",Which city is within Metropolitan Borough of Doncaster and also far to Alexandra and north of Ecclesall?,"A. Adwick le Street & Carcroft
B. Airedale and Ferry Fryston
C. Short Heath",A. Adwick le Street & Carcroft,"correct,partial,random"
Kersal,north,Brierley Hill,within,North West Euro Region,far,Wales South Yorkshire,"Kersal within North West Euro Region, far to Wales South Yorkshire, and north of Brierley Hill",Which city is within North West Euro Region and also far to Wales South Yorkshire and north of Brierley Hill?,"A. Kersal
B. Leigh East
C. Ryburn",A. Kersal,"correct,partial,random"
Fazakerley,north,Knotty Ash,within,Liverpool,far,Royton South,"Fazakerley within Liverpool, far to Royton South, and north of Knotty Ash",Which city is within Liverpool and also far to Royton South and north of Knotty Ash?,"A. Lemington
B. Fazakerley
C. Gipton and Harehills",B. Fazakerley,"partial,correct,random"
Weetslade,north,Bebington,within,North Tyneside,far,Westwood,"Weetslade within North Tyneside, far to Westwood, and north of Bebington",Which city is within North Tyneside and also far to Westwood and north of Bebington?,"A. Washington South
B. Weetslade
C. Windhill and Wrose",B. Weetslade,"partial,correct,random"
St. Pauls,north,Edgbaston,within,Sandwell,far,Westhoughton,"St. Pauls within Sandwell, far to Westhoughton, and north of Edgbaston",Which city is within Sandwell and also far to Westhoughton and north of Edgbaston?,"A. St. Pauls
B. West Derby
C. Bentley",A. St. Pauls,"correct,random,partial"
Moreton West and Saughall Massie,north,East Park,within,North West Euro Region,far,Sedgley,"Moreton West and Saughall Massie within North West Euro Region, far to Sedgley, and north of East Park",Which city is within North West Euro Region and also far to Sedgley and north of East Park?,"A. Clatterbridge
B. Moreton West and Saughall Massie
C. Northowram and Shelf",B. Moreton West and Saughall Massie,"partial,correct,random"
Sutton Trinity,north,Kingshurst and Fordbridge,within,West Midlands Euro Region,far,Washington South,"Sutton Trinity within West Midlands Euro Region, far to Washington South, and north of Kingshurst and Fordbridge",Which city is within West Midlands Euro Region and also far to Washington South and north of Kingshurst and Fordbridge?,"A. Pendlebury
B. Sutton Trinity
C. Illingworth and Mixenden",B. Sutton Trinity,"partial,correct,random"
Bede,north,Castle Bromwich,within,South Tyneside,far,Friar Park,"Bede within South Tyneside, far to Friar Park, and north of Castle Bromwich",Which city is within South Tyneside and also far to Friar Park and north of Castle Bromwich?,"A. Harton
B. Fazakerley
C. Bede",C. Bede,"partial,random,correct"
Old Moat,north,Billesley,within,Manchester,far,Old Warley,"Old Moat within Manchester, far to Old Warley, and north of Billesley",Which city is within Manchester and also far to Old Warley and north of Billesley?,"A. Old Moat
B. Northumberland
C. Clayton and Fairweather Green",A. Old Moat,"correct,random,partial"
St. Michael's,north,Old Town,within,Liverpool,far,Blackrod,"St. Michael's within Liverpool, far to Blackrod, and north of Old Town",Which city is within Liverpool and also far to Blackrod and north of Old Town?,"A. Chirton
B. St. Michael's
C. Wharfedale",B. St. Michael's,"random,correct,partial"
Guiseley and Rawdon,north,Altrincham,within,County Borough of Leeds,far,Harborne,"Guiseley and Rawdon within County Borough of Leeds, far to Harborne, and north of Altrincham",Which city is within County Borough of Leeds and also far to Harborne and north of Altrincham?,"A. Guiseley and Rawdon
B. Fulwell
C. Chorlton Park",A. Guiseley and Rawdon,"correct,partial,random"
Shirley West,north,Blythe,within,Metropolitan Borough of Solihull,far,Stainforth & Barnby Dun,"Shirley West within Metropolitan Borough of Solihull, far to Stainforth & Barnby Dun, and north of Blythe",Which city is within Metropolitan Borough of Solihull and also far to Stainforth & Barnby Dun and north of Blythe?,"A. Saddleworth North
B. Washington East
C. Shirley West",C. Shirley West,"partial,random,correct"
Tettenhall Wightwick,north,Pedmore and Stourbridge East,within,West Midlands Euro Region,far,Ilkley,"Tettenhall Wightwick within West Midlands Euro Region, far to Ilkley, and north of Pedmore and Stourbridge East",Which city is within West Midlands Euro Region and also far to Ilkley and north of Pedmore and Stourbridge East?,"A. Shevington
B. Wordsley
C. Tettenhall Wightwick",C. Tettenhall Wightwick,"random,partial,correct"
Claremont,north,Castle Bromwich,within,North West Euro Region,far,Town,"Claremont within North West Euro Region, far to Town, and north of Castle Bromwich",Which city is within North West Euro Region and also far to Town and north of Castle Bromwich?,"A. Allerton and Hunts Cross
B. Bablake
C. Claremont",C. Claremont,"random,partial,correct"
