place1,dir,place2_Y,top,place2_Z,triplet,question,options,answer,option_sources
Milkstone and Deeplish,north,Soho and Victoria,borders,Kingsway,"Milkstone and Deeplish is north Soho and Victoria, borders Kingsway",Which city lies north to Soho and Victoria and borders Kingsway?,"A. Broomhill & Sharrow Vale
B. Wednesbury South
C. Milkstone and Deeplish",C. Milkstone and Deeplish,"partial,random,correct"
Earlestown,south,Millfield,within,North West Euro Region,"Earlestown is south Millfield, within North West Euro Region",Which city lies south to Millfield and within North West Euro Region?,"A. Chowdene
B. Upper Gornal and Woodsetton
C. Earlestown",C. Earlestown,"random,partial,correct"
Earlestown,north,Wainbody,borders,Newton,"Earlestown is north Wainbody, borders Newton",Which city lies north to Wainbody and borders Newton?,"A. Earlestown
B. Dunston Hill and Whickham East
C. Edlington & Warmsworth",A. Earlestown,"correct,random,partial"
Hyde Park and Woodhouse,east,Baguley,within,County Borough of Leeds,"Hyde Park and Woodhouse is east Baguley, within County Borough of Leeds",Which city lies east to Baguley and within County Borough of Leeds?,"A. Hexthorpe & Balby North
B. Lyndon
C. Hyde Park and Woodhouse",C. Hyde Park and Woodhouse,"partial,random,correct"
Hyde Park and Woodhouse,north,Hayley Green and Cradley South,borders,Chapel Allerton,"Hyde Park and Woodhouse is north Hayley Green and Cradley South, borders Chapel Allerton",Which city lies north to Hayley Green and Cradley South and borders Chapel Allerton?,"A. Besses
B. Pemberton
C. Hyde Park and Woodhouse",C. Hyde Park and Woodhouse,"random,partial,correct"
Old Warley,south,Hollinwood,within,West Midlands Euro Region,"Old Warley is south Hollinwood, within West Midlands Euro Region",Which city lies south to Hollinwood and within West Midlands Euro Region?,"A. Old Warley
B. Graiseley
C. Northowram and Shelf",A. Old Warley,"correct,partial,random"
Old Warley,west,Springfield,borders,Abbey,"Old Warley is west Springfield, borders Abbey",Which city lies west to Springfield and borders Abbey?,"A. Old Warley
B. Waterhead
C. Smethwick",A. Old Warley,"correct,random,partial"
Bredbury Green and Romiley,north,Bilston North,within,North West Euro Region,"Bredbury Green and Romiley is north Bilston North, within North West Euro Region",Which city lies north to Bilston North and within North West Euro Region?,"A. Cambridge
B. Rother Vale
C. Bredbury Green and Romiley",C. Bredbury Green and Romiley,"partial,random,correct"
Bredbury Green and Romiley,east,Duke's,borders,Offerton Park,"Bredbury Green and Romiley is east Duke's, borders Offerton Park",Which city lies east to Duke's and borders Offerton Park?,"A. Bredbury Green and Romiley
B. Orrell
C. Coventry",A. Bredbury Green and Romiley,"correct,partial,random"
Silhill,south,Swanside,within,Metropolitan Borough of Solihull,"Silhill is south Swanside, within Metropolitan Borough of Solihull",Which city lies south to Swanside and within Metropolitan Borough of Solihull?,"A. Breightmet
B. Brockmoor and Pensnett
C. Silhill",C. Silhill,"random,partial,correct"
Silhill,east,Princes End,borders,Elmdon,"Silhill is east Princes End, borders Elmdon",Which city lies east to Princes End and borders Elmdon?,"A. Kingshurst and Fordbridge
B. Silhill
C. Westwood",B. Silhill,"partial,correct,random"
Brockmoor and Pensnett,south,Burmantofts and Richmond Hill,within,West Midlands Euro Region,"Brockmoor and Pensnett is south Burmantofts and Richmond Hill, within West Midlands Euro Region",Which city lies south to Burmantofts and Richmond Hill and within West Midlands Euro Region?,"A. Orrell
B. Fallings Park
C. Brockmoor and Pensnett",C. Brockmoor and Pensnett,"random,partial,correct"
Brockmoor and Pensnett,west,Tividale,borders,Wordsley,"Brockmoor and Pensnett is west Tividale, borders Wordsley",Which city lies west to Tividale and borders Wordsley?,"A. Brockmoor and Pensnett
B. Smallbridge and Firgrove
C. Brierley Hill",A. Brockmoor and Pensnett,"correct,random,partial"
Rothwell,north,Rowley,within,Yorkshire and the Humber Euro Region,"Rothwell is north Rowley, within Yorkshire and the Humber Euro Region",Which city lies north to Rowley and within Yorkshire and the Humber Euro Region?,"A. Trafford
B. Rothwell
C. Altrincham",B. Rothwell,"random,correct,partial"
Rothwell,east,Hollinwood,borders,Burmantofts and Richmond Hill,"Rothwell is east Hollinwood, borders Burmantofts and Richmond Hill",Which city lies east to Hollinwood and borders Burmantofts and Richmond Hill?,"A. Batley West
B. Rothwell
C. Harton",B. Rothwell,"partial,correct,random"
Reddish South,north,Bilston East,within,Metropolitan Borough of Stockport,"Reddish South is north Bilston East, within Metropolitan Borough of Stockport",Which city lies north to Bilston East and within Metropolitan Borough of Stockport?,"A. Reddish South
B. Dukinfield Stalybridge
C. Northenden",A. Reddish South,"correct,partial,random"
Reddish South,south,North Heywood,borders,Heatons North,"Reddish South is south North Heywood, borders Heatons North",Which city lies south to North Heywood and borders Heatons North?,"A. Moseley and Kings Heath
B. Great Barr with Yew Tree
C. Reddish South",C. Reddish South,"random,partial,correct"
Whitburn and Marsden,north,East,within,South Tyneside,"Whitburn and Marsden is north East, within South Tyneside",Which city lies north to East and within South Tyneside?,"A. Whitburn and Marsden
B. Binley and Willenhall
C. Hendon",A. Whitburn and Marsden,"correct,random,partial"
Whitburn and Marsden,east,Windy Nook and Whitehills,borders,Fulwell,"Whitburn and Marsden is east Windy Nook and Whitehills, borders Fulwell",Which city lies east to Windy Nook and Whitehills and borders Fulwell?,"A. Whitburn and Marsden
B. Simonside and Rekendyke
C. Gorse Hill",A. Whitburn and Marsden,"correct,partial,random"
Knowle,south,Heaton and Lostock,within,West Midlands Euro Region,"Knowle is south Heaton and Lostock, within West Midlands Euro Region",Which city lies south to Heaton and Lostock and within West Midlands Euro Region?,"A. Knowle
B. Streetly
C. Wharfedale",A. Knowle,"correct,partial,random"
Knowle,east,Upper Gornal and Woodsetton,borders,St. Alphege,"Knowle is east Upper Gornal and Woodsetton, borders St. Alphege",Which city lies east to Upper Gornal and Woodsetton and borders St. Alphege?,"A. Knowle
B. Pleck
C. East Middleton",A. Knowle,"correct,partial,random"
Aston,south,Brooklands,within,West Midlands Euro Region,"Aston is south Brooklands, within West Midlands Euro Region",Which city lies south to Brooklands and within West Midlands Euro Region?,"A. Edgbaston
B. Aston
C. Kippax West Yorkshire",B. Aston,"partial,correct,random"
Aston,west,St. Michael's,borders,Nechells,"Aston is west St. Michael's, borders Nechells",Which city lies west to St. Michael's and borders Nechells?,"A. Hetton-le-Hole
B. Brandwood
C. Aston",C. Aston,"random,partial,correct"
Wordsley,south,Village,within,Metropolitan Borough of Dudley,"Wordsley is south Village, within Metropolitan Borough of Dudley",Which city lies south to Village and within Metropolitan Borough of Dudley?,"A. Wordsley
B. Birmingham
C. Shirley South",A. Wordsley,"correct,random,partial"
Wordsley,west,Silhill,borders,Brierley Hill,"Wordsley is west Silhill, borders Brierley Hill",Which city lies west to Silhill and borders Brierley Hill?,"A. Wordsley
B. Halesowen South
C. Sutton New Hall",A. Wordsley,"correct,partial,random"
Millfield,north,Edenthorpe,within,North East Euro Region,"Millfield is north Edenthorpe, within North East Euro Region",Which city lies north to Edenthorpe and within North East Euro Region?,"A. Millfield
B. Woolsington
C. South Middleton",A. Millfield,"correct,partial,random"
Millfield,east,Washington West,borders,Southwick,"Millfield is east Washington West, borders Southwick",Which city lies east to Washington West and borders Southwick?,"A. St. Chad's
B. Millfield
C. Westwood",B. Millfield,"partial,correct,random"
Wallasey,west,Penistone,within,Metropolitan Borough of Wirral,"Wallasey is west Penistone, within Metropolitan Borough of Wirral",Which city lies west to Penistone and within Metropolitan Borough of Wirral?,"A. Wallasey
B. Greenhead
C. Gorton South",A. Wallasey,"correct,random,partial"
Wallasey,south,Houghton,borders,Bidston and St. James,"Wallasey is south Houghton, borders Bidston and St. James",Which city lies south to Houghton and borders Bidston and St. James?,"A. Hall Green
B. Wallasey
C. Rawmarsh",B. Wallasey,"partial,correct,random"
Shiney Row,west,Hendon,within,City of Sunderland,"Shiney Row is west Hendon, within City of Sunderland",Which city lies west to Hendon and within City of Sunderland?,"A. Walkergate
B. Shiney Row
C. North West Euro Region",B. Shiney Row,"partial,correct,random"
Shiney Row,north,Little Horton,borders,Copt Hill,"Shiney Row is north Little Horton, borders Copt Hill",Which city lies north to Little Horton and borders Copt Hill?,"A. Windhill and Wrose
B. Shiney Row
C. Everton",B. Shiney Row,"partial,correct,random"
Warley,west,Keppel,within,Calderdale,"Warley is west Keppel, within Calderdale",Which city lies west to Keppel and within Calderdale?,"A. Warley
B. Davenport and Cale Green
C. Halesowen North",A. Warley,"correct,partial,random"
Warley,north,Langley,borders,Luddendenfoot,"Warley is north Langley, borders Luddendenfoot",Which city lies north to Langley and borders Luddendenfoot?,"A. Kingsway
B. Warley
C. Manor Castle",B. Warley,"random,correct,partial"
Fenham,north,Saltwell,within,Newcastle upon Tyne,"Fenham is north Saltwell, within Newcastle upon Tyne",Which city lies north to Saltwell and within Newcastle upon Tyne?,"A. Fenham
B. Walkergate
C. Armley",A. Fenham,"correct,partial,random"
Fenham,west,West Gosforth,borders,Benwell and Scotswood,"Fenham is west West Gosforth, borders Benwell and Scotswood",Which city lies west to West Gosforth and borders Benwell and Scotswood?,"A. Ryton Crookhill and Stella
B. Fenham
C. Willenhall South",B. Fenham,"partial,correct,random"
Princes Park,west,Darfield,within,Liverpool,"Princes Park is west Darfield, within Liverpool",Which city lies west to Darfield and within Liverpool?,"A. Sitwell
B. Princes Park
C. Parr",B. Princes Park,"random,correct,partial"
Princes Park,south,Weetslade,borders,Central,"Princes Park is south Weetslade, borders Central",Which city lies south to Weetslade and borders Central?,"A. Princes Park
B. Blythe
C. Atherleigh",A. Princes Park,"correct,partial,random"
Weoley,west,Silhill,within,Birmingham,"Weoley is west Silhill, within Birmingham",Which city lies west to Silhill and within Birmingham?,"A. Weoley
B. Selly Oak
C. Withington",A. Weoley,"correct,partial,random"
Weoley,south,Clatterbridge,borders,Bournville,"Weoley is south Clatterbridge, borders Bournville",Which city lies south to Clatterbridge and borders Bournville?,"A. Weoley
B. Failsworth West
C. Brownhills",A. Weoley,"correct,random,partial"
Liversedge and Gomersal,south,Otley and Yeadon,within,Kirklees,"Liversedge and Gomersal is south Otley and Yeadon, within Kirklees",Which city lies south to Otley and Yeadon and within Kirklees?,"A. Liversedge and Gomersal
B. Bramhall North
C. Sutton Weaver (civil parish)",A. Liversedge and Gomersal,"correct,partial,random"
Liversedge and Gomersal,north,Belle Vale,borders,Cleckheaton,"Liversedge and Gomersal is north Belle Vale, borders Cleckheaton",Which city lies north to Belle Vale and borders Cleckheaton?,"A. Altrincham
B. Liversedge and Gomersal
C. Horbury and South Ossett",B. Liversedge and Gomersal,"random,correct,partial"
Pelsall,south,Whitley Bay,within,West Midlands Euro Region,"Pelsall is south Whitley Bay, within West Midlands Euro Region",Which city lies south to Whitley Bay and within West Midlands Euro Region?,"A. Brierley Hill
B. Pelsall
C. Brighouse",B. Pelsall,"partial,correct,random"
Pelsall,north,Harborne,borders,Bloxwich East,"Pelsall is north Harborne, borders Bloxwich East",Which city lies north to Harborne and borders Bloxwich East?,"A. Harpurhey
B. Pelsall
C. Hellaby",B. Pelsall,"partial,correct,random"
Thornton and Allerton,south,Benwell and Scotswood,within,City of Bradford,"Thornton and Allerton is south Benwell and Scotswood, within City of Bradford",Which city lies south to Benwell and Scotswood and within City of Bradford?,"A. Thornton and Allerton
B. Baguley
C. Littleborough Lakeside",A. Thornton and Allerton,"correct,random,partial"
Thornton and Allerton,north,Brierley Hill,borders,Illingworth and Mixenden,"Thornton and Allerton is north Brierley Hill, borders Illingworth and Mixenden",Which city lies north to Brierley Hill and borders Illingworth and Mixenden?,"A. Thornton and Allerton
B. Castleford Central and Glasshoughton
C. Hindley",A. Thornton and Allerton,"correct,random,partial"
Eccles,south,Horwich,within,City of Salford,"Eccles is south Horwich, within City of Salford",Which city lies south to Horwich and within City of Salford?,"A. Eccles
B. Tividale
C. North East Euro Region",A. Eccles,"correct,partial,random"
Eccles,west,Sowerby Bridge,borders,Worsley,"Eccles is west Sowerby Bridge, borders Worsley",Which city lies west to Sowerby Bridge and borders Worsley?,"A. Metropolitan Borough of Oldham
B. Eccles
C. Redvales",B. Eccles,"random,correct,partial"
Willenhall South,south,Penistone East,within,Metropolitan Borough of Walsall,"Willenhall South is south Penistone East, within Metropolitan Borough of Walsall",Which city lies south to Penistone East and within Metropolitan Borough of Walsall?,"A. Crookes & Crosspool
B. Upper Gornal and Woodsetton
C. Willenhall South",C. Willenhall South,"random,partial,correct"
Willenhall South,west,Holbrook,borders,Bilston East,"Willenhall South is west Holbrook, borders Bilston East",Which city lies west to Holbrook and borders Bilston East?,"A. Bebington
B. Willenhall South
C. Washwood Heath",B. Willenhall South,"random,correct,partial"
Hopwood Hall,east,Douglas,within,Metropolitan Borough of Rochdale,"Hopwood Hall is east Douglas, within Metropolitan Borough of Rochdale",Which city lies east to Douglas and within Metropolitan Borough of Rochdale?,"A. Dunston and Teams
B. Hopwood Hall
C. City Centre",B. Hopwood Hall,"random,correct,partial"
Hopwood Hall,west,Broomhill & Sharrow Vale,borders,North Middleton,"Hopwood Hall is west Broomhill & Sharrow Vale, borders North Middleton",Which city lies west to Broomhill & Sharrow Vale and borders North Middleton?,"A. Hopwood Hall
B. Ramsbottom
C. Camperdown",A. Hopwood Hall,"correct,partial,random"
Heaton and Lostock,east,Riverside,within,North West Euro Region,"Heaton and Lostock is east Riverside, within North West Euro Region",Which city lies east to Riverside and within North West Euro Region?,"A. Heaton and Lostock
B. St. Mary's
C. East Gosforth",A. Heaton and Lostock,"correct,partial,random"
Heaton and Lostock,south,High Fell,borders,Horwich,"Heaton and Lostock is south High Fell, borders Horwich",Which city lies south to High Fell and borders Horwich?,"A. Wednesfield South
B. Heaton and Lostock
C. South Yardley",B. Heaton and Lostock,"random,correct,partial"
Whiston & Cronton,west,Bredbury and Woodley,within,Metropolitan Borough of Knowsley,"Whiston & Cronton is west Bredbury and Woodley, within Metropolitan Borough of Knowsley",Which city lies west to Bredbury and Woodley and within Metropolitan Borough of Knowsley?,"A. Whitefield
B. Norton
C. Whiston & Cronton",C. Whiston & Cronton,"partial,random,correct"
Whiston & Cronton,south,North Jesmond,borders,Halewood North,"Whiston & Cronton is south North Jesmond, borders Halewood North",Which city lies south to North Jesmond and borders Halewood North?,"A. Whiston & Cronton
B. Bickenhill
C. Edlington & Warmsworth",A. Whiston & Cronton,"correct,random,partial"
Brooklands,west,Pudsey,within,North West Euro Region,"Brooklands is west Pudsey, within North West Euro Region",Which city lies west to Pudsey and within North West Euro Region?,"A. Hale Central
B. Brooklands
C. Heatons North",B. Brooklands,"partial,correct,random"
Brooklands,north,Willenhall North,borders,Broadheath,"Brooklands is north Willenhall North, borders Broadheath",Which city lies north to Willenhall North and borders Broadheath?,"A. Brooklands
B. Crompton
C. Primrose",A. Brooklands,"correct,partial,random"
Cheetham,north,Heatons North,within,North West Euro Region,"Cheetham is north Heatons North, within North West Euro Region",Which city lies north to Heatons North and within North West Euro Region?,"A. Wardley and Leam Lane
B. Cheetham
C. Woolsington",B. Cheetham,"partial,correct,random"
Cheetham,west,Waterhead,borders,Irwell Riverside,"Cheetham is west Waterhead, borders Irwell Riverside",Which city lies west to Waterhead and borders Irwell Riverside?,"A. Cheetham
B. Duke's
C. Kersal",A. Cheetham,"correct,random,partial"
Acocks Green,south,Sowerby Bridge,within,Birmingham,"Acocks Green is south Sowerby Bridge, within Birmingham",Which city lies south to Sowerby Bridge and within Birmingham?,"A. Keppel
B. Stocksbridge & Upper Don
C. Acocks Green",C. Acocks Green,"random,partial,correct"
Acocks Green,east,Ladywood,borders,Springfield,"Acocks Green is east Ladywood, borders Springfield",Which city lies east to Ladywood and borders Springfield?,"A. Marple South
B. Earlsdon
C. Acocks Green",C. Acocks Green,"random,partial,correct"
County,west,Ashton,within,Liverpool,"County is west Ashton, within Liverpool",Which city lies west to Ashton and within Liverpool?,"A. County
B. Bushbury North
C. West Kirby and Thurstaston",A. County,"correct,random,partial"
County,south,Ouseburn,borders,Warbreck,"County is south Ouseburn, borders Warbreck",Which city lies south to Ouseburn and borders Warbreck?,"A. Hatfield
B. County
C. Levenshulme",B. County,"random,correct,partial"
Wakefield East,east,Leigh South,within,City of Wakefield,"Wakefield East is east Leigh South, within City of Wakefield",Which city lies east to Leigh South and within City of Wakefield?,"A. Irlam
B. Temple Newsam
C. Wakefield East",C. Wakefield East,"random,partial,correct"
Wakefield East,south,Roundhay,borders,Wakefield South,"Wakefield East is south Roundhay, borders Wakefield South",Which city lies south to Roundhay and borders Wakefield South?,"A. Wakefield North
B. Wakefield East
C. Whiston & Cronton",B. Wakefield East,"partial,correct,random"
Worsley Mesnes,west,Waterhead,within,Metropolitan Borough of Wigan,"Worsley Mesnes is west Waterhead, within Metropolitan Borough of Wigan",Which city lies west to Waterhead and within Metropolitan Borough of Wigan?,"A. Warbreck
B. Ainsdale
C. Worsley Mesnes",C. Worsley Mesnes,"partial,random,correct"
Worsley Mesnes,east,St. Oswald,borders,Ince,"Worsley Mesnes is east St. Oswald, borders Ince",Which city lies east to St. Oswald and borders Ince?,"A. Heaton
B. South Tyneside
C. Worsley Mesnes",C. Worsley Mesnes,"partial,random,correct"
Heald Green,south,Horsley Hill,within,North West Euro Region,"Heald Green is south Horsley Hill, within North West Euro Region",Which city lies south to Horsley Hill and within North West Euro Region?,"A. Walkergate
B. Heald Green
C. St. James's",B. Heald Green,"random,correct,partial"
Heald Green,east,Standish with Langtree,borders,Cheadle Hulme South,"Heald Green is east Standish with Langtree, borders Cheadle Hulme South",Which city lies east to Standish with Langtree and borders Cheadle Hulme South?,"A. St. Mary's
B. Heald Green
C. Beauchief & Greenhill",B. Heald Green,"partial,correct,random"
Boldon Colliery,north,Church,within,North East Euro Region,"Boldon Colliery is north Church, within North East Euro Region",Which city lies north to Church and within North East Euro Region?,"A. Harington
B. Boldon Colliery
C. Dewsbury South",B. Boldon Colliery,"partial,correct,random"
Boldon Colliery,east,Windy Nook and Whitehills,borders,Castle Eden,"Boldon Colliery is east Windy Nook and Whitehills, borders Castle Eden",Which city lies east to Windy Nook and Whitehills and borders Castle Eden?,"A. Boldon Colliery
B. Castle Eden
C. Parklands",A. Boldon Colliery,"correct,partial,random"
Walkley,east,Besses,within,Sheffield,"Walkley is east Besses, within Sheffield",Which city lies east to Besses and within Sheffield?,"A. Denton North East
B. Kingstone
C. Walkley",C. Walkley,"random,partial,correct"
Walkley,south,Bowling and Barkerend,borders,Stannington,"Walkley is south Bowling and Barkerend, borders Stannington",Which city lies south to Bowling and Barkerend and borders Stannington?,"A. West Bromwich Central
B. Walkley
C. Smith's Wood",B. Walkley,"random,correct,partial"
Streetly,south,Wakefield East,within,Metropolitan Borough of Walsall,"Streetly is south Wakefield East, within Metropolitan Borough of Walsall",Which city lies south to Wakefield East and within Metropolitan Borough of Walsall?,"A. Houghton
B. Pedmore and Stourbridge East
C. Streetly",C. Streetly,"random,partial,correct"
Streetly,east,Castle and Priory,borders,Aldridge Central and South,"Streetly is east Castle and Priory, borders Aldridge Central and South",Which city lies east to Castle and Priory and borders Aldridge Central and South?,"A. Streetly
B. Westwood
C. Hatfield",A. Streetly,"correct,partial,random"
Guiseley and Rawdon,east,Windle St Helens,within,County Borough of Leeds,"Guiseley and Rawdon is east Windle St Helens, within County Borough of Leeds",Which city lies east to Windle St Helens and within County Borough of Leeds?,"A. Guiseley and Rawdon
B. Milkstone and Deeplish
C. Cleckheaton",A. Guiseley and Rawdon,"correct,partial,random"
Guiseley and Rawdon,south,Winlaton and High Spen,borders,Idle and Thackley,"Guiseley and Rawdon is south Winlaton and High Spen, borders Idle and Thackley",Which city lies south to Winlaton and High Spen and borders Idle and Thackley?,"A. Guiseley and Rawdon
B. Eccleshill
C. Chadderton North",A. Guiseley and Rawdon,"correct,random,partial"
Werneth,north,Chorlton Park,within,Metropolitan Borough of Oldham,"Werneth is north Chorlton Park, within Metropolitan Borough of Oldham",Which city lies north to Chorlton Park and within Metropolitan Borough of Oldham?,"A. Bridges
B. Werneth
C. Birtley",B. Werneth,"partial,correct,random"
Werneth,south,Shipley,borders,Chadderton Central,"Werneth is south Shipley, borders Chadderton Central",Which city lies south to Shipley and borders Chadderton Central?,"A. Horbury and South Ossett
B. Werneth
C. East Park",B. Werneth,"random,correct,partial"
Fulwell,north,Dewsbury West,within,North East Euro Region,"Fulwell is north Dewsbury West, within North East Euro Region",Which city lies north to Dewsbury West and within North East Euro Region?,"A. Batley West
B. Fulwell
C. Westwood",B. Fulwell,"partial,correct,random"
Fulwell,east,Walker,borders,Whitburn and Marsden,"Fulwell is east Walker, borders Whitburn and Marsden",Which city lies east to Walker and borders Whitburn and Marsden?,"A. Fulwell
B. Primrose
C. Tameside",A. Fulwell,"correct,partial,random"
Nechells,east,Pedmore and Stourbridge East,within,West Midlands Euro Region,"Nechells is east Pedmore and Stourbridge East, within West Midlands Euro Region",Which city lies east to Pedmore and Stourbridge East and within West Midlands Euro Region?,"A. Worsbrough
B. Nechells
C. Stockland Green",B. Nechells,"random,correct,partial"
Nechells,south,Hemsworth,borders,Bordesley Green,"Nechells is south Hemsworth, borders Bordesley Green",Which city lies south to Hemsworth and borders Bordesley Green?,"A. Stockland Green
B. Metropolitan Borough of Walsall
C. Nechells",C. Nechells,"partial,random,correct"
Bournville,south,Willenhall South,within,Birmingham,"Bournville is south Willenhall South, within Birmingham",Which city lies south to Willenhall South and within Birmingham?,"A. South Yardley
B. Bournville
C. Roundhay",B. Bournville,"partial,correct,random"
Bournville,east,Amblecote,borders,Selly Oak,"Bournville is east Amblecote, borders Selly Oak",Which city lies east to Amblecote and borders Selly Oak?,"A. Sheffield
B. Bournville
C. Belle Vale",B. Bournville,"random,correct,partial"
Moortown,north,Tettenhall Regis,within,Yorkshire and the Humber Euro Region,"Moortown is north Tettenhall Regis, within Yorkshire and the Humber Euro Region",Which city lies north to Tettenhall Regis and within Yorkshire and the Humber Euro Region?,"A. Balby South
B. Winton
C. Moortown",C. Moortown,"random,partial,correct"
Moortown,east,Milnrow and Newhey,borders,Weetwood,"Moortown is east Milnrow and Newhey, borders Weetwood",Which city lies east to Milnrow and Newhey and borders Weetwood?,"A. Moortown
B. Idle and Thackley
C. Killingbeck and Seacroft",A. Moortown,"correct,random,partial"
Gipton and Harehills,east,Irlam,within,County Borough of Leeds,"Gipton and Harehills is east Irlam, within County Borough of Leeds",Which city lies east to Irlam and within County Borough of Leeds?,"A. Bilston East
B. Gipton and Harehills
C. Dearne South",B. Gipton and Harehills,"random,correct,partial"
Gipton and Harehills,north,Maltby South Yorkshire,borders,City and Hunslet,"Gipton and Harehills is north Maltby South Yorkshire, borders City and Hunslet",Which city lies north to Maltby South Yorkshire and borders City and Hunslet?,"A. Hatfield
B. Gipton and Harehills
C. St. Thomas's",B. Gipton and Harehills,"partial,correct,random"
Birkdale,north,Westwood,within,North West Euro Region,"Birkdale is north Westwood, within North West Euro Region",Which city lies north to Westwood and within North West Euro Region?,"A. Urmston
B. Birkdale
C. Camperdown",B. Birkdale,"partial,correct,random"
Birkdale,west,Wakefield South,borders,Duke's,"Birkdale is west Wakefield South, borders Duke's",Which city lies west to Wakefield South and borders Duke's?,"A. Derby
B. Birkdale
C. Calverley and Farsley",B. Birkdale,"partial,correct,random"
Didsbury West,south,Houghton,within,Manchester,"Didsbury West is south Houghton, within Manchester",Which city lies south to Houghton and within Manchester?,"A. Holderness
B. Didsbury West
C. Warley",B. Didsbury West,"random,correct,partial"
Didsbury West,north,Wednesfield South,borders,Withington,"Didsbury West is north Wednesfield South, borders Withington",Which city lies north to Wednesfield South and borders Withington?,"A. Radcliffe East
B. Wolverhampton
C. Didsbury West",C. Didsbury West,"partial,random,correct"
Monkseaton North,east,North Jesmond,within,North Tyneside,"Monkseaton North is east North Jesmond, within North Tyneside",Which city lies east to North Jesmond and within North Tyneside?,"A. Beacon and Bents
B. Monkseaton North
C. Toller",B. Monkseaton North,"partial,correct,random"
