place1,top,place2_Y,dis,place2_Z,triplet,question,options,answer,option_sources
Thornton and Allerton,within,Yorkshire and the Humber Euro Region,far,Wavertree,"Thornton and Allerton is within Yorkshire and the Humber Euro Region, far Wavertree",Which city is within Yorkshire and the Humber Euro Region and also far to Wavertree?,"A. Gornal
B. Ladywood
C. Thornton and Allerton",C. Thornton and Allerton,"partial,random,correct"
Thornton and Allerton,borders,Bingley Rural,near,Windhill and Wrose,"Thornton and Allerton is borders Bingley Rural, near Windhill and Wrose",Which city borders Bingley Rural and is also near to Windhill and Wrose?,"A. Kirklees
B. Thornton and Allerton
C. City",B. Thornton and Allerton,"random,correct,partial"
Thornton and Allerton,borders,Bingley Rural,close,Weetwood,"Thornton and Allerton is borders Bingley Rural, close Weetwood",Which city borders Bingley Rural and is also close to Weetwood?,"A. Smith's Wood
B. Ardsley and Robin Hood
C. Thornton and Allerton",C. Thornton and Allerton,"random,partial,correct"
South Heaton,borders,Byker,near,Wallsend,"South Heaton is borders Byker, near Wallsend",Which city borders Byker and is also near to Wallsend?,"A. South Heaton
B. Pelsall
C. Dene",A. South Heaton,"correct,random,partial"
South Heaton,borders,Byker,close,St. Michael's,"South Heaton is borders Byker, close St. Michael's",Which city borders Byker and is also close to St. Michael's?,"A. Coventry
B. Netherton and Orrell
C. South Heaton",C. South Heaton,"random,partial,correct"
Atherton,within,North West Euro Region,distant,St. Peter's,"Atherton is within North West Euro Region, distant St. Peter's",Which city is within North West Euro Region and also distant to St. Peter's?,"A. Atherton
B. Silksworth
C. Leigh West",A. Atherton,"correct,random,partial"
Atherton,within,North West Euro Region,far,Felling,"Atherton is within North West Euro Region, far Felling",Which city is within North West Euro Region and also far to Felling?,"A. Crompton
B. Atherton
C. Astley Mosley Common",B. Atherton,"random,correct,partial"
Atherton,borders,Hulton,near,Tyldesley,"Atherton is borders Hulton, near Tyldesley",Which city borders Hulton and is also near to Tyldesley?,"A. Harper Green
B. Armley
C. Atherton",C. Atherton,"partial,random,correct"
Atherton,borders,Hulton,close,Flixton,"Atherton is borders Hulton, close Flixton",Which city borders Hulton and is also close to Flixton?,"A. Wakefield South
B. Atherton
C. Didsbury East",B. Atherton,"random,correct,partial"
Gornal,within,West Midlands Euro Region,distant,Lyndon,"Gornal is within West Midlands Euro Region, distant Lyndon",Which city is within West Midlands Euro Region and also distant to Lyndon?,"A. Alwoodley
B. Gornal
C. Abbey",B. Gornal,"random,correct,partial"
Gornal,within,West Midlands Euro Region,far,Wigan Central,"Gornal is within West Midlands Euro Region, far Wigan Central",Which city is within West Midlands Euro Region and also far to Wigan Central?,"A. Gornal
B. Winton
C. Wakefield South",A. Gornal,"correct,random,partial"
Gornal,borders,Castle and Priory,near,Quarry Bank and Dudley Wood,"Gornal is borders Castle and Priory, near Quarry Bank and Dudley Wood",Which city borders Castle and Priory and is also near to Quarry Bank and Dudley Wood?,"A. Cradley and Wollescote
B. Heswall
C. Gornal",C. Gornal,"partial,random,correct"
Gornal,borders,Castle and Priory,close,Weoley,"Gornal is borders Castle and Priory, close Weoley",Which city borders Castle and Priory and is also close to Weoley?,"A. Knotty Ash
B. Wednesbury North
C. Gornal",C. Gornal,"random,partial,correct"
Kersal,within,North West Euro Region,distant,Otley and Yeadon,"Kersal is within North West Euro Region, distant Otley and Yeadon",Which city is within North West Euro Region and also distant to Otley and Yeadon?,"A. Elmdon
B. Kersal
C. Childwall",B. Kersal,"random,correct,partial"
Kersal,within,North West Euro Region,far,Monkton,"Kersal is within North West Euro Region, far Monkton",Which city is within North West Euro Region and also far to Monkton?,"A. Kersal
B. Edlington & Warmsworth
C. Eccles",A. Kersal,"correct,random,partial"
Kersal,borders,Broughton,near,South Middleton,"Kersal is borders Broughton, near South Middleton",Which city borders Broughton and is also near to South Middleton?,"A. Darlaston South
B. Kersal
C. Royton North",B. Kersal,"random,correct,partial"
Kersal,borders,Broughton,close,Smithills,"Kersal is borders Broughton, close Smithills",Which city borders Broughton and is also close to Smithills?,"A. Kersal
B. Moss Side
C. Leigh West",A. Kersal,"correct,random,partial"
Saltwell,borders,Low Fell,near,South Heaton,"Saltwell is borders Low Fell, near South Heaton",Which city borders Low Fell and is also near to South Heaton?,"A. Northumberland
B. Saltwell
C. South Heaton",B. Saltwell,"partial,correct,random"
Saltwell,borders,Low Fell,close,Shiney Row,"Saltwell is borders Low Fell, close Shiney Row",Which city borders Low Fell and is also close to Shiney Row?,"A. Oxton
B. Killingworth
C. Saltwell",C. Saltwell,"random,partial,correct"
County,within,North West Euro Region,distant,Fallowfield,"County is within North West Euro Region, distant Fallowfield",Which city is within North West Euro Region and also distant to Fallowfield?,"A. Darnall
B. County
C. Chorlton Park",B. County,"random,correct,partial"
County,within,North West Euro Region,far,Crosland Moor and Netherton,"County is within North West Euro Region, far Crosland Moor and Netherton",Which city is within North West Euro Region and also far to Crosland Moor and Netherton?,"A. Bromborough
B. Benwell and Scotswood
C. County",C. County,"random,partial,correct"
County,borders,Derby,near,Tuebrook and Stoneycroft,"County is borders Derby, near Tuebrook and Stoneycroft",Which city borders Derby and is also near to Tuebrook and Stoneycroft?,"A. Woolton
B. County
C. Church",B. County,"random,correct,partial"
County,borders,Derby,close,Thatto Heath,"County is borders Derby, close Thatto Heath",Which city borders Derby and is also close to Thatto Heath?,"A. Aldridge North and Walsall Wood
B. Earlestown
C. County",C. County,"random,partial,correct"
Royston,within,Yorkshire and the Humber Euro Region,distant,Tickhill & Wadsworth,"Royston is within Yorkshire and the Humber Euro Region, distant Tickhill & Wadsworth",Which city is within Yorkshire and the Humber Euro Region and also distant to Tickhill & Wadsworth?,"A. Crookes & Crosspool
B. Keighley East
C. Royston",C. Royston,"partial,random,correct"
Royston,within,Yorkshire and the Humber Euro Region,far,Woolsington,"Royston is within Yorkshire and the Humber Euro Region, far Woolsington",Which city is within Yorkshire and the Humber Euro Region and also far to Woolsington?,"A. Royston
B. Birstall and Birkenshaw
C. Thorne & Moorends",A. Royston,"correct,partial,random"
Royston,borders,Crofton Ryhill and Walton,near,St. Helens,"Royston is borders Crofton Ryhill and Walton, near St. Helens",Which city borders Crofton Ryhill and Walton and is also near to St. Helens?,"A. Besses
B. Royston
C. Dodworth",B. Royston,"random,correct,partial"
Royston,borders,Crofton Ryhill and Walton,close,Woodhouse,"Royston is borders Crofton Ryhill and Walton, close Woodhouse",Which city borders Crofton Ryhill and Walton and is also close to Woodhouse?,"A. Brierley Hill
B. Hexthorpe & Balby North
C. Royston",C. Royston,"random,partial,correct"
Elland,within,Calderdale,distant,Firth Park,"Elland is within Calderdale, distant Firth Park",Which city is within Calderdale and also distant to Firth Park?,"A. Elland
B. Cleckheaton
C. Wolverhampton",A. Elland,"correct,partial,random"
Elland,within,Calderdale,far,Rushall-Shelfield,"Elland is within Calderdale, far Rushall-Shelfield",Which city is within Calderdale and also far to Rushall-Shelfield?,"A. Cherryfield
B. Washington West
C. Elland",C. Elland,"partial,random,correct"
Elland,borders,Rastrick,near,Skircoat,"Elland is borders Rastrick, near Skircoat",Which city borders Rastrick and is also near to Skircoat?,"A. Wallsend
B. Ashbrow
C. Elland",C. Elland,"random,partial,correct"
Elland,borders,Rastrick,close,Denby Dale,"Elland is borders Rastrick, close Denby Dale",Which city borders Rastrick and is also close to Denby Dale?,"A. Elland
B. Upton
C. Heaton",A. Elland,"correct,random,partial"
Acocks Green,within,Birmingham,distant,Graiseley,"Acocks Green is within Birmingham, distant Graiseley",Which city is within Birmingham and also distant to Graiseley?,"A. Aston
B. Acocks Green
C. Crosland Moor and Netherton",B. Acocks Green,"partial,correct,random"
Acocks Green,within,Birmingham,far,Village,"Acocks Green is within Birmingham, far Village",Which city is within Birmingham and also far to Village?,"A. Acocks Green
B. Washington South
C. Swinton",A. Acocks Green,"correct,random,partial"
Acocks Green,borders,Hall Green,near,Billesley,"Acocks Green is borders Hall Green, near Billesley",Which city borders Hall Green and is also near to Billesley?,"A. Shirley West
B. Queensbury
C. Acocks Green",C. Acocks Green,"partial,random,correct"
Acocks Green,borders,Hall Green,close,Pelsall,"Acocks Green is borders Hall Green, close Pelsall",Which city borders Hall Green and is also close to Pelsall?,"A. Acocks Green
B. Guiseley and Rawdon
C. Blackheath",A. Acocks Green,"correct,random,partial"
Blundellsands,within,North West Euro Region,distant,Ince,"Blundellsands is within North West Euro Region, distant Ince",Which city is within North West Euro Region and also distant to Ince?,"A. Old Moat
B. Blundellsands
C. Atherton",B. Blundellsands,"random,correct,partial"
Blundellsands,within,North West Euro Region,far,Warley,"Blundellsands is within North West Euro Region, far Warley",Which city is within North West Euro Region and also far to Warley?,"A. Streetly
B. Blundellsands
C. Ilkley",B. Blundellsands,"partial,correct,random"
Blundellsands,borders,Victoria,near,Manor,"Blundellsands is borders Victoria, near Manor",Which city borders Victoria and is also near to Manor?,"A. Blundellsands
B. Church
C. Stairfoot",A. Blundellsands,"correct,partial,random"
Blundellsands,borders,Victoria,close,Tuebrook and Stoneycroft,"Blundellsands is borders Victoria, close Tuebrook and Stoneycroft",Which city borders Victoria and is also close to Tuebrook and Stoneycroft?,"A. Eastham
B. Blundellsands
C. Northenden",B. Blundellsands,"partial,correct,random"
Elmdon,within,Metropolitan Borough of Solihull,distant,Kingswinford North and Wall Heath,"Elmdon is within Metropolitan Borough of Solihull, distant Kingswinford North and Wall Heath",Which city is within Metropolitan Borough of Solihull and also distant to Kingswinford North and Wall Heath?,"A. Elmdon
B. Acocks Green
C. Little Lever and Darcy Lever",A. Elmdon,"correct,partial,random"
Elmdon,within,Metropolitan Borough of Solihull,far,Manor,"Elmdon is within Metropolitan Borough of Solihull, far Manor",Which city is within Metropolitan Borough of Solihull and also far to Manor?,"A. East Park
B. Stairfoot
C. Elmdon",C. Elmdon,"partial,random,correct"
Elmdon,borders,Sheldon,near,Hodge Hill,"Elmdon is borders Sheldon, near Hodge Hill",Which city borders Sheldon and is also near to Hodge Hill?,"A. Stechford and Yardley North
B. Copt Hill
C. Elmdon",C. Elmdon,"partial,random,correct"
Elmdon,borders,Sheldon,close,Sherbourne Warwickshire,"Elmdon is borders Sheldon, close Sherbourne Warwickshire",Which city borders Sheldon and is also close to Sherbourne Warwickshire?,"A. Bramhall North
B. Chelmsley Wood
C. Elmdon",C. Elmdon,"random,partial,correct"
Urmston,within,Trafford,distant,Prescot,"Urmston is within Trafford, distant Prescot",Which city is within Trafford and also distant to Prescot?,"A. Urmston
B. Denton North East
C. Smallbridge and Firgrove",A. Urmston,"correct,partial,random"
Urmston,within,Trafford,far,Weetwood,"Urmston is within Trafford, far Weetwood",Which city is within Trafford and also far to Weetwood?,"A. Fawdon
B. Urmston
C. Sheffield",B. Urmston,"partial,correct,random"
Urmston,borders,Davyhulme East,near,Weaste and Seedley,"Urmston is borders Davyhulme East, near Weaste and Seedley",Which city borders Davyhulme East and is also near to Weaste and Seedley?,"A. St. Pauls
B. Urmston
C. Chorlton",B. Urmston,"random,correct,partial"
Urmston,borders,Davyhulme East,close,Whalley Range,"Urmston is borders Davyhulme East, close Whalley Range",Which city borders Davyhulme East and is also close to Whalley Range?,"A. Urmston
B. Hazel Grove
C. Hyde Newton",A. Urmston,"correct,partial,random"
Wavertree,within,Liverpool,distant,Weaste and Seedley,"Wavertree is within Liverpool, distant Weaste and Seedley",Which city is within Liverpool and also distant to Weaste and Seedley?,"A. Short Heath
B. Wavertree
C. Sowerby Bridge",B. Wavertree,"random,correct,partial"
Wavertree,within,Liverpool,far,West Bromwich Central,"Wavertree is within Liverpool, far West Bromwich Central",Which city is within Liverpool and also far to West Bromwich Central?,"A. Hellaby
B. Blackheath
C. Wavertree",C. Wavertree,"partial,random,correct"
Wavertree,borders,Church,near,Yew Tree,"Wavertree is borders Church, near Yew Tree",Which city borders Church and is also near to Yew Tree?,"A. Pelsall
B. Wavertree
C. East",B. Wavertree,"random,correct,partial"
Wavertree,borders,Church,close,Rainhill,"Wavertree is borders Church, close Rainhill",Which city borders Church and is also close to Rainhill?,"A. Sudell
B. Wavertree
C. Edlington & Warmsworth",B. Wavertree,"partial,correct,random"
Sitwell,within,Yorkshire and the Humber Euro Region,distant,Armthorpe,"Sitwell is within Yorkshire and the Humber Euro Region, distant Armthorpe",Which city is within Yorkshire and the Humber Euro Region and also distant to Armthorpe?,"A. Dewsbury East
B. Sitwell
C. Longbenton",B. Sitwell,"partial,correct,random"
Sitwell,within,Yorkshire and the Humber Euro Region,far,Yew Tree,"Sitwell is within Yorkshire and the Humber Euro Region, far Yew Tree",Which city is within Yorkshire and the Humber Euro Region and also far to Yew Tree?,"A. Sitwell
B. Olton
C. Hulme",A. Sitwell,"correct,partial,random"
Sitwell,borders,Valley,near,Dinnington St. John's,"Sitwell is borders Valley, near Dinnington St. John's",Which city borders Valley and is also near to Dinnington St. John's?,"A. Boston Castle
B. Bredbury and Woodley
C. Sitwell",C. Sitwell,"partial,random,correct"
Sitwell,borders,Valley,close,Stairfoot,"Sitwell is borders Valley, close Stairfoot",Which city borders Valley and is also close to Stairfoot?,"A. Garforth and Swillington
B. Sitwell
C. Hindley",B. Sitwell,"partial,correct,random"
Stechford and Yardley North,within,Birmingham,distant,Tipton Green,"Stechford and Yardley North is within Birmingham, distant Tipton Green",Which city is within Birmingham and also distant to Tipton Green?,"A. Stechford and Yardley North
B. Metropolitan Borough of Gateshead
C. Knowle",A. Stechford and Yardley North,"correct,random,partial"
Stechford and Yardley North,within,Birmingham,far,Morley West Yorkshire,"Stechford and Yardley North is within Birmingham, far Morley West Yorkshire",Which city is within Birmingham and also far to Morley West Yorkshire?,"A. Stechford and Yardley North
B. Keighley East
C. Heaton and Lostock",A. Stechford and Yardley North,"correct,random,partial"
Stechford and Yardley North,borders,Shard End,near,Bickenhill,"Stechford and Yardley North is borders Shard End, near Bickenhill",Which city borders Shard End and is also near to Bickenhill?,"A. Dorridge and Hockley Heath
B. Shevington
C. Stechford and Yardley North",C. Stechford and Yardley North,"partial,random,correct"
Stechford and Yardley North,borders,Shard End,close,Wednesbury North,"Stechford and Yardley North is borders Shard End, close Wednesbury North",Which city borders Shard End and is also close to Wednesbury North?,"A. Stechford and Yardley North
B. Weoley
C. Longbridge",A. Stechford and Yardley North,"correct,random,partial"
Hazel Grove,within,North West Euro Region,distant,Idle and Thackley,"Hazel Grove is within North West Euro Region, distant Idle and Thackley",Which city is within North West Euro Region and also distant to Idle and Thackley?,"A. Harington
B. Langworthy
C. Hazel Grove",C. Hazel Grove,"partial,random,correct"
Hazel Grove,within,North West Euro Region,far,St. Peter's,"Hazel Grove is within North West Euro Region, far St. Peter's",Which city is within North West Euro Region and also far to St. Peter's?,"A. Ouseburn
B. Cheadle Hulme South
C. Hazel Grove",C. Hazel Grove,"random,partial,correct"
Hazel Grove,borders,Marple South,near,Reddish South,"Hazel Grove is borders Marple South, near Reddish South",Which city borders Marple South and is also near to Reddish South?,"A. Derby
B. Hazel Grove
C. Heatons North",B. Hazel Grove,"random,correct,partial"
Hazel Grove,borders,Marple South,close,Rusholme,"Hazel Grove is borders Marple South, close Rusholme",Which city borders Marple South and is also close to Rusholme?,"A. Eccles
B. Hazel Grove
C. Fulwood",B. Hazel Grove,"partial,correct,random"
Eastham,within,Metropolitan Borough of Wirral,distant,Horwich,"Eastham is within Metropolitan Borough of Wirral, distant Horwich",Which city is within Metropolitan Borough of Wirral and also distant to Horwich?,"A. Spotland and Falinge
B. Hoyland Milton
C. Eastham",C. Eastham,"partial,random,correct"
Eastham,within,Metropolitan Borough of Wirral,far,Orgreave South Yorkshire,"Eastham is within Metropolitan Borough of Wirral, far Orgreave South Yorkshire",Which city is within Metropolitan Borough of Wirral and also far to Orgreave South Yorkshire?,"A. Weaste and Seedley
B. Royds
C. Eastham",C. Eastham,"partial,random,correct"
Eastham,borders,Clatterbridge,near,Speke-Garston,"Eastham is borders Clatterbridge, near Speke-Garston",Which city borders Clatterbridge and is also near to Speke-Garston?,"A. Eastham
B. Church
C. Boston Castle",A. Eastham,"correct,partial,random"
Eastham,borders,Clatterbridge,close,Stockbridge,"Eastham is borders Clatterbridge, close Stockbridge",Which city borders Clatterbridge and is also close to Stockbridge?,"A. Washwood Heath
B. Prenton
C. Eastham",C. Eastham,"random,partial,correct"
Sutton New Hall,within,West Midlands Euro Region,distant,Wordsley,"Sutton New Hall is within West Midlands Euro Region, distant Wordsley",Which city is within West Midlands Euro Region and also distant to Wordsley?,"A. Lye and Stourbridge North
B. Sutton New Hall
C. Normanton West Yorkshire",B. Sutton New Hall,"partial,correct,random"
Sutton New Hall,within,West Midlands Euro Region,far,Washington Central,"Sutton New Hall is within West Midlands Euro Region, far Washington Central",Which city is within West Midlands Euro Region and also far to Washington Central?,"A. Sutton New Hall
B. Rotherham West
C. Baguley",A. Sutton New Hall,"correct,partial,random"
Sutton New Hall,borders,Sutton Trinity,near,Bickenhill,"Sutton New Hall is borders Sutton Trinity, near Bickenhill",Which city borders Sutton Trinity and is also near to Bickenhill?,"A. Sutton New Hall
B. Whitley Bay
C. Olton",A. Sutton New Hall,"correct,random,partial"
Sutton New Hall,borders,Sutton Trinity,close,Whoberley,"Sutton New Hall is borders Sutton Trinity, close Whoberley",Which city borders Sutton Trinity and is also close to Whoberley?,"A. Shard End
B. Longbridge
C. Sutton New Hall",C. Sutton New Hall,"partial,random,correct"
Ladywood,within,West Midlands Euro Region,distant,Wyken,"Ladywood is within West Midlands Euro Region, distant Wyken",Which city is within West Midlands Euro Region and also distant to Wyken?,"A. Ladywood
B. Halesowen North
C. Southey",A. Ladywood,"correct,partial,random"
Ladywood,within,West Midlands Euro Region,far,Hetton-le-Hole,"Ladywood is within West Midlands Euro Region, far Hetton-le-Hole",Which city is within West Midlands Euro Region and also far to Hetton-le-Hole?,"A. Bamford
B. Ladywood
C. Castleford Central and Glasshoughton",B. Ladywood,"random,correct,partial"
Ladywood,borders,Aston,near,Tyburn,"Ladywood is borders Aston, near Tyburn",Which city borders Aston and is also near to Tyburn?,"A. Chirton
B. Oscott
C. Ladywood",C. Ladywood,"random,partial,correct"
Ladywood,borders,Aston,close,Tividale,"Ladywood is borders Aston, close Tividale",Which city borders Aston and is also close to Tividale?,"A. Aston
B. Ladywood
C. Rossington",B. Ladywood,"partial,correct,random"
